DADCA-parted-nsn;50;12;8.28908%;71;259200;13000;15089MiliSegs;29MiliSegs;4_TSP_thread;254005;152900;15977;109;171691;88973;3.197948221498246;9.31640136909338;-1;map_1.txt
DADCA-parted-nsn;50;14;10.71512%;71;259200;13000;17478MiliSegs;22MiliSegs;4_TSP_thread;253365;146885;27506;110;194435;88973;4.133921086724584;12.04311808839774;-1;map_1.txt
DADCA-parted-nsn;50;16;11.31076%;71;259200;13000;17432MiliSegs;21MiliSegs;4_TSP_thread;252070;145870;9469;109;165356;88973;4.363720636145404;12.712580096084078;-1;map_1.txt
DADCA-lkh;50;8;8.24958%;71;259200;13000;8728MiliSegs;92MiliSegs;4_TSP_thread;252100;228965;2685;110;196800;73315;3.182706642470662;11.252234354885026;-1;map_1.txt
DADCA-lkh;50;2;3.02843%;71;259200;13000;6294MiliSegs;28MiliSegs;4_TSP_thread;255630;248320;3609;110;72966;73315;1.1683771766880027;4.130714917786678;-1;map_1.txt
DADCA-lkh;50;4;5.20347%;71;259200;13000;9644MiliSegs;23MiliSegs;4_TSP_thread;254860;239600;2953;110;125385;73315;2.0075124314128963;7.097418293967438;-1;map_1.txt
DADCA-lkh;50;6;5.89398%;71;259200;13000;10565MiliSegs;24MiliSegs;4_TSP_thread;253945;236690;2803;110;142023;73315;2.2739126085962504;8.039257289069742;-1;map_1.txt
DADCA-lkh;50;10;9.31883%;71;259200;13000;13160MiliSegs;57MiliSegs;4_TSP_thread;249170;226955;2696;110;221439;73315;3.5952265279682964;12.71066924980403;-1;map_1.txt
DADCA-lkh;50;12;11.55019%;71;259200;13000;14968MiliSegs;47MiliSegs;4_TSP_thread;248380;217230;2585;110;274397;73315;4.456092940291114;15.754201597537433;-1;map_1.txt
DADCA-lkh;50;14;13.85285%;71;259200;13000;16374MiliSegs;27MiliSegs;4_TSP_thread;244955;209795;2550;110;328839;73315;5.344465639765281;18.89498047912652;-1;map_1.txt
DADCA-lkh;50;16;15.18164%;71;259200;13000;16802MiliSegs;45MiliSegs;4_TSP_thread;244800;205520;2483;110;359144;73315;5.857112578113095;20.707407491603547;-1;map_1.txt
