Strategy,nPOIs,nUAV,SucessTax,V2V_range,nRounds,dimX,simumationTimeMS,TSP_threads,maxData,minData
NotSoNaiveOrderedMobility,10,16,29.63289,10,3750000,3000,94segs,2_TSP_thread,2654415,2616135
ZigZagOverNSNMobility,10,2,3.73880,10,3750000,3000,42segs,2_TSP_thread,3620980,3534585
ZigZagOverNSNMobility,10,4,6.55804,10,3750000,3000,51segs,2_TSP_thread,3520285,3391385
ZigZagOverNSNMobility,10,8,14.69813,10,3750000,3000,60segs,2_TSP_thread,3207630,3185925
ZigZagOverNSNMobility,10,16,27.07033,10,3750000,3000,94segs,2_TSP_thread,2761590,2725800
NotSoNaiveOrderedMobility,10,2,3.69115,10,3750000,3000,39segs,2_TSP_thread,3620685,3557375
NotSoNaiveOrderedMobility,10,4,7.04504,10,3750000,3000,46segs,2_TSP_thread,3490255,3479005
NotSoNaiveOrderedMobility,10,8,15.84005,10,3750000,3000,59segs,2_TSP_thread,3165915,3142560
NotSoNaiveOrderedMobility,10,16,31.57629,10,3750000,3000,93segs,2_TSP_thread,2583270,2540780
ZigZagOverNSNMobility,10,2,3.40331,10,3750000,3000,40segs,2_TSP_thread,3625315,3619465
ZigZagOverNSNMobility,10,4,7.53899,10,3750000,3000,46segs,2_TSP_thread,3473100,3460485
ZigZagOverNSNMobility,10,8,16.88139,10,3750000,3000,61segs,2_TSP_thread,3127800,3104875
ZigZagOverNSNMobility,10,16,28.35255,10,3750000,3000,92segs,2_TSP_thread,2715270,2676485
NotSoNaiveOrderedMobility,10,2,3.80551,10,3750000,3000,41segs,2_TSP_thread,3611065,3604290
NotSoNaiveOrderedMobility,10,4,7.28295,10,3750000,3000,48segs,2_TSP_thread,3483960,3474745
NotSoNaiveOrderedMobility,10,8,14.43712,10,3750000,3000,59segs,2_TSP_thread,3223570,3203300
NotSoNaiveOrderedMobility,10,16,30.14469,10,3750000,3000,104segs,2_TSP_thread,2643835,2602925
ZigZagOverNSNMobility,10,2,3.84227,10,3750000,3000,51segs,2_TSP_thread,3609170,3603760
ZigZagOverNSNMobility,10,4,5.45551,10,3750000,3000,57segs,2_TSP_thread,3548860,3540535
ZigZagOverNSNMobility,10,8,16.02725,10,3750000,3000,70segs,2_TSP_thread,3187860,2955940
