Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
KingstonImprovedOverNSNMobility;20;8;12.98441;10;3750000;3000;150;4;3581660;3032235;172
TSPbasedMobility;20;4;6.34127;10;3750000;3000;348;4;3517230;3507485;325
KingstonImprovedOverNSNMobility;20;16;28.27555;10;3750000;3000;182;4;3348145;2205540;232
TSPbasedMobility;20;2;3.25629;10;3750000;3000;396;4;3630030;3624545;333
TSPbasedMobility;20;8;12.49331;10;3750000;3000;257;4;3291135;3271715;446
TSPbasedMobility;20;4;7.07127;10;3750000;3000;276;4;3508250;3347510;637
TSPbasedMobility;20;16;24.24475;10;3750000;3000;279;4;2855940;2823325;885
KingstonImprovedOverNSNMobility;20;2;3.29554;10;3750000;3000;79;4;3694250;3530005;527
KingstonImprovedOverNSNMobility;20;4;6.21816;10;3750000;3000;85;4;3670060;3419815;118
KingstonImprovedOverNSNMobility;20;8;11.21589;10;3750000;3000;98;4;3606130;3127905;175
KingstonImprovedOverNSNMobility;20;16;24.74881;10;3750000;3000;232;4;3424500;2365875;234
TSPbasedMobility;20;16;23.89999;10;3750000;3000;300;4;2866755;2832110;583
TSPbasedMobility;20;8;12.45155;10;3750000;3000;326;4;3288545;3270520;978
KingstonImprovedOverNSNMobility;20;2;3.46853;10;3750000;3000;118;4;3693920;3528620;434
KingstonImprovedOverNSNMobility;20;4;8.66329;10;3750000;3000;130;4;3630280;3263970;314
TSPbasedMobility;20;2;3.36191;10;3750000;3000;822;4;3626755;3621420;471
KingstonImprovedOverNSNMobility;20;8;14.59215;10;3750000;3000;151;4;3552270;2972615;648
TSPbasedMobility;20;2;2.59455;10;3750000;3000;488;4;3658195;3597115;1676
KingstonImprovedOverNSNMobility;20;16;26.42401;10;3750000;3000;255;4;3414545;2317820;539
TSPbasedMobility;20;4;6.98281;10;3750000;3000;283;4;3494610;3482565;71
TSPbasedMobility;20;2;3.01335;10;3750000;3000;300;4;3643105;3576315;1012
TSPbasedMobility;20;4;6.54745;10;3750000;3000;1096;4;3508160;3497800;1033
TSPbasedMobility;20;16;24.36773;10;3750000;3000;757;4;2857265;2822345;1634
TSPbasedMobility;20;8;13.47907;10;3750000;3000;922;4;3255280;3234395;167
KingstonImprovedOverNSNMobility;20;2;3.45688;10;3750000;3000;37;4;3704095;3559805;606
KingstonImprovedOverNSNMobility;20;4;7.23711;10;3750000;3000;44;4;3664065;2769545;488
KingstonImprovedOverNSNMobility;20;8;14.34735;10;3750000;3000;55;4;3495245;2984695;448
KingstonImprovedOverNSNMobility;20;16;23.01161;10;3750000;3000;131;4;3434575;2482740;472
TSPbasedMobility;20;8;14.18713;10;3750000;3000;194;4;3229165;3208805;124
TSPbasedMobility;20;4;6.53969;10;3750000;3000;199;4;3513050;3501685;852
TSPbasedMobility;20;2;3.47033;10;3750000;3000;205;4;3622405;3617590;297
TSPbasedMobility;20;16;23.24423;10;3750000;3000;209;4;2891465;2856830;1270
TSPbasedMobility;20;2;3.55125;10;3750000;3000;140;4;3619665;3613775;706
TSPbasedMobility;20;8;13.98907;10;3750000;3000;155;4;3237970;3217955;304
KingstonImprovedOverNSNMobility;20;2;3.44176;10;3750000;3000;64;4;3691665;3518115;399
TSPbasedMobility;20;16;25.91221;10;3750000;3000;230;4;2796825;2760130;204
KingstonImprovedOverNSNMobility;20;4;6.38963;10;3750000;3000;73;4;3672170;3333620;104
TSPbasedMobility;20;4;6.74772;10;3750000;3000;243;4;3502160;3490570;1225
KingstonImprovedOverNSNMobility;20;8;17.70125;10;3750000;3000;86;4;3499155;2483065;89
KingstonImprovedOverNSNMobility;20;16;30.64023;10;3750000;3000;166;4;3311000;2038630;170
TSPbasedMobility;20;4;6.09145;10;3750000;3000;156;4;3531765;3410550;1043
TSPbasedMobility;20;8;13.36847;10;3750000;3000;182;4;3257135;3237455;963
KingstonImprovedOverNSNMobility;20;2;4.17712;10;3750000;3000;112;4;3682165;3466995;589
KingstonImprovedOverNSNMobility;20;4;5.83812;10;3750000;3000;128;4;3665990;3400305;609
KingstonImprovedOverNSNMobility;20;8;12.57161;10;3750000;3000;154;4;3580940;3061655;309
KingstonImprovedOverNSNMobility;20;16;24.99385;10;3750000;3000;286;4;3413345;2349905;863
TSPbasedMobility;20;8;13.85440;10;3750000;3000;323;4;3238725;3217355;905
KingstonImprovedOverNSNMobility;20;2;3.93891;10;3750000;3000;187;4;3690770;3537005;362
KingstonImprovedOverNSNMobility;20;4;6.68960;10;3750000;3000;210;4;3653735;3370870;364
TSPbasedMobility;20;16;29.17431;10;3750000;3000;563;4;2675035;2636615;209
KingstonImprovedOverNSNMobility;20;8;15.54896;10;3750000;3000;247;4;3520385;2880315;719
TSPbasedMobility;20;2;3.67002;10;3750000;3000;620;4;3615370;3608755;254
KingstonImprovedOverNSNMobility;20;16;26.87225;10;3750000;3000;396;4;3362250;2249460;862
TSPbasedMobility;20;16;19.17938;10;3750000;3000;1166;4;3044840;3016390;2811
TSPbasedMobility;20;16;24.83097;10;3750000;3000;480;4;2844775;2808365;1762
TSPbasedMobility;20;2;3.40297;10;3750000;3000;1558;4;3625365;3620455;1152
TSPbasedMobility;20;2;3.62070;10;3750000;3000;871;4;3617810;3611730;203
TSPbasedMobility;20;4;5.75999;10;3750000;3000;1014;4;3539185;3529740;477
TSPbasedMobility;20;4;6.21977;10;3750000;3000;1923;4;3521650;3510890;569
TSPbasedMobility;20;2;2.89486;10;3750000;3000;119;4;3643665;3637650;376
TSPbasedMobility;20;4;7.05958;10;3750000;3000;154;4;3491525;3480010;668
TSPbasedMobility;20;16;23.57567;10;3750000;3000;198;4;2877150;2843190;184
TSPbasedMobility;20;8;14.85061;10;3750000;3000;1218;4;3202940;3181375;1114
KingstonImprovedOverNSNMobility;20;2;3.35501;10;3750000;3000;39;4;3706570;3543310;399
KingstonImprovedOverNSNMobility;20;4;6.98993;10;3750000;3000;44;4;3671920;3260790;754
