TSPConcorde;20;4;9,85031%;71;259200;13000;3525MiliSegs;172MiliSegs;4_TSP_thread;234910;232520;1484;84;95185;55681;3.800273395823809;17.690610157819208;map_1.txt
DADCA-lkh-cutted;20;4;10,07388%;71;259200;13000;3464MiliSegs;47MiliSegs;4_TSP_thread;246570;223305;1485;84;98044;55195;3.8865282302621544;18.251437943363538;map_1.txt
DADCA-lkh;20;4;10,21779%;71;259200;13000;3464MiliSegs;47MiliSegs;4_TSP_thread;246490;223515;3038;85;98149;55681;3.9420468726185023;18.350578283125586;map_1.txt
DADCA-parted-nsn;20;4;9,71480%;71;259200;13000;3362MiliSegs;16MiliSegs;4_TSP_thread;247095;225200;1526;84;94331;56267;3.747992100575369;17.265529572735986;map_1.txt
DADCA-NSN;20;4;10,46171%;71;259200;13000;3689MiliSegs;0MiliSegs;4_TSP_thread;245555;223150;2194;84;100722;54408;4.036153204065693;19.228255228896995;map_1.txt
FPPWR;20;4;5,62741%;71;259200;13000;3495MiliSegs;16MiliSegs;4_TSP_thread;245690;243835;2849;620;53919;86821;2.1710691610463364;6.481624567134799;map_1.txt
TSPConcorde;20;8;19,44261%;71;259200;13000;4870MiliSegs;156MiliSegs;4_TSP_thread;211185;206780;1483;84;188297;55681;7.501007670800948;34.917856868080776;map_1.txt
DADCA-lkh-cutted;20;8;19,89660%;71;259200;13000;4747MiliSegs;47MiliSegs;4_TSP_thread;234195;188370;1484;85;193026;55195;7.676159312604784;36.047839366376664;map_1.txt
DADCA-lkh;20;8;20,14014%;71;259200;13000;4789MiliSegs;47MiliSegs;4_TSP_thread;234290;189270;3024;85;194618;55681;7.770116800506783;36.17058376630014;map_1.txt
DADCA-parted-nsn;20;8;19,12915%;71;259200;13000;4727MiliSegs;16MiliSegs;4_TSP_thread;236250;191735;1540;84;185340;56267;7.380072290333028;33.997098435216394;map_1.txt
DADCA-NSN;20;8;20,46807%;71;259200;13000;5245MiliSegs;0MiliSegs;4_TSP_thread;232540;187880;1725;84;195646;54408;7.896633813919369;37.619605289073306;map_1.txt
FPPWR;20;8;10,96865%;71;259200;13000;4823MiliSegs;0MiliSegs;4_TSP_thread;232410;229440;2852;620;105044;86821;4.231733622447034;12.633641111462333;map_1.txt
TSPConcorde;20;12;29,12297%;71;259200;13000;6585MiliSegs;171MiliSegs;4_TSP_thread;186975;181010;1596;85;281532;55661;11.235715484967994;52.322046921609456;map_1.txt
DADCA-lkh-cutted;20;12;29,62172%;71;259200;13000;6334MiliSegs;46MiliSegs;4_TSP_thread;224090;153980;1478;84;287531;55195;11.42813297801402;53.66739863939187;map_1.txt
DADCA-lkh;20;12;30,10918%;71;259200;13000;6240MiliSegs;47MiliSegs;4_TSP_thread;221980;153775;3028;85;289616;55681;11.616196797363207;54.074427719986055;map_1.txt
DADCA-parted-nsn;20;12;28,58893%;71;259200;13000;6287MiliSegs;0MiliSegs;4_TSP_thread;225325;159640;1531;321;277405;56267;11.029678807536962;50.80940421407896;map_1.txt
DADCA-NSN;20;12;30,38831%;71;259200;13000;7133MiliSegs;0MiliSegs;4_TSP_thread;218465;156830;1573;84;288931;54408;11.723885102309099;55.85265068590132;map_1.txt
FPPWR;20;12;16,28926%;71;259200;13000;6586MiliSegs;0MiliSegs;4_TSP_thread;219155;215085;2847;620;156670;86821;6.284434954180004;18.761884107801766;map_1.txt
TSPConcorde;20;16;38,64950%;71;259200;13000;7943MiliSegs;172MiliSegs;4_TSP_thread;163690;155455;1483;84;374113;55681;14.911071935490016;69.41236410407522;map_1.txt
DADCA-lkh-cutted;20;16;39,37500%;71;259200;13000;8254MiliSegs;47MiliSegs;4_TSP_thread;212650;119290;1478;84;382279;55195;15.190972222222225;71.33798351299939;map_1.txt
DADCA-lkh;20;16;40,05093%;71;259200;13000;7994MiliSegs;49MiliSegs;4_TSP_thread;210480;118210;3024;85;386149;55681;15.45174611339735;71.92925041922008;map_1.txt
DADCA-parted-nsn;20;16;37,94811%;71;259200;13000;8019MiliSegs;0MiliSegs;4_TSP_thread;215560;125515;1535;84;367623;56267;14.640474370332266;67.44292314838401;map_1.txt
DADCA-NSN;20;16;39,71354%;71;259200;13000;9908MiliSegs;0MiliSegs;4_TSP_thread;205695;124195;1514;84;373955;54408;15.321582433127572;72.99209981375287;map_1.txt
FPPWR;20;16;21,67332%;71;259200;13000;9070MiliSegs;16MiliSegs;4_TSP_thread;206515;200775;2853;620;207743;86821;8.361621049096936;24.96322520963737;map_1.txt
TSPConcorde;20;4;10,32890%;71;259200;13000;3635MiliSegs;156MiliSegs;4_TSP_thread;233915;231155;1327;24;100257;53841;3.9849138136335935;19.1840727418478;map_2.txt
DADCA-lkh-cutted;20;4;10,63416%;71;259200;13000;3494MiliSegs;62MiliSegs;4_TSP_thread;245285;222150;1389;250;103214;52061;4.102686268766196;20.426351412078102;map_2.txt
DADCA-lkh;20;4;10,50473%;71;259200;13000;3499MiliSegs;47MiliSegs;4_TSP_thread;246510;222770;2939;250;101979;53841;4.052749259354521;19.51064445357055;map_2.txt
DADCA-parted-nsn;20;4;10,64352%;71;259200;13000;3417MiliSegs;0MiliSegs;4_TSP_thread;245450;221640;1414;24;103229;52039;4.10629572473708;20.452965119465233;map_2.txt
DADCA-NSN;20;4;10,14419%;71;259200;13000;3652MiliSegs;0MiliSegs;4_TSP_thread;245915;224105;2171;24;97233;56045;3.913654966373267;18.100086845997872;map_2.txt
FPPWR;20;4;5,45091%;71;259200;13000;3464MiliSegs;0MiliSegs;4_TSP_thread;246295;241325;3186;63;52415;90408;2.102973239121322;6.029230417443662;map_2.txt
TSPConcorde;20;8;20,64371%;71;259200;13000;4914MiliSegs;187MiliSegs;4_TSP_thread;208070;203765;1593;250;199287;49315;7.964394837867703;41.860917407995714;map_2.txt
DADCA-lkh-cutted;20;8;20,99807%;71;259200;13000;4758MiliSegs;47MiliSegs;4_TSP_thread;232395;185140;1390;24;203943;52061;8.101107634125892;40.33359134026299;map_2.txt
DADCA-lkh;20;8;20,80382%;71;259200;13000;4713MiliSegs;62MiliSegs;4_TSP_thread;233845;187600;2928;250;201120;53841;8.026164909122086;38.639363021571754;map_2.txt
DADCA-parted-nsn;20;8;20,87076%;71;259200;13000;4619MiliSegs;0MiliSegs;4_TSP_thread;232385;185320;1423;24;202589;52039;8.051989264212773;40.10599007059995;map_2.txt
DADCA-NSN;20;8;19,96296%;71;259200;13000;5218MiliSegs;0MiliSegs;4_TSP_thread;233200;192635;1713;24;189146;56045;7.701760402377686;35.61952531530549;map_2.txt
FPPWR;20;8;10,62838%;71;259200;13000;4875MiliSegs;15MiliSegs;4_TSP_thread;234140;223580;3180;63;101901;90408;4.100453615588324;11.756012489608151;map_2.txt
TSPConcorde;20;12;30,46402%;71;259200;13000;6443MiliSegs;172MiliSegs;4_TSP_thread;183165;177545;1326;24;295191;53841;11.753095648052891;56.58146007643449;map_2.txt
DADCA-lkh-cutted;20;12;31,41676%;71;259200;13000;6534MiliSegs;46MiliSegs;4_TSP_thread;218725;147930;1389;24;304673;52061;12.120664782902761;60.34606157638915;map_2.txt
DADCA-lkh;20;12;31,05488%;71;259200;13000;6828MiliSegs;76MiliSegs;4_TSP_thread;221655;152425;2932;250;299966;53841;11.981049537513334;57.67887000842214;map_2.txt
DADCA-parted-nsn;20;12;31,08845%;71;259200;13000;6257MiliSegs;0MiliSegs;4_TSP_thread;219580;149165;1425;250;301859;52039;11.993998925944979;59.74066606977341;map_2.txt
DADCA-NSN;20;12;29,67139%;71;259200;13000;7256MiliSegs;0MiliSegs;4_TSP_thread;220320;159675;1562;35;279317;56045;11.447296584457401;52.942087156594845;map_2.txt
FPPWR;20;12;15,75068%;71;259200;13000;6598MiliSegs;15MiliSegs;4_TSP_thread;221660;206650;3180;63;150496;90408;6.076649365092976;17.421771474118433;map_2.txt
TSPConcorde;20;16;40,94850%;71;259200;13000;8198MiliSegs;156MiliSegs;4_TSP_thread;157155;148735;1595;250;395768;49315;15.798030621284866;83.03456427125697;map_2.txt
