Strategy;nUAV;nPOIs;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;globalAvgDelay;nMsgs;tourSize;Unnamed: 14
TSPbased;2;20;1.503125;71.0;36000.0;30000.0;52990.5;4.0;35565.0;35355.0;2838.5;1865.5;97468.0;
TSPbased;4;20;1.95486;71.0;36000.0;30000.0;54913.5;4.0;35420.0;35142.5;2837.0;2451.5;96907.0;
TSPbased;8;20;3.01736;71.0;36000.0;30000.0;52168.0;4.0;35105.0;34690.0;2811.0;3701.0;96169.0;
TSPbased;16;20;5.18368;71.0;36000.0;30000.0;54234.5;4.0;34427.5;33745.0;2824.5;6399.0;96836.0;
ZigZagOverNSN;2;20;1.623955;71.0;36000.0;30000.0;1113.5;4.0;35702.5;35187.5;5189.5;1873.5;97977.5;
ZigZagOverNSN;4;20;2.07951;71.0;36000.0;30000.0;1321.0;4.0;35575.0;34982.5;4851.5;2199.5;97977.5;
ZigZagOverNSN;8;20;3.24896;71.0;36000.0;30000.0;1905.5;4.0;35465.0;34425.0;4370.5;3900.0;97977.5;
ZigZagOverNSN;16;20;5.40521;71.0;36000.0;30000.0;4371.5;4.0;34860.0;33375.0;3332.5;6180.5;97977.5;
