Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
KingstonImprovedOverNSNMobility;500;125;40,40910;10;375000;3000;386;4;310840;35175;20
KingstonImprovedOverNSNMobility;500;250;84,51730;10;375000;3000;1396;4;202315;-751990;66
KingstonImprovedOverNSNMobility;500;25;7,42510;10;375000;3000;128;4;365015;279515;52
KingstonImprovedOverNSNMobility;500;50;14,75232;10;375000;3000;159;4;353585;201925;65
KingstonImprovedOverNSNMobility;500;125;41,78675;10;375000;3000;419;4;292825;-100300;10
KingstonImprovedOverNSNMobility;500;250;76,30998;10;375000;3000;1410;4;221820;-474490;3
KingstonImprovedOverNSNMobility;500;25;7,64486;10;375000;3000;118;4;364385;290645;47
KingstonImprovedOverNSNMobility;500;50;15,39557;10;375000;3000;159;4;354635;174320;11
KingstonImprovedOverNSNMobility;500;125;43,41175;10;375000;3000;439;4;312425;-66945;92
KingstonImprovedOverNSNMobility;500;250;78,42989;10;375000;3000;1444;4;217425;-788440;50
KingstonImprovedOverNSNMobility;500;25;7,88060;10;375000;3000;121;4;364400;270195;94
KingstonImprovedOverNSNMobility;500;50;14,84439;10;375000;3000;156;4;354455;209040;33
KingstonImprovedOverNSNMobility;500;125;43,19751;10;375000;3000;387;4;296125;-97475;90
KingstonImprovedOverNSNMobility;500;250;79,84620;10;375000;3000;1377;4;218260;-441045;98
KingstonImprovedOverNSNMobility;500;25;7,73626;10;375000;3000;126;4;364530;276890;72
KingstonImprovedOverNSNMobility;500;50;15,84805;10;375000;3000;167;4;354125;189570;97
KingstonImprovedOverNSNMobility;500;125;41,06799;10;375000;3000;442;4;303270;-47680;90
KingstonImprovedOverNSNMobility;500;250;85,32017;10;375000;3000;1495;4;194680;-2259890;132
KingstonImprovedOverNSNMobility;500;25;7,29521;10;375000;3000;123;4;365065;290475;77
KingstonImprovedOverNSNMobility;500;50;14,54941;10;375000;3000;166;4;355805;218230;229
KingstonImprovedOverNSNMobility;500;125;43,10515;10;375000;3000;412;4;307450;-40245;47
