Strategy;nUAV;nPOIs;;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;globalAvgDelay;nMsgs;tourSize;mapa
ZigZagOverNSN;5;100;25%;0.9796;71.0;86400.0;30000.0;5588.0;1.0;85873.75;85066.25;10801.75;12667.0;218574.0;3.25
ZigZagOverNSN;5;100;50%;1.00671;71.0;86400.0;30000.0;5626.5;1.0;85945.0;85127.5;10924.0;12746.5;222624.5;5.5
ZigZagOverNSN;5;100;75%;1.023305;71.0;86400.0;30000.0;5682.0;1.0;85993.75;85240.0;11534.0;12862.5;226753.0;7.75
ZigZagOverNSN;5;100;max;1.14931;71.0;86400.0;30000.0;5857.0;1.0;86150.0;85330.0;11721.0;16870.0;238125.0;10.0
ZigZagOverNSN;10;100;count;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
ZigZagOverNSN;10;100;mean;1.65868;71.0;86400.0;30000.0;8105.4;1.0;85636.0;84414.5;9426.4;21224.9;222792.4;5.5
ZigZagOverNSN;10;100;std;0.121248657999;0.0;0.0;0.0;121.083258775;0.0;89.4986033411;177.677141655;584.004984758;2926.54318077;10111.8348945;3.0276503541
ZigZagOverNSN;10;100;min;1.49172;71.0;86400.0;30000.0;7888.0;1.0;85480.0;84245.0;8658.0;15897.0;203782.0;1.0
ZigZagOverNSN;10;100;25%;1.6067125;71.0;86400.0;30000.0;8041.0;1.0;85582.5;84277.5;9090.0;19091.75;218574.0;3.25
ZigZagOverNSN;10;100;50%;1.643695;71.0;86400.0;30000.0;8126.5;1.0;85640.0;84327.5;9334.5;22177.0;222624.5;5.5
ZigZagOverNSN;10;100;75%;1.6995925;71.0;86400.0;30000.0;8182.5;1.0;85692.5;84577.5;9450.75;22785.5;226753.0;7.75
ZigZagOverNSN;10;100;max;1.9048;71.0;86400.0;30000.0;8275.0;1.0;85760.0;84695.0;10656.0;26180.0;238125.0;10.0
ZigZagOverNSN;25;100;count;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
ZigZagOverNSN;25;100;mean;3.609541;71.0;86400.0;30000.0;20756.8;1.0;84692.5;82137.5;7067.0;46980.1;222792.4;5.5
ZigZagOverNSN;25;100;std;0.302625386445;0.0;0.0;0.0;389.689563057;0.0;77.1452454069;423.105253519;229.411808279;6677.81774817;10111.8348945;3.0276503541
ZigZagOverNSN;25;100;min;3.16678;71.0;86400.0;30000.0;20354.0;1.0;84575.0;81380.0;6758.0;39808.0;203782.0;1.0
ZigZagOverNSN;25;100;25%;3.4899425;71.0;86400.0;30000.0;20584.75;1.0;84638.75;81883.75;6933.75;41756.5;218574.0;3.25
ZigZagOverNSN;25;100;50%;3.62332;71.0;86400.0;30000.0;20678.0;1.0;84720.0;82085.0;7012.5;47394.5;222624.5;5.5
ZigZagOverNSN;25;100;75%;3.6913475;71.0;86400.0;30000.0;20747.25;1.0;84736.25;82427.5;7238.5;48837.0;226753.0;7.75
ZigZagOverNSN;25;100;max;4.20376;71.0;86400.0;30000.0;21745.0;1.0;84800.0;82765.0;7424.0;62402.0;238125.0;10.0
ZigZagOverNSN;50;100;count;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
ZigZagOverNSN;50;100;mean;6.867477;71.0;86400.0;30000.0;78632.9;1.0;83171.5;78554.0;6242.7;85886.5;222792.4;5.5
ZigZagOverNSN;50;100;std;0.595642065693;0.0;0.0;0.0;1655.77222333;0.0;312.916833111;796.254426117;266.154946517;10050.5883438;10111.8348945;3.0276503541
ZigZagOverNSN;50;100;min;5.96904;71.0;86400.0;30000.0;76195.0;1.0;82635.0;77195.0;5772.0;74504.0;203782.0;1.0
ZigZagOverNSN;50;100;25%;6.6350825;71.0;86400.0;30000.0;77339.0;1.0;82895.0;78131.25;6095.5;78869.25;218574.0;3.25
ZigZagOverNSN;50;100;50%;6.85862;71.0;86400.0;30000.0;78667.5;1.0;83305.0;78692.5;6256.0;82417.5;222624.5;5.5
ZigZagOverNSN;50;100;75%;7.069805;71.0;86400.0;30000.0;79568.75;1.0;83396.25;78893.75;6341.75;92341.25;226753.0;7.75
ZigZagOverNSN;50;100;max;8.01418;71.0;86400.0;30000.0;81655.0;1.0;83575.0;79655.0;6798.0;106712.0;238125.0;10.0
