Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize;mapName
ZigZagOverNSN;20;8;11.53231;71;259200;12649;6820;1;245090;219645;1864;164;109085;59275;4.4491940419714995;19.455606844015396;13
ZigZagOverNSN;20;16;22.11844;71;259200;12649;11797;1;227215;184445;1534;166;200648;59275;8.533349289361377;37.31495800594633;13
FPPWRMobility;800;2;0.22550;71;259200;12649;107382;1;258935;258085;27755;395;71512;562112;0.08699812189214504;0.0401164059732651;13
FPPWRMobility;800;4;0.27504;71;259200;12649;112766;1;258865;257920;26301;13818;90796;562112;0.10611056336686393;0.04892949807990424;13
FPPWRMobility;800;8;0.25636;71;259200;12649;117049;1;258875;257900;18788;398;76779;562112;0.09890560550744848;0.04560716182456636;13
FPPWRMobility;800;16;0.39867;71;259200;12649;149772;1;258780;257145;18843;461;123077;562112;0.15380654715125158;0.07092297802146977;13
ZigZagOverNSN;800;4;0.58160;71;259200;12649;119953;1;258755;256870;26411;21;191062;316870;0.22438443519232798;0.18354670875075396;13
ZigZagOverNSN;800;2;0.41692;71;259200;12649;121310;1;258600;257605;24845;113;132311;316870;0.16084684683880038;0.13157289330203886;13
ZigZagOverNSN;800;8;0.67854;71;259200;12649;131389;1;258475;256560;21100;21;182607;316870;0.2617823061937946;0.21413820735769107;13
ZigZagOverNSN;800;16;1.21936;71;259200;12649;157784;1;257650;254535;15193;411;361980;316870;0.470431187842934;0.38481321642594274;13
FPPWRMobility;20;2;2.56973;71;259200;12649;3484;1;253035;252020;2691;674;24872;80979;0.9914096436328286;3.1733335757372796;14
FPPWRMobility;20;4;4.44647;71;259200;12649;4264;1;248955;246880;2622;674;42957;80979;1.7154590692158187;5.4908925862352;14
FPPWRMobility;20;8;7.22444;71;259200;12649;5986;1;242440;239220;2564;674;69163;80979;2.7872070163656466;8.921375401548248;14
FPPWRMobility;20;16;14.20621;71;259200;12649;12233;1;226200;219955;2536;674;136436;80979;5.480791442805976;17.54308082311845;14
ZigZagOverNSN;20;2;5.56337;71;259200;12649;4019;1;252465;240545;2079;158;52022;45998;2.1463611325445795;12.094804242696531;14
ZigZagOverNSN;20;4;9.69203;71;259200;12649;4885;1;250145;224900;1692;158;89221;45998;3.739210331409085;21.070553456698875;14
ZigZagOverNSN;20;8;16.04485;71;259200;12649;6605;1;242700;202575;1544;157;146437;45998;6.190142568301328;34.88162428157103;14
ZigZagOverNSN;20;16;31.55112;71;259200;12649;11061;1;220065;148820;1347;160;260783;45998;12.172499547515624;68.59237103169812;14
FPPWRMobility;800;2;0.22359;71;259200;12649;99991;1;258950;258100;27705;137;71020;562970;0.0862632068877655;0.03971690005738994;14
FPPWRMobility;800;4;0.27357;71;259200;12649;109635;1;258880;257955;22202;13556;76736;562970;0.10554588816729495;0.04859494149415217;14
FPPWRMobility;800;8;0.25291;71;259200;12649;129900;1;258895;257950;18789;137;76317;562970;0.09757159523367066;0.04492345504124098;14
FPPWRMobility;800;16;0.39381;71;259200;12649;139402;1;258795;257145;19548;137;122096;562970;0.15193204875399935;0.06995183941779602;14
ZigZagOverNSN;800;2;0.41331;71;259200;12649;106590;1;258730;257535;31010;34;159907;328293;0.15945422941910722;0.1258952711919919;14
ZigZagOverNSN;800;4;0.54954;71;259200;12649;111949;1;258640;256905;27808;17;162475;328293;0.21201274577046297;0.1673922493129735;14
ZigZagOverNSN;800;8;0.63535;71;259200;12649;126218;1;258560;256595;25731;17;200732;328293;0.24511834103747443;0.19353039509497116;14
ZigZagOverNSN;800;16;1.17037;71;259200;12649;141239;1;258095;254265;13835;17;371615;328293;0.45152991814795623;0.35650030547087586;14
FPPWRMobility;20;2;2.00723;71;259200;12649;3632;1;254830;253570;3392;771;19456;100341;0.7743957547439402;2.000412390046235;15
FPPWRMobility;20;4;3.50077;71;259200;12649;4035;1;251045;249515;3307;771;33856;100341;1.35060632906569;3.4888745427474994;15
FPPWRMobility;20;8;5.46287;71;259200;12649;6069;1;246725;243955;3202;771;52389;100341;2.107587389022252;5.444301444420203;15
FPPWRMobility;20;16;10.62394;71;259200;12649;13401;1;234760;229665;3190;771;102223;100341;4.098741914818624;10.587834527471196;15
ZigZagOverNSN;20;2;4.82832;71;259200;12649;3697;1;253435;243140;2563;81;46092;51533;1.8627769680688921;9.369370890952533;15
ZigZagOverNSN;20;4;8.21943;71;259200;12649;4815;1;251345;229595;1889;81;77078;51533;3.1710745194139625;15.94982856484387;15
ZigZagOverNSN;20;8;13.78270;71;259200;12649;6314;1;244390;207805;1756;81;125380;51533;5.317398441072245;26.745380162729244;15
ZigZagOverNSN;20;16;26.28009;71;259200;12649;11696;1;225370;170870;1530;81;234720;51533;10.138924611339737;50.9966285537279;15
FPPWRMobility;800;2;0.22503;71;259200;12649;117226;1;258935;258125;27728;49;71126;565196;0.08681578854928934;0.03981389180386237;15
FPPWRMobility;800;8;0.25378;71;259200;12649;119838;1;258885;257885;18885;49;76618;565196;0.09790928402682413;0.04490139070296466;15
FPPWRMobility;800;4;0.27529;71;259200;12649;124164;1;258895;257860;26206;12672;90757;565196;0.10620731167123781;0.04870688254195862;15
FPPWRMobility;800;16;0.39362;71;259200;12649;141419;1;258740;257190;19684;49;122513;565196;0.15185855725356265;0.0696426337768198;15
ZigZagOverNSN;800;2;0.41056;71;259200;12649;106909;1;258635;257235;30054;42;154207;327816;0.1583965099760913;0.12524213395869288;15
ZigZagOverNSN;800;4;0.55292;71;259200;12649;113312;1;258810;256695;25871;27;204915;327816;0.2133197781516743;0.168669273302444;15
ZigZagOverNSN;800;8;0.60964;71;259200;12649;130486;1;258240;256575;26151;27;180329;327816;0.23519884902263313;0.1859687802507093;15
ZigZagOverNSN;800;16;1.15929;71;259200;12649;149678;1;258015;253880;13691;27;418519;327816;0.4472562478566517;0.35363990605841117;15
FPPWRMobility;20;2;3.14207;71;259200;12649;3412;1;251740;248330;2633;260;30077;69834;1.2122190429240964;4.499343814272787;16
FPPWRMobility;20;4;5.36748;71;259200;12649;4278;1;246590;240795;2538;260;51463;69834;2.0707858224737072;7.686050995005083;16
FPPWRMobility;20;8;8.77913;71;259200;12649;5782;1;238465;228600;2546;260;84141;69834;3.387009292600213;12.57142378557687;16
FPPWRMobility;20;16;17.19695;71;259200;12649;11635;1;218180;200080;2538;260;164841;69834;6.634626605128792;24.62547206302636;16
ZigZagOverNSN;20;2;5.34925;71;259200;12649;4000;1;252925;240685;2152;162;51881;45990;2.063752964963421;11.631327865155876;16
ZigZagOverNSN;20;4;9.32427;71;259200;12649;4864;1;249845;224920;1814;162;88928;45990;3.597325221955493;20.2745531100427;16
ZigZagOverNSN;20;8;15.50694;71;259200;12649;6479;1;241350;203050;1606;162;145738;45990;5.982617455418382;33.71807880940302;16
ZigZagOverNSN;20;16;30.48370;71;259200;12649;11457;1;219880;151985;1487;163;274089;45990;11.760686668857643;66.2833221258513;16
FPPWRMobility;800;2;0.22419;71;259200;12649;108408;1;258960;258175;27801;62;70922;562087;0.08649391438281029;0.03988568070071791;16
FPPWRMobility;800;4;0.27481;71;259200;12649;110830;1;258870;257870;24574;14270;83775;562087;0.10602404805622052;0.048891778774766824;16
FPPWRMobility;800;8;0.25475;71;259200;12649;123531;1;258890;257860;19990;62;76646;562087;0.09828139288980263;0.04532134177989678;16
FPPWRMobility;800;16;0.39645;71;259200;12649;141867;1;258780;257170;19641;62;122760;562087;0.1529516270385609;0.0705318958246588;16
ZigZagOverNSN;800;2;0.41831;71;259200;12649;110333;1;258720;257505;27340;23;132863;322330;0.16138547441796014;0.12977729336126104;16
ZigZagOverNSN;800;4;0.57152;71;259200;12649;111127;1;258880;256980;23298;11;170897;322330;0.2204931067577367;0.17730838976082075;16
ZigZagOverNSN;800;8;0.65719;71;259200;12649;116166;1;258490;256700;25192;11;207413;322330;0.2535438159674578;0.203885946386514;16
ZigZagOverNSN;800;16;1.20233;71;259200;12649;138487;1;257875;254815;13387;1217;344115;322330;0.46386253613921385;0.37301265587219384;16
FPPWRMobility;20;2;1.87317;71;259200;12649;3329;1;254625;253730;3738;814;18122;105156;0.7226726227899714;1.7813224526147873;17
FPPWRMobility;20;4;3.25125;71;259200;12649;4031;1;251365;249650;3713;814;31205;105156;1.2543417662132306;3.0918386568761593;17
FPPWRMobility;20;8;5.00694;71;259200;12649;5901;1;247255;244565;3673;814;47704;105156;1.9316915294924577;4.761444372593528;17
FPPWRMobility;20;16;9.65837;71;259200;12649;13681;1;235480;230980;3673;814;92079;105156;3.7262237320911433;9.184803447811102;17
ZigZagOverNSN;20;2;4.60552;71;259200;12649;4009;1;253685;243630;2448;668;44135;53856;1.7768198207209271;8.551539244111414;17
ZigZagOverNSN;20;4;7.98563;71;259200;12649;4887;1;252785;229965;1878;136;76678;53856;3.080875331028046;14.82774223489434;17
ZigZagOverNSN;20;8;13.31520;71;259200;12649;6555;1;246395;214585;1763;135;124682;53856;5.137037275186709;24.72370881105903;17
ZigZagOverNSN;20;16;25.68953;71;259200;12649;11573;1;233330;175410;1589;136;234181;53856;9.911082354538179;47.700396358739894;17
FPPWRMobility;800;2;0.22438;71;259200;12649;108297;1;258935;258205;27728;30;70963;559329;0.08656461506677929;0.04011511690849069;17
FPPWRMobility;800;4;0.27506;71;259200;12649;113508;1;258885;257965;24515;14692;83598;559329;0.10611893581627979;0.049176831817373534;17
FPPWRMobility;800;8;0.25610;71;259200;12649;115274;1;258880;257900;18710;30;76914;559329;0.09880234529797338;0.04578623297063928;17
FPPWRMobility;800;16;0.39818;71;259200;12649;141795;1;258720;257060;19432;30;123003;559329;0.15361956244760502;0.07118921169190087;17
ZigZagOverNSN;800;2;0.41109;71;259200;12649;110994;1;258660;257280;25357;8208;138369;333861;0.15859837903425497;0.12313118287454625;17
ZigZagOverNSN;800;4;0.53082;71;259200;12649;111205;1;258340;256995;24825;696;128221;333861;0.20479290355652618;0.15899527228952046;17
ZigZagOverNSN;800;8;0.61313;71;259200;12649;122561;1;258555;256885;26805;13;182649;333861;0.23654588310661342;0.18364736492502629;17
ZigZagOverNSN;800;16;1.12397;71;259200;12649;148848;1;257560;254870;15385;5024;354093;333861;0.4336286910222321;0.3366567425154857;17
FPPWRMobility;20;2;2.86053;71;259200;12649;3451;1;252565;250045;2795;725;27273;72523;1.1036004658207608;3.944310642702883;18
FPPWRMobility;20;4;4.98187;71;259200;12649;4260;1;247895;243745;2701;725;47593;72523;1.9220166990550205;6.869361835487519;18
FPPWRMobility;20;8;8.12654;71;259200;12649;5810;1;240535;233485;2639;725;78033;72523;3.1352404359091612;11.205470278224213;18
FPPWRMobility;20;16;15.88927;71;259200;12649;11645;1;222355;208415;2628;727;152831;72523;6.130121408702941;21.909290420084695;18
ZigZagOverNSN;20;2;5.18258;71;259200;12649;4218;1;253295;241995;2288;9;49743;48240;1.999452553440786;10.743327152816164;18
ZigZagOverNSN;20;4;9.37751;71;259200;12649;4771;1;251070;224795;1644;9;89400;48240;3.6178656311918918;19.439278018344492;18
ZigZagOverNSN;20;8;15.64689;71;259200;12649;6105;1;245995;202775;1515;9;147389;48240;6.03661045143652;32.435518843539505;18
ZigZagOverNSN;20;16;30.67969;71;259200;12649;11414;1;229035;155070;1358;9;276858;48240;11.836299189814813;63.59802549751243;18
FPPWRMobility;800;2;0.23031;71;259200;12649;108064;1;258975;258095;25797;19;65151;550040;0.08885587539056558;0.041872305470937746;18
FPPWRMobility;800;4;0.28154;71;259200;12649;108509;1;258875;257945;24842;20;85015;550040;0.10862043764765418;0.051186127260330096;18
FPPWRMobility;800;8;0.26625;71;259200;12649;113839;1;258895;257920;18558;19;77777;550040;0.10272065162513544;0.048405921207975974;18
FPPWRMobility;800;16;0.42092;71;259200;12649;143697;1;258745;257120;19243;25;125018;550040;0.162391098620162;0.07652493048204856;18
ZigZagOverNSN;800;2;0.42113;71;259200;12649;98940;1;258565;257330;27287;17285;134440;315458;0.16247296257001453;0.13349793601096743;18
ZigZagOverNSN;800;4;0.58337;71;259200;12649;108996;1;258470;256470;29437;7965;177654;315458;0.22506725495589341;0.18492931700754958;18
ZigZagOverNSN;800;8;0.67897;71;259200;12649;114580;1;258695;256040;20285;8;216439;315458;0.26194696436566556;0.21523199019704847;18
ZigZagOverNSN;800;16;1.23880;71;259200;12649;143028;1;257745;254325;13341;9;398481;315458;0.4779319722484193;0.3926987656258211;18
FPPWRMobility;20;2;2.09134;71;259200;12649;3442;1;254165;253345;2677;812;20128;94118;0.8068436475956422;2.2220390728318757;19
FPPWRMobility;20;4;3.68046;71;259200;12649;4197;1;250290;249125;2669;812;35618;94118;1.419930210238531;3.910473134722659;19
FPPWRMobility;20;8;5.79678;71;259200;12649;6131;1;245085;243255;2671;812;55933;94118;2.2364114773853085;6.159054112266218;19
FPPWRMobility;20;16;11.33970;71;259200;12649;12817;1;231355;228240;2671;812;109325;94118;4.37488390203475;12.048385084759634;19
ZigZagOverNSN;20;2;5.26119;71;259200;12649;3986;1;252560;240705;2351;94;50776;47961;2.0297794257735084;10.969721798137932;19
ZigZagOverNSN;20;4;9.61728;71;259200;12649;4561;1;249305;224445;1775;94;91884;47961;3.7103718945282727;20.052300724791568;19
ZigZagOverNSN;20;8;15.76071;71;259200;12649;6217;1;243530;205270;1564;94;147886;47961;6.080519297267948;32.86150417739105;19
ZigZagOverNSN;20;16;30.34645;71;259200;12649;11555;1;219940;161590;1424;93;272624;47961;11.707735577655844;63.27318157937481;19
FPPWRMobility;800;2;0.22271;71;259200;12649;111364;1;258950;258175;27347;30;70699;559125;0.08592272727814007;0.039832185844835964;19
FPPWRMobility;800;4;0.27307;71;259200;12649;116239;1;258870;257960;26062;14694;90323;559125;0.10534960074207521;0.048838124770571686;19
FPPWRMobility;800;8;0.25408;71;259200;12649;117981;1;258880;257885;19545;20;76206;559125;0.09802556804650596;0.04544283878856131;19
FPPWRMobility;800;16;0.39619;71;259200;12649;149070;1;258735;257045;18562;20;122215;559125;0.15285115764555773;0.07085896724655232;19
ZigZagOverNSN;800;2;0.41385;71;259200;12649;107482;1;258725;257410;30606;98;155413;326307;0.15966261038237212;0.12682703285896674;19
ZigZagOverNSN;800;4;0.56094;71;259200;12649;109876;1;258765;256965;23819;11;192260;326307;0.21641014225870794;0.17190409299664763;19
ZigZagOverNSN;800;8;0.66129;71;259200;12649;117101;1;258370;210965;25682;98;156984;326307;0.2551271391794311;0.20265870629593769;19
ZigZagOverNSN;800;16;1.16265;71;259200;12649;153854;1;257785;254715;13754;3611;375278;326307;0.4485530472441325;0.3563054113018695;19
FPPWRMobility;20;2;2.35899;71;259200;12649;3381;1;253320;252795;3298;717;22595;86208;0.9101038570720948;2.7363924433125346;20
FPPWRMobility;20;4;4.12288;71;259200;12649;4126;1;248955;247965;3147;717;39776;86208;1.5906165456866346;4.782477364536652;20
FPPWRMobility;20;8;6.62973;71;259200;12649;5760;1;242880;241065;2977;717;63484;86208;2.5577646914532837;7.69038381617357;20
FPPWRMobility;20;16;12.95139;71;259200;12649;12407;1;227165;224125;2936;717;124416;86208;4.996677812071333;15.023418811350332;20
ZigZagOverNSN;20;2;4.68094;71;259200;12649;4344;1;254085;243220;2520;200;44932;55590;1.8059187338058231;8.420473750719003;20
ZigZagOverNSN;20;4;7.88821;71;259200;12649;5079;1;253260;229270;1852;200;74622;55590;3.0432923358672475;14.189986930325428;20
ZigZagOverNSN;20;8;13.16744;71;259200;12649;6385;1;247515;212885;1756;200;123518;55590;5.080030197378448;23.68670313294646;20
ZigZagOverNSN;20;16;25.76379;71;259200;12649;11671;1;233980;169215;1578;200;241626;55590;9.939734736987502;46.34609181196547;20
FPPWRMobility;800;2;0.22374;71;259200;12649;114595;1;258960;258065;25380;81;64028;557728;0.08631995348937045;0.0401165656815595;20
FPPWRMobility;800;4;0.27385;71;259200;12649;117707;1;258865;257950;24315;14502;83291;557728;0.10565286946540363;0.04910139667621604;20
FPPWRMobility;800;8;0.25712;71;259200;12649;125496;1;258885;257930;18663;81;76702;557728;0.0991986412370464;0.046101841414887594;20
FPPWRMobility;800;16;0.40198;71;259200;12649;142468;1;258740;257285;19433;81;122836;557728;0.15508381082342448;0.0720740643565172;20
ZigZagOverNSN;800;2;0.41512;71;259200;12649;115529;1;258710;257360;26301;8221;143600;333103;0.1601537940815044;0.12462170387515556;20
ZigZagOverNSN;800;4;0.52819;71;259200;12649;116498;1;258635;256910;24146;702;152031;333103;0.20377518581628348;0.15856515301147298;20
ZigZagOverNSN;800;8;0.61100;71;259200;12649;127021;1;258350;256980;24792;32;210606;333103;0.2357263133359051;0.18342752967300385;20
ZigZagOverNSN;800;16;1.13611;71;259200;12649;144707;1;257665;254975;14501;4868;384221;333103;0.4383144718792884;0.34106901202064094;20
FPPWRMobility;20;2;2.82851;71;259200;12649;3296;1;252680;251350;2713;574;27169;75094;1.0912464515698808;3.76662689758054;21
FPPWRMobility;20;4;4.90152;71;259200;12649;3974;1;247575;245660;2658;574;47047;75094;1.891020030768936;6.527184488445258;21
FPPWRMobility;20;8;8.02006;71;259200;12649;5815;1;239775;237080;2573;574;76977;75094;3.094159617436368;10.680030000259762;21
FPPWRMobility;20;16;15.77189;71;259200;12649;11663;1;221500;216065;2541;1184;151122;75094;6.0848357600784935;21.00286879127954;21
ZigZagOverNSN;20;2;4.87674;71;259200;12649;3852;1;253420;242010;2073;119;46939;51457;1.8814568329903982;9.477303595450788;21
ZigZagOverNSN;20;4;8.49971;71;259200;12649;4496;1;251455;228880;1651;119;81909;51457;3.2792093549954284;16.51808431923383;21
ZigZagOverNSN;20;8;14.03086;71;259200;12649;6254;1;243995;209375;1324;119;129794;51457;5.413142051516538;27.26716325773144;21
ZigZagOverNSN;20;16;27.28164;71;259200;12649;10152;1;222415;172275;1186;120;249350;51457;10.525322454656305;53.018317823559755;21
FPPWRMobility;800;2;0.22392;71;259200;12649;112181;1;258945;258165;27292;216;71059;558840;0.08638972390117784;0.04006910105787935;21
FPPWRMobility;800;4;0.27338;71;259200;12649;112695;1;258875;257875;25905;14479;90233;558840;0.10547053612254365;0.04891912347534771;21
FPPWRMobility;800;8;0.25467;71;259200;12649;118656;1;258895;257980;19392;216;76278;558840;0.09825255445292148;0.0455712943135732;21
FPPWRMobility;800;16;0.39748;71;259200;12649;139442;1;258740;257160;18475;216;122619;558840;0.1533488532497913;0.07112594438899489;21
ZigZagOverNSN;800;2;0.41322;71;259200;12649;110161;1;258655;257290;30784;38;159408;328209;0.15942260016575413;0.12590251322469365;21
ZigZagOverNSN;800;4;0.54588;71;259200;12649;116626;1;258830;256750;20856;37;152775;328209;0.21060059263545758;0.16631985597930163;21
ZigZagOverNSN;800;8;0.63118;71;259200;12649;118286;1;258615;256645;24599;37;165140;328209;0.24351269129372552;0.19231187927001897;21
ZigZagOverNSN;800;16;1.14656;71;259200;12649;145314;1;257980;254500;15368;37;402209;328209;0.4423462714096561;0.3493388467390683;21
FPPWRMobility;20;2;1.92892;71;259200;12649;3222;1;254645;253625;3314;850;18429;103477;0.7441805150701133;1.8641010998209588;22
FPPWRMobility;20;4;3.31944;71;259200;12649;3951;1;251205;249610;3291;850;32182;103477;1.2806498628257876;3.207905567850287;22
FPPWRMobility;20;8;5.15316;71;259200;12649;6111;1;246865;244065;3262;850;49849;103477;1.9881032331199502;4.980008678495619;22
FPPWRMobility;20;16;9.96393;71;259200;12649;13525;1;235580;230300;3230;850;95793;103477;3.8441078198826397;9.629122867048524;22
ZigZagOverNSN;20;2;4.84713;71;259200;12649;4254;1;253765;241680;2346;228;46900;51522;1.870033090896969;9.407875803743922;22
ZigZagOverNSN;20;4;8.54880;71;259200;12649;4875;1;252165;226720;2009;228;81041;51522;3.298149696121018;16.592531369794802;22
ZigZagOverNSN;20;8;14.04745;71;259200;12649;6397;1;246880;208265;1784;228;129572;51522;5.419542323959763;27.264961965187116;22
ZigZagOverNSN;20;16;27.31009;71;259200;12649;11745;1;232175;161215;1683;228;252185;51522;10.53629966611416;53.006654894157656;22
FPPWRMobility;800;2;0.22438;71;259200;12649;100432;1;258955;257910;27555;132;71227;561840;0.0865655453389366;0.03993626183940689;22
FPPWRMobility;800;4;0.27625;71;259200;12649;105224;1;258890;257750;24191;13698;84289;561840;0.10657755998990169;0.04916863083686195;22
FPPWRMobility;800;8;0.25556;71;259200;12649;123683;1;258885;257710;18561;133;76713;561840;0.09859489460686154;0.045485897554639235;22
FPPWRMobility;800;16;0.39902;71;259200;12649;141308;1;258750;256685;18713;132;123287;561840;0.1539423668862414;0.07101997276255477;22
ZigZagOverNSN;800;2;0.41659;71;259200;12649;104892;1;258505;257360;31216;35;160360;324230;0.16072126009754534;0.12848579902317414;22
ZigZagOverNSN;800;4;0.56197;71;259200;12649;107270;1;258675;256780;25010;29;189984;324230;0.21681015928641026;0.1733250880147967;22
ZigZagOverNSN;800;8;0.65051;71;259200;12649;124034;1;258635;256500;24135;29;210787;324230;0.2509697529078084;0.20063337739784698;22
ZigZagOverNSN;800;16;1.17672;71;259200;12649;149038;1;257925;254475;13559;29;368808;324230;0.4539811852828269;0.3629273146387093;22
FPPWRMobility;20;2;1.71306;71;259200;12649;3464;1;255330;254120;3655;644;16434;119132;0.6609025515355873;1.4379506879597777;23
FPPWRMobility;20;4;2.89477;71;259200;12649;4057;1;252410;250920;3509;644;27483;119132;1.116810330456485;2.429886492750234;23
FPPWRMobility;20;8;4.29813;71;259200;12649;6417;1;249130;246750;3427;645;41007;119132;1.658228726089775;3.6078709817888535;23
FPPWRMobility;20;16;8.30459;71;259200;12649;14428;1;239565;235340;3419;644;79685;119132;3.203931732014936;6.970915496577506;23
ZigZagOverNSN;20;2;4.89323;71;259200;12649;3928;1;253185;242275;2440;66;47409;51168;1.8878198945473257;9.563065131853245;23
ZigZagOverNSN;20;4;8.55556;71;259200;12649;4777;1;251245;227125;2025;66;82875;51168;3.3007544581618675;16.720519769300267;23
ZigZagOverNSN;20;8;14.06819;71;259200;12649;6652;1;245690;205685;1904;66;131731;51168;5.427542664513792;27.494118563203077;23
ZigZagOverNSN;20;16;27.65326;71;259200;12649;11266;1;229325;157585;1716;66;248050;51168;10.668695999561807;54.044051029675195;23
FPPWRMobility;800;2;0.22402;71;259200;12649;107766;1;258960;258175;27754;53;71074;564131;0.08642600451531753;0.03970996164077192;23
FPPWRMobility;800;8;0.25433;71;259200;12649;114191;1;258880;257925;18853;53;76533;564131;0.09812138607872253;0.045083612266663034;23
FPPWRMobility;800;4;0.27359;71;259200;12649;115118;1;258875;257885;24463;13494;83582;564131;0.10555240007239618;0.04849792352975654;23
FPPWRMobility;800;16;0.39497;71;259200;12649;144680;1;258755;257090;18931;53;122372;564131;0.1523785793895761;0.07001304267586453;23
ZigZagOverNSN;800;4;0.53153;71;259200;12649;109221;1;258430;256610;24462;8639;133319;332888;0.20506547329865882;0.1596722341418506;23
ZigZagOverNSN;800;2;0.40702;71;259200;12649;110852;1;258595;257335;22946;110;157430;332888;0.15702807963248844;0.12226838528496373;23
ZigZagOverNSN;800;8;0.61615;71;259200;12649;120543;1;258485;256640;27823;27;166098;332888;0.23771337466420997;0.18509320466031587;23
ZigZagOverNSN;800;16;1.14364;71;259200;12649;146301;1;257875;254405;13876;27;395063;332888;0.44122064209914735;0.3435521569780196;23
FPPWRMobility;20;2;2.10764;71;259200;12649;3445;1;254035;253160;3086;852;19943;91867;0.8131322873799711;2.2942284921559266;24
FPPWRMobility;20;4;3.71644;71;259200;12649;4146;1;250055;248375;3082;852;35586;91867;1.433809870827618;4.045451778315592;24
FPPWRMobility;20;8;5.92477;71;259200;12649;5846;1;244775;242340;3074;852;56924;91867;2.285790323502515;6.44928920996497;24
FPPWRMobility;20;16;11.61053;71;259200;12649;12795;1;230710;226050;3071;852;111590;91867;4.4793720707590285;12.638414672741465;24
ZigZagOverNSN;20;2;4.62037;71;259200;12649;4420;1;253775;242970;2508;3936;44760;53505;1.7825502972107927;8.635399253098543;24
ZigZagOverNSN;20;4;7.91262;71;259200;12649;4514;1;252470;230820;1838;258;76905;53505;3.0527066901005924;14.78855385616435;24
ZigZagOverNSN;20;8;13.07533;71;259200;12649;6550;1;247230;212235;1634;258;124587;53505;5.04449380096403;24.437581407529702;24
ZigZagOverNSN;20;16;25.49161;71;259200;12649;11448;1;230925;174155;1556;258;240479;53505;9.834725615855053;47.64341425342734;24
FPPWRMobility;800;2;0.22591;71;259200;12649;106521;1;258965;258120;27886;133;71440;562995;0.08715533788675316;0.040125868933554326;24
FPPWRMobility;800;4;0.27506;71;259200;12649;112697;1;258895;257910;22385;13501;76715;562995;0.10611986608844139;0.048857040098267315;24
FPPWRMobility;800;8;0.25618;71;259200;12649;115199;1;258885;257945;18895;133;77047;562995;0.09883583509564109;0.04550350972351472;24
FPPWRMobility;800;16;0.39677;71;259200;12649;138680;1;258735;257020;19005;133;123186;562995;0.15307628350765862;0.07047553297131434;24
ZigZagOverNSN;800;4;0.51311;71;259200;12649;113413;1;258220;257010;27650;98;192961;339891;0.1979572637436173;0.15096169878680402;24
ZigZagOverNSN;800;2;0.40814;71;259200;12649;116431;1;258605;257390;25758;5195;137520;339891;0.15745972591354385;0.12007838088325541;24
ZigZagOverNSN;800;8;0.58754;71;259200;12649;127651;1;258595;256425;26406;21;191219;339891;0.22667569551611855;0.1728623007898942;24
ZigZagOverNSN;800;16;1.10335;71;259200;12649;152365;1;257980;254140;15993;6163;340870;339891;0.4256739338039157;0.3246178440793518;24
FPPWRMobility;20;2;2.50434;71;259200;12649;3263;1;253375;252060;2866;564;24187;83659;0.9661806627229059;2.993509697435748;25
FPPWRMobility;20;4;4.37635;71;259200;12649;4032;1;249010;246975;2757;564;42201;83659;1.688406754877305;5.231176930924318;25
FPPWRMobility;20;8;7.06858;71;259200;12649;5843;1;242525;239470;2731;564;67994;83659;2.7270742241083683;8.449271912034439;25
FPPWRMobility;20;16;13.77884;71;259200;12649;12430;1;226765;221195;2698;564;132166;83659;5.315910005620332;16.470240780511244;25
ZigZagOverNSN;20;2;4.76890;71;259200;12649;4100;1;253520;242775;2367;122;45491;52997;1.8398550621094347;8.99844202688389;25
ZigZagOverNSN;20;4;8.13484;71;259200;12649;5035;1;252445;229865;1826;122;78449;52997;3.1384405721307713;15.349619719914259;25
ZigZagOverNSN;20;8;13.45149;71;259200;12649;6515;1;245765;214760;1664;122;125341;52997;5.18961625752553;25.3815977121463;25
ZigZagOverNSN;20;16;26.20071;71;259200;12649;11585;1;231020;174195;1555;122;240140;52997;10.10830005191663;49.43810731658001;25
FPPWRMobility;800;2;0.22352;71;259200;12649;102292;1;258940;258180;27632;96;70776;564094;0.08623529872304168;0.039624937384571374;25
FPPWRMobility;800;4;0.27357;71;259200;12649;106871;1;258885;257930;26057;13167;90209;564094;0.10554216707866568;0.04849640256196688;25
FPPWRMobility;800;8;0.25213;71;259200;12649;122132;1;258885;257990;18801;96;76442;564094;0.09727204759897579;0.044696300151489864;25
FPPWRMobility;800;16;0.39222;71;259200;12649;135482;1;258745;257055;19554;96;122462;564094;0.15131992967440286;0.06953118765951281;25
ZigZagOverNSN;800;2;0.41491;71;259200;12649;104623;1;258645;257585;31806;210;160598;321965;0.1600728604038049;0.1288676887756937;25
ZigZagOverNSN;800;4;0.55486;71;259200;12649;110499;1;258510;256865;25354;4722;170063;321965;0.21406492614978864;0.17233434956602492;25
ZigZagOverNSN;800;8;0.64962;71;259200;12649;115264;1;258535;256650;26382;26;195061;321965;0.2506246219373964;0.2017669684784779;25
ZigZagOverNSN;800;16;1.17667;71;259200;12649;148835;1;257850;254180;14524;26;387730;321965;0.4539616495675189;0.3654647541437762;25
