Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize;mapName
ZigZagOverNSN;20;8;13.31694;71;259200;12649;6857;1;247070;213580;1629;197;124929;56938;5.137707071140068;23.38848700058846;3
ZigZagOverNSN;20;16;25.51196;71;259200;12649;11698;1;234585;171270;1446;198;228929;56938;9.842577112863893;44.80656130623346;3
FPPWRMobility;800;8;0.25243;71;259200;12649;111781;1;258900;257940;18685;73;76260;565555;0.09738926189081494;0.044634556642765486;3
FPPWRMobility;800;4;0.27374;71;259200;12649;117708;1;258880;257915;22063;12925;76493;565555;0.10561100721831577;0.04840267183737647;3
FPPWRMobility;800;2;0.22374;71;259200;12649;118930;1;258970;258120;25334;73;63993;565555;0.08631902321721313;0.03956094600507757;3
FPPWRMobility;800;16;0.39071;71;259200;12649;141094;1;258745;257240;18761;73;122195;565555;0.15073571875952593;0.06908381731656359;3
ZigZagOverNSN;800;2;0.41828;71;259200;12649;107839;1;258650;257265;31698;37;161550;322460;0.16137338087991504;0.12971525250906774;3
ZigZagOverNSN;800;8;0.65152;71;259200;12649;124303;1;258425;256550;26147;11;172238;322460;0.25135674612530395;0.20204573775252369;3
ZigZagOverNSN;800;4;0.56671;71;259200;12649;129462;1;258735;256495;24172;12;191862;322460;0.21863721380363074;0.17574510270390464;3
ZigZagOverNSN;800;16;1.17801;71;259200;12649;142620;1;257810;254625;13756;12;370241;322460;0.45447981115921776;0.36532024763527027;3
FPPWRMobility;20;2;2.03617;71;259200;12649;3425;1;254660;253350;3386;680;19717;100278;0.7855590206332865;2.0305241244156034;4
FPPWRMobility;20;4;3.56308;71;259200;12649;4201;1;250995;249425;3243;680;34449;100278;1.3746445616140832;3.553200805464513;4
FPPWRMobility;20;8;5.54186;71;259200;12649;6154;1;246840;243730;3107;680;53341;100278;2.1380631049001666;5.526495909273451;4
FPPWRMobility;20;16;10.83198;71;259200;12649;13347;1;234360;229550;3044;680;104141;100278;4.1790057965630245;10.80195359370087;4
ZigZagOverNSN;20;2;5.06848;71;259200;12649;4372;1;252625;241270;2263;37;48126;49412;1.9554320749504661;10.257589124649089;4
ZigZagOverNSN;20;4;8.75019;71;259200;12649;4832;1;250865;226470;1929;36;82221;49412;3.3758460267108665;17.70863940183471;4
ZigZagOverNSN;20;8;14.49296;71;259200;12649;5979;1;244270;205300;1664;36;134150;49412;5.591419407769396;29.330848994046537;4
ZigZagOverNSN;20;16;28.53511;71;259200;12649;11711;1;220480;158815;1519;36;257254;49412;11.008915132982777;57.74934838640686;4
FPPWRMobility;800;4;0.26966;71;259200;12649;109523;1;258905;257900;24069;13784;82649;562681;0.10403605645576265;0.04792439380987394;4
FPPWRMobility;800;2;0.22063;71;259200;12649;110030;1;258955;258170;27381;85;70418;562681;0.08511897213410619;0.039210205386640606;4
FPPWRMobility;800;8;0.25219;71;259200;12649;127989;1;258880;257955;19665;85;76457;562681;0.09729437413075569;0.0448188258972524;4
FPPWRMobility;800;16;0.39054;71;259200;12649;142318;1;258740;257120;18734;85;121544;562681;0.15067246025281975;0.06940753588184224;4
ZigZagOverNSN;800;2;0.41038;71;259200;12649;109967;1;258675;257395;26663;6244;142410;338210;0.15832394874780764;0.12133753441776335;4
ZigZagOverNSN;800;4;0.51227;71;259200;12649;112321;1;258530;256955;24830;725;125948;338210;0.19763538957714252;0.15146534099640857;4
ZigZagOverNSN;800;8;0.59856;71;259200;12649;118987;1;258640;256850;22070;9;190080;338210;0.23092424845917128;0.17697751456378344;4
ZigZagOverNSN;800;16;1.08516;71;259200;12649;140972;1;257620;255175;15007;5822;396011;338210;0.4186559606481469;0.3208527985571085;4
FPPWRMobility;20;2;2.15480;71;259200;12649;3277;1;254100;252855;3367;859;20463;91679;0.8313284107796078;2.3503782117395953;5
FPPWRMobility;20;4;3.80035;71;259200;12649;4036;1;249985;248335;3316;859;36581;91679;1.4661833419067216;4.145275605342796;5
FPPWRMobility;20;8;6.01225;71;259200;12649;5998;1;245055;242235;3294;859;57540;91679;2.3195405973746377;6.557934999721922;5
FPPWRMobility;20;16;11.80816;71;259200;12649;12706;1;231125;225830;3291;859;113226;91679;4.555617176783265;12.879895856436287;5
ZigZagOverNSN;20;2;4.62027;71;259200;12649;3914;1;253080;241785;2644;1245;44589;54523;1.7825130863244916;8.473990645696462;5
ZigZagOverNSN;20;4;8.15143;71;259200;12649;4769;1;249595;227070;1878;125;74525;54523;3.1448408445739995;14.950438290511906;5
ZigZagOverNSN;20;8;13.28906;71;259200;12649;6260;1;243025;209630;1797;125;125739;54523;5.126953125000002;24.3733149313134;5
ZigZagOverNSN;20;16;26.08285;71;259200;12649;11592;1;225365;163535;1636;123;240240;54523;10.062828348860691;47.83825372823746;5
FPPWRMobility;800;2;0.22976;71;259200;12649;107730;1;258945;258035;27768;172;72442;545987;0.0886409825221952;0.04208111671111765;5
FPPWRMobility;800;4;0.28137;71;259200;12649;112439;1;258855;257925;26548;16389;92511;545987;0.10855438832447604;0.05153473883756242;5
FPPWRMobility;800;8;0.26669;71;259200;12649;119535;1;258870;257915;18431;172;77757;545987;0.1028899611577887;0.04884562806824857;5
FPPWRMobility;800;16;0.42282;71;259200;12649;152004;1;258745;257170;18454;172;124750;545987;0.1631232228080696;0.07744056058450409;5
ZigZagOverNSN;800;2;0.41367;71;259200;12649;110610;1;258655;257450;31254;36;160284;327028;0.159593770242722;0.12649285457793688;5
ZigZagOverNSN;800;4;0.55545;71;259200;12649;116265;1;258785;256745;24572;26;196433;327028;0.2142947033726761;0.1698484139406951;5
ZigZagOverNSN;800;8;0.63524;71;259200;12649;120537;1;258490;256460;27371;34;190682;327028;0.24507740906254816;0.19424656123944276;5
ZigZagOverNSN;800;16;1.16438;71;259200;12649;147852;1;258005;254295;14982;26;385306;327028;0.449219122108862;0.35604778933491027;5
FPPWRMobility;20;2;2.67409;71;259200;12649;3590;1;252635;250955;2585;671;25446;76973;1.0316718226070707;3.4740667041657822;6
FPPWRMobility;20;4;4.66686;71;259200;12649;4316;1;247735;244730;2582;671;44615;76973;1.8004859444063417;6.062982562588489;6
FPPWRMobility;20;8;7.59298;71;259200;12649;5965;1;240660;235935;2590;671;72333;76973;2.929389812909619;9.864469872632913;6
FPPWRMobility;20;16;14.89911;71;259200;12649;11774;1;222310;213020;2584;671;141989;76973;5.748114449969517;19.356284222157104;6
ZigZagOverNSN;20;2;4.64419;71;259200;12649;3827;1;253645;243270;2386;1571;44822;54719;1.7917413861263514;8.487351144647203;6
ZigZagOverNSN;20;4;8.40982;71;259200;12649;4809;1;252580;223750;1779;244;79814;54719;3.2445288089658595;15.369101542132546;6
ZigZagOverNSN;20;8;13.45293;71;259200;12649;6446;1;246265;214430;1711;245;126044;54719;5.190174420819998;24.585486026362755;6
ZigZagOverNSN;20;16;26.09722;71;259200;12649;11485;1;233170;175385;1527;244;241307;54719;10.068372770919067;47.69316365836771;6
FPPWRMobility;800;4;0.27632;71;259200;12649;108085;1;258880;257985;24475;15318;84111;554786;0.1066054681546255;0.04980683965651428;6
FPPWRMobility;800;2;0.22602;71;259200;12649;110336;1;258965;258135;27639;112;71336;554786;0.08719906067815565;0.04074002683517238;6
FPPWRMobility;800;8;0.25919;71;259200;12649;120272;1;258900;257890;19624;112;76864;554786;0.09999495420381749;0.046718360105751575;6
FPPWRMobility;800;16;0.40598;71;259200;12649;138853;1;258730;257150;19904;112;123095;554786;0.15662992314910074;0.07317862397437375;6
ZigZagOverNSN;800;4;0.53014;71;259200;12649;115957;1;258630;256970;26025;557;165803;334132;0.20453056680812828;0.15866281265088902;6
ZigZagOverNSN;800;2;0.40925;71;259200;12649;118696;1;258780;257320;26313;8335;142279;334132;0.15789137219459493;0.12248286208097102;6
ZigZagOverNSN;800;8;0.61001;71;259200;12649;120586;1;258440;256750;26164;7;175904;334132;0.23534211093488153;0.18256460067973523;6
ZigZagOverNSN;800;16;1.13485;71;259200;12649;150669;1;257950;254730;14868;7;319823;334132;0.4378288698131;0.3396419470615072;6
FPPWRMobility;20;2;2.05922;71;259200;12649;3501;1;254160;253440;3296;626;19772;97363;0.794452422458465;2.1149930456254853;7
FPPWRMobility;20;4;3.64545;71;259200;12649;4110;1;250220;248990;3274;626;34973;97363;1.4064226585124222;3.7441815996468866;7
FPPWRMobility;20;8;5.72116;71;259200;12649;5983;1;245115;243155;3267;626;54709;97363;2.2072381425278147;5.8761144022186;7
