Strategy;nPOIs;nUAV;SucessTax;V2V_range;ctRounds;dimX;simumationTimeMS;pathTime;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize;mapName
DADCA-parted-nsn;20;12;31.08845;71;259200;13000;6257;0;4;219580;149165;1425;250;301859;52039;11.993998925944979;59.74066606977341;2
DADCA-NSN;20;12;29.67139;71;259200;13000;7256;0;4;220320;159675;1562;35;279317;56045;11.447296584457401;52.942087156594845;2
FPPWR;20;12;15.75068;71;259200;13000;6598;15;4;221660;206650;3180;63;150496;90408;6.076649365092976;17.421771474118433;2
TSPConcorde;20;16;40.94850;71;259200;13000;8198;156;4;157155;148735;1595;250;395768;49315;15.798030621284866;83.03456427125697;2
DADCA-lkh-cutted;20;16;41.72531;71;259200;13000;8156;63;4;205430;110920;1386;24;404842;52061;16.09772709952751;80.14695960887288;2
DADCA-lkh;20;16;41.24016;71;259200;13000;8286;62;4;209445;116930;2929;250;398067;53841;15.910556341449476;76.59620370542346;2
DADCA-parted-nsn;20;16;41.28916;71;259200;13000;8189;0;4;209940;114170;1424;24;400641;52039;15.929459471688771;79.34272170990468;2
DADCA-NSN;20;16;38.89111;71;259200;13000;9862;0;4;207945;131420;1525;24;361633;56045;15.004285205666056;69.39264386312145;2
FPPWR;20;16;20.93605;71;259200;13000;9187;15;4;209485;189680;3180;63;200907;90408;8.077181034236396;23.15730161129628;2
TSPConcorde;20;4;10.43383;71;259200;13000;3668;156;4;233550;230990;1338;198;101183;50098;4.025399257925622;20.826849128793988;3
DADCA-lkh-cutted;20;4;10.50193;71;259200;13000;3504;46;4;245535;221405;1437;234;101884;52578;4.051670143651882;19.97399865408665;3
DADCA-lkh;20;4;11.52112;71;259200;13000;3620;31;4;244400;219975;2715;198;110680;49384;4.444877579160949;23.329666866161475;3
DADCA-parted-nsn;20;4;10.15249;71;259200;13000;3350;0;4;245640;223480;1504;295;98660;54390;3.9168551025948766;18.666093814903327;3
DADCA-NSN;20;4;9.97936;71;259200;13000;3654;0;4;246300;225305;2155;198;95176;56938;3.850061561690292;17.52671250816895;3
FPPWR;20;4;5.37307;71;259200;13000;3439;16;4;246430;244710;2737;596;51761;90924;2.07294405387898;5.909408943353038;3
TSPConcorde;20;8;20.80141;71;259200;13000;4855;157;4;207795;203595;1573;234;201682;49384;8.02523463696464;42.12175639683368;3
DADCA-lkh-cutted;20;8;20.71325;71;259200;13000;4780;46;4;231195;186785;1435;234;201293;52578;7.991223886888431;39.395283797053544;3
DADCA-lkh;20;8;22.75993;71;259200;13000;4804;48;4;229595;181125;2712;198;219931;49384;8.780838894128182;46.08766890810839;3
DADCA-parted-nsn;20;8;20.16175;71;259200;13000;4938;0;4;233285;186980;1498;198;195359;54390;7.778452039037493;37.06885031289793;3
DADCA-NSN;20;8;19.47811;71;259200;13000;5253;0;4;233910;192565;1592;198;185369;56938;7.514701276958544;34.20932542392874;3
FPPWR;20;8;10.49277;71;259200;13000;4857;0;4;233530;230900;2734;596;100919;90924;4.0481351094535905;11.540150239434809;3
