;;;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;memory;memory;memory;memory;memory;memory;memory;memory;validRVZ;validRVZ;validRVZ;validRVZ;validRVZ;validRVZ;validRVZ;validRVZ;totRVZ;totRVZ;totRVZ;totRVZ;totRVZ;totRVZ;totRVZ;totRVZ;msgsRVZ;msgsRVZ;msgsRVZ;msgsRVZ;msgsRVZ;msgsRVZ;msgsRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVs;msgsRVZbyUAVs;msgsRVZbyUAVs;msgsRVZbyUAVs;msgsRVZbyUAVs;msgsRVZbyUAVs;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy;msgsRVZbyUAVsXEnergy;msgsRVZbyUAVsXEnergy;msgsRVZbyUAVsXEnergy;msgsRVZbyUAVsXEnergy;msgsRVZbyUAVsXEnergy;msgsRVZbyUAVsXEnergy;msgsRVZbyUAVsXEnergy;mapName;mapName;mapName;mapName;mapName;mapName;mapName;mapName
;;;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max
Strategy;nUAV;nPOIs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DADCA-LKH-Cut;4;48;200.0;5.353607900000005;0.24990254422603062;4.75405;5.1909275;5.3516449999999995;5.510605;6.33122;200.0;0.001034500000000001;0.00021711080622012905;0.0007;0.0009000000000000001;0.0009666666666666667;0.0011375;0.001966666666666667;200.0;5004.0;4565.766879285439;2438.0;2994.5;4598.5;5063.25;35955.0;200.0;73830.785;3154.1039149505727;64506.0;71753.0;73718.0;75871.75;82241.0;200.0;7068199.56;434558.510407522;6501416.0;6502070.0;7152000.0;7152280.0;7819040.0;200.0;406.47;1023.6893613998418;292.0;322.0;333.0;346.0;14809.0;200.0;515.025;1024.7848919401306;402.0;430.75;440.0;455.25;14933.0;200.0;90872.805;11083.005808703429;66998.0;82087.5;90709.0;97588.5;138996.0;200.0;22717.82;2770.7650790379325;16749.0;20521.5;22677.0;24396.75;34749.0;200.0;454356.4;55415.30158075864;334980.0;410430.0;453540.0;487935.0;694980.0;200.0;100.5;57.879184513951124;1.0;50.75;100.5;150.25;200.0
DADCA-LKH-Cut;4;50;200.0;5.231818849999995;0.22982925695817585;4.67103;5.0749675000000005;5.232545;5.3679875;5.989809999999999;200.0;0.0005490833333333332;0.00013923494298032256;0.0004;0.00048333333333333334;0.0005166666666666667;0.0005833333333333334;0.0019833333333333335;200.0;5261.55;4563.809663066978;2555.0;3100.25;4809.0;5137.25;37937.0;200.0;75244.52;3107.175051975362;66014.0;73387.75;75171.5;77331.5;83354.0;200.0;658113.6;488486.0747712546;0.0;0.0;650136.0;1300384.0;1317312.0;200.0;326.49;17.556796562233057;284.0;315.0;325.0;336.0;382.0;200.0;434.41;17.623702062048693;394.0;424.0;432.0;444.0;492.0;200.0;92432.805;10262.015902290801;71309.0;84420.75;92714.5;100426.5;119525.0;200.0;23107.815;2565.52945171422;17827.0;21105.0;23178.5;25106.25;29881.0;200.0;462156.3;51310.58903428442;356540.0;422100.0;463570.0;502125.0;597620.0;200.0;100.5;57.879184513951124;1.0;50.75;100.5;150.25;200.0
DADCA-LKH-Cut;4;80;198.0;4.0850182323232325;0.1588003214665344;3.75109;3.9764250000000008;4.059775;4.1826925;5.07487;198.0;0.0011091750841750849;0.00026763517795548716;0.00075;0.0009333333333333333;0.0009833333333333335;0.0012791666666666667;0.0021333333333333334;198.0;6083.722222222223;2388.231025269967;3509.0;5773.0;6008.0;6145.25;31502.0;198.0;92370.57070707071;2964.8569328099074;83165.0;90187.75;92781.5;94589.25;99666.0;198.0;7369037.939393939;443281.7889655103;6501584.0;7152000.0;7156736.0;7802268.0;8452768.0;198.0;512.8888888888889;3697.6932358944377;224.0;242.0;248.0;256.0;52281.0;198.0;618.3030303030303;3700.02380964913;329.0;347.0;354.0;363.0;52419.0;198.0;119385.89393939394;9128.809402127374;93543.0;114547.75;120112.5;124203.0;180924.0;198.0;29846.090909090908;2282.2218650779287;23385.0;28636.75;30027.5;31050.5;45231.0;198.0;596921.8181818182;45644.43730155857;467700.0;572735.0;600550.0;621010.0;904620.0;198.0;100.44444444444444;57.86501397282797;1.0;51.25;100.5;149.75;200.0
DADCA-LKH-Cut;4;160;197.0;2.7112099999999995;0.06511585572137196;2.48107;2.66526;2.71306;2.7528099999999998;2.87915;197.0;0.0011099830795262273;0.0002433506883807111;0.0008166666666666667;0.00095;0.0010166666666666668;0.0012333333333333335;0.002116666666666667;197.0;7662.324873096447;564.4703640388685;5105.0;7476.0;7652.0;7868.0;9767.0;197.0;126573.538071066;2740.9079224984234;119801.0;124950.0;126411.0;128490.0;136745.0;197.0;7796500.832487309;492039.1000196223;7151840.0;7152280.0;7802360.0;8452304.0;8469144.0;197.0;177.28426395939087;246.00781969920047;146.0;154.0;158.0;163.0;3610.0;197.0;281.3045685279188;246.17759192245032;249.0;256.0;262.0;267.0;3715.0;197.0;147970.33502538071;6828.530058858668;125199.0;145013.0;147580.0;150674.0;178831.0;197.0;36992.22842639594;1707.1255628544377;31299.0;36253.0;36895.0;37668.0;44707.0;197.0;739844.5685279188;34142.51125708876;625980.0;725060.0;737900.0;753360.0;894140.0;197.0;100.35532994923858;57.99881802558625;1.0;51.0;100.0;150.0;200.0
DADCA-LKH-Cut;4;250;196.0;2.022062397959185;0.04450821901470931;1.7379200000000001;1.9953600000000002;2.021635;2.047095;2.1386;196.0;0.0007218537414965989;0.0001290553852377494;0.00045000000000000004;0.0006333333333333334;0.0007;0.0008166666666666667;0.0014500000000000001;196.0;9087.244897959185;421.3338906493674;7598.0;8937.5;9081.0;9203.25;11113.0;196.0;156051.36224489796;2639.408876400861;148605.0;154484.5;156086.5;157859.0;163340.0;196.0;749722.7346938775;234715.4364697837;650112.0;650112.0;650248.0;650272.0;1301424.0;196.0;725.4948979591836;7548.148580941817;100.0;106.0;112.0;117.25;104721.0;196.0;827.8316326530612;7549.036227650446;200.0;207.0;213.0;219.0;104833.0;196.0;157632.9081632653;8835.8605984137;122591.0;152478.5;156138.5;163298.75;195241.0;196.0;39407.84693877551;2208.952443926542;30647.0;38119.0;39034.5;40824.5;48810.0;196.0;788156.9387755102;44179.04887853081;612940.0;762380.0;780690.0;816490.0;976200.0;196.0;99.95408163265306;57.87256498658614;1.0;50.75;99.5;149.25;200.0
DADCA-LKH-Cut;4;320;196.0;1.702583316326532;0.05196241769825708;1.23718;1.68387;1.701375;1.72533;2.0644099999999996;196.0;0.0010495748299319755;0.00015857661224188575;0.0009166666666666668;0.00095;0.0009666666666666667;0.0010875;0.0016333333333333334;196.0;10205.82142857143;764.1633291317657;8715.0;9975.75;10109.0;10243.25;16738.0;196.0;175263.54081632654;2503.959718150505;166955.0;173386.5;175403.5;176986.75;181795.0;196.0;-14503935.632653061;466890.05388819415;-15460112.0;-14808332.0;-14419364.0;-14057730.0;-13530104.0;196.0;2039.7857142857142;17681.257901503704;80.0;90.0;92.0;96.0;215486.0;196.0;2144.464285714286;17702.498472474123;180.0;190.75;194.0;200.0;215918.0;196.0;161581.5969387755;10513.465058397465;93254.0;159186.75;164634.0;167098.5;189298.0;196.0;40395.005102040814;2628.348412874712;23313.0;39796.5;41158.0;41774.5;47324.0;196.0;807900.1020408163;52566.968257494234;466260.0;795930.0;823160.0;835490.0;946480.0;196.0;99.95408163265306;57.87256498658614;1.0;50.75;99.5;149.25;200.0
DADCA-LKH-Cut;4;500;196.0;1.2118238265306118;0.02144970329483418;1.16838;1.1980724999999999;1.211275;1.2223074999999999;1.37204;196.0;0.0007050170068027204;0.00018218068031239222;0.0005;0.00055;0.0006916666666666666;0.0007666666666666667;0.0013666666666666666;196.0;13574.591836734693;2260.054493723478;10153.0;12675.5;12995.5;13447.75;32002.0;196.0;217407.2857142857;2579.206449218889;210712.0;215895.25;217426.0;219219.75;223818.0;196.0;1329685.306122449;91502.85241863686;1300224.0;1300384.0;1300496.0;1300656.0;1625720.0;196.0;141.9234693877551;1086.11238935856;49.0;56.0;60.0;68.0;15267.0;196.0;250.01020408163265;1087.7246068781212;152.0;158.0;165.0;178.0;15396.0;196.0;164146.82653061225;29888.166421366375;122805.0;149680.5;151322.0;176519.75;325546.0;196.0;41036.34693877551;7472.04097007661;30701.0;37419.75;37830.0;44129.75;81386.0;196.0;820726.9387755102;149440.8194015322;614020.0;748395.0;756600.0;882595.0;1627720.0;196.0;99.95408163265306;57.87256498658614;1.0;50.75;99.5;149.25;200.0
DADCA-LKH-Cut;8;16;200.0;17.437974849999996;1.523369304314491;13.878160000000001;16.3006025;17.25345;18.513485;22.17701;200.0;0.000983583333333334;0.00024380932254970084;0.0006833333333333333;0.0008166666666666667;0.0009000000000000001;0.0011041666666666667;0.0020666666666666667;200.0;2012.46;2426.1207778143926;939.0;1544.5;1721.5;1913.5;34077.0;200.0;46857.9;3898.3154730778524;36706.0;43965.75;47048.0;49722.25;57955.0;200.0;6050515.32;408215.229894632;5201168.0;5851728.0;5851920.0;6501896.0;6518488.0;200.0;2721.725;266.94860396863675;2106.0;2525.25;2694.5;2883.25;3728.0;200.0;3628.66;264.16688877606924;3059.0;3450.25;3603.0;3798.25;4657.0;200.0;247714.45;34131.224733762974;178583.0;225733.0;242468.0;268719.5;358882.0;200.0;30963.855;4266.425731992535;22322.0;28215.75;30308.0;33589.75;44860.0;200.0;619277.1;85328.51463985059;446440.0;564315.0;606160.0;671795.0;897200.0;200.0;100.5;57.879184513951124;1.0;50.75;100.5;150.25;200.0
DADCA-LKH-Cut;8;32;200.0;12.767952500000003;0.7739520267174511;10.86365;12.267310000000002;12.69763;13.219312499999997;15.03249;200.0;0.000997083333333334;0.00021461428075286815;0.0007;0.0008500000000000001;0.000925;0.0011;0.0019;200.0;2902.79;4257.078251819029;1388.0;2049.75;2231.5;2439.5;40546.0;200.0;62318.905;3444.987076282548;53045.0;59977.25;62497.5;64437.5;70065.0;200.0;6283889.76;419345.51405246014;5851248.0;5851736.0;6501688.0;6502088.0;7168464.0;200.0;2540.46;8646.750899847884;1679.0;1849.75;1916.5;2009.25;124200.0;200.0;3448.04;8684.972481442712;2605.0;2746.25;2822.5;2913.25;125646.0;200.0;357108.03;53888.472126883964;254231.0;332132.25;351366.0;381521.75;887079.0;200.0;44638.03;6736.018742670483;31778.0;41515.75;43920.0;47689.75;110884.0;200.0;892760.6;134720.37485340933;635560.0;830315.0;878400.0;953795.0;2217680.0;200.0;100.5;57.879184513951124;1.0;50.75;100.5;150.25;200.0
DADCA-LKH-Cut;8;48;200.0;10.4626209;0.4967793331555191;8.95845;10.1300275;10.461515;10.7740875;12.046;200.0;0.0009818333333333343;0.00016348034610391463;0.0007333333333333333;0.0008833333333333334;0.0009333333333333333;0.001;0.00185;200.0;2858.125;1950.5181580285262;1931.0;2417.25;2604.5;2809.25;19816.0;200.0;73830.785;3154.1039149505727;64506.0;71753.0;73718.0;75871.75;82241.0;200.0;6700850.0;433575.5652554383;5851288.0;6501952.0;6502244.0;7152226.0;7168880.0;200.0;2546.64;13744.067960063869;1340.0;1505.5;1555.5;1612.0;195922.0;200.0;3446.14;13806.669908060767;2236.0;2403.25;2451.0;2507.25;197702.0;200.0;431195.895;53316.15864385449;302249.0;404384.0;425733.5;446636.25;915405.0;200.0;53899.035;6664.492068147956;37781.0;50548.0;53216.5;55828.75;114425.0;200.0;1077980.7;133289.8413629594;755620.0;1010960.0;1064330.0;1116575.0;2288500.0;200.0;100.5;57.879184513951124;1.0;50.75;100.5;150.25;200.0
DADCA-LKH-Cut;8;50;200.0;10.2348305;0.4588610571234744;9.13893;9.913834999999999;10.238;10.5134425;11.74213;200.0;0.0005375000000000001;0.0001024238628585093;0.0004;0.00046666666666666666;0.0005166666666666667;0.0005833333333333334;0.0010833333333333333;200.0;2728.145;636.3068094510451;2029.0;2462.5;2633.5;2842.25;7907.0;200.0;75244.52;3107.175051975362;66014.0;73387.75;75171.5;77331.5;83354.0;200.0;182038.84;292644.08715246647;0.0;0.0;0.0;650112.0;650248.0;200.0;1518.665;78.03731084822256;1318.0;1463.0;1514.0;1564.0;1774.0;200.0;2414.44;77.85843615435653;2223.0;2363.0;2410.5;2462.5;2660.0;200.0;436410.93;37615.73566131345;336107.0;414594.0;434910.5;455102.0;603862.0;200.0;54550.9;4701.948113314472;42013.0;51823.5;54363.5;56887.5;75482.0;200.0;1091018.0;94038.96226628941;840260.0;1036470.0;1087270.0;1137750.0;1509640.0;200.0;100.5;57.879184513951124;1.0;50.75;100.5;150.25;200.0
DADCA-LKH-Cut;8;80;198.0;7.93723818181818;0.31709711515931954;6.71887;7.7266325;7.890890000000001;8.138412500000001;9.56467;198.0;0.0011261784511784516;0.0002477778001958524;0.0007333333333333333;0.00095;0.0010333333333333334;0.0012833333333333334;0.0018333333333333335;198.0;3369.1161616161617;522.8734466965395;2734.0;3127.0;3287.5;3471.5;6537.0;198.0;92370.57070707071;2964.8569328099074;83165.0;90187.75;92781.5;94589.25;99666.0;198.0;7015928.929292929;450707.11506653525;6501440.0;6520850.0;7152296.0;7171266.0;7840288.0;198.0;3329.242424242424;19174.955106118054;1028.0;1126.25;1154.0;1193.75;239412.0;198.0;4216.974747474747;19192.286444001336;1911.0;2008.0;2039.0;2079.75;240413.0;198.0;539190.0909090909;48374.50903353281;400064.0;508440.0;535876.0;557186.25;725554.0;198.0;67398.30808080808;6046.823997596087;50008.0;63554.5;66984.0;69648.0;90694.0;198.0;1347966.1616161617;120936.47995192173;1000160.0;1271090.0;1339680.0;1392960.0;1813880.0;198.0;100.44444444444444;57.86501397282797;1.0;51.25;100.5;149.75;200.0
DADCA-LKH-Cut;8;160;197.0;5.215713299492386;0.15290461421667978;4.27195;5.123130000000001;5.2217400000000005;5.2929900000000005;5.85273;197.0;0.0010967005076142134;0.00021642869973481337;0.0008;0.00095;0.0010166666666666668;0.0012166666666666667;0.00215;197.0;5002.106598984771;1547.0600010154578;4260.0;4617.0;4793.0;4971.0;22041.0;197.0;126573.538071066;2740.9079224984234;119801.0;124950.0;126411.0;128490.0;136745.0;197.0;7436269.563451776;446671.7333018166;6501576.0;7152120.0;7152648.0;7802400.0;8452752.0;197.0;2812.984771573604;20275.961563921046;656.0;718.0;738.0;758.0;211607.0;197.0;3677.791878172589;20313.172194273822;1356.0;1578.0;1598.0;1620.0;213032.0;197.0;695651.5329949239;59113.52656476902;504462.0;666624.0;701922.0;723456.0;1162610.0;197.0;86956.0;7389.222388736455;63057.0;83328.0;87740.0;90432.0;145326.0;197.0;1739120.0;147784.4477747291;1261140.0;1666560.0;1754800.0;1808640.0;2906520.0;197.0;100.35532994923858;57.99881802558625;1.0;51.0;100.0;150.0;200.0
DADCA-LKH-Cut;8;250;196.0;3.8441217346938776;0.09673912611815141;3.1545400000000003;3.7903025;3.843515;3.8944950000000005;4.19428;196.0;0.0007052721088435373;0.00012907951432610784;0.00043333333333333337;0.0006166666666666667;0.0006666666666666668;0.0007833333333333334;0.0012833333333333334;196.0;6900.40306122449;1602.7025847517898;5978.0;6556.5;6722.5;6898.75;25228.0;196.0;156051.36224489796;2639.408876400861;148605.0;154484.5;156086.5;157859.0;163340.0;196.0;650572.5306122449;2455.662626974565;650112.0;650112.0;650112.0;650144.0;666560.0;196.0;3032.1785714285716;21410.44386284055;484.0;509.0;521.0;535.0;276134.0;196.0;3891.7602040816328;21443.400632258315;1329.0;1354.75;1367.5;1390.0;277444.0;196.0;796408.8265306122;73153.2586958788;506423.0;749183.5;803217.5;831915.0;1116651.0;196.0;99550.66326530612;9144.164761671367;63302.0;93647.75;100401.5;103988.75;139581.0;196.0;1991013.2653061224;182883.2952334273;1266040.0;1872955.0;2008030.0;2079775.0;2791620.0;196.0;99.95408163265306;57.87256498658614;1.0;50.75;99.5;149.25;200.0
DADCA-LKH-Cut;8;320;196.0;3.205349948979592;0.08599238005894776;2.4180200000000003;3.1712800000000003;3.20543;3.2526124999999997;3.40654;196.0;0.0010318027210884373;0.00014294594309678156;0.0008833333333333334;0.0009333333333333333;0.0009666666666666667;0.0010708333333333334;0.0014500000000000001;196.0;8667.341836734693;2353.25681152949;7372.0;8210.75;8390.5;8585.0;34656.0;196.0;175263.54081632654;2503.959718150505;166955.0;173386.5;175403.5;176986.75;181795.0;196.0;-14824698.163265307;467627.44801778306;-15823896.0;-15304896.0;-14938744.0;-14345818.0;-13818672.0;196.0;3355.4948979591836;29925.745048240336;387.0;411.75;421.0;435.0;368140.0;196.0;4212.5204081632655;29948.70544018841;1204.0;1257.0;1270.0;1288.0;369183.0;196.0;842792.7959183673;79655.83369007382;418156.0;800685.5;865355.5;887263.75;1090513.0;196.0;105348.65816326531;9956.979752169455;52269.0;100085.0;108169.0;110907.5;136314.0;196.0;2106973.163265306;199139.5950433891;1045380.0;2001700.0;2163380.0;2218150.0;2726280.0;196.0;99.95408163265306;57.87256498658614;1.0;50.75;99.5;149.25;200.0
DADCA-LKH-Cut;8;500;196.0;2.2332660714285724;0.058487434998402074;1.76968;2.2079449999999996;2.234835;2.2568099999999998;2.43479;196.0;0.0007148809523809512;0.0002017189308556019;0.0005;0.00055;0.0006833333333333333;0.0007666666666666667;0.0017000000000000001;196.0;13422.086734693878;4275.364595953887;9215.0;11376.5;12348.0;13791.75;38595.0;196.0;217407.2857142857;2579.206449218889;210712.0;215895.25;217426.0;219219.75;223818.0;196.0;1318212.4897959183;85373.56622499881;975224.0;1300384.0;1300464.0;1300608.0;1625688.0;196.0;5165.219387755102;27426.50748151637;230.0;260.75;282.0;300.0;272505.0;196.0;6051.0204081632655;27511.59617547951;1017.0;1108.0;1146.0;1189.5;273614.0;196.0;897745.418367347;147062.470952709;496128.0;793176.0;900437.0;989554.0;1336453.0;196.0;112217.75;18382.80157699666;62016.0;99146.5;112554.5;123693.5;167056.0;196.0;2244355.0;367656.0315399331;1240320.0;1982930.0;2251090.0;2473870.0;3341120.0;196.0;99.95408163265306;57.87256498658614;1.0;50.75;99.5;149.25;200.0
DADCA-LKH-Cut;16;16;200.0;34.213825549999996;3.042903295555944;27.18473;31.87946;33.866344999999995;36.278545;43.64366;200.0;0.001013333333333334;0.00025544325452320536;0.0007;0.0008500000000000001;0.0009333333333333333;0.0011375;0.0021000000000000003;200.0;3714.66;7991.321116079713;855.0;1375.5;1590.0;1881.5;56865.0;200.0;46857.9;3898.3154730778524;36706.0;43965.75;47048.0;49722.25;57955.0;200.0;6606616.04;449500.2482402861;5851272.0;6501736.0;6501984.0;7152058.0;7168624.0;200.0;12863.815;16207.42073046934;9121.0;10900.5;11683.0;12528.75;240387.0;200.0;20084.34;16416.88097138256;15852.0;18139.75;18900.0;19573.0;250545.0;200.0;1092572.685;201266.32709568867;729585.0;968950.0;1052658.0;1159515.75;2045760.0;200.0;68285.33;12579.145306191169;45599.0;60559.25;65790.5;72469.0;127860.0;200.0;1365706.6;251582.90612382363;911980.0;1211185.0;1315810.0;1449380.0;2557200.0;200.0;100.5;57.879184513951124;1.0;50.75;100.5;150.25;200.0
DADCA-LKH-Cut;16;32;200.0;25.177082249999994;1.5115147758595169;22.20685;24.21325;25.053470000000004;26.0573275;29.71143;200.0;0.0011002500000000007;0.0002533388295048683;0.0007166666666666667;0.0009166666666666668;0.001025;0.0012333333333333335;0.0019166666666666668;200.0;3024.105;6069.623856779673;1291.0;1837.25;2005.5;2211.25;51635.0;200.0;62318.905;3444.987076282548;53045.0;59977.25;62497.5;64437.5;70065.0;200.0;6889634.04;402894.05498491705;6501344.0;6501960.0;7151752.0;7152196.0;7818600.0;200.0;8308.39;614.3042049187883;7277.0;7917.5;8247.0;8621.25;12018.0;200.0;15629.575;685.7386981831564;13272.0;15250.5;15553.0;15911.25;19362.0;200.0;1564273.88;263960.50309365016;1151691.0;1441390.75;1528637.0;1630971.75;3532813.0;200.0;97766.64;16497.486841054117;71980.0;90086.75;95539.5;101935.5;220800.0;200.0;1955332.8;329949.7368210822;1439600.0;1801735.0;1910790.0;2038710.0;4416000.0;200.0;100.5;57.879184513951124;1.0;50.75;100.5;150.25;200.0
DADCA-LKH-Cut;16;48;200.0;20.639904799999986;0.9746038280069443;18.28185;19.985847500000002;20.619495;21.24596;23.830460000000002;200.0;0.0011280000000000012;0.0002236365101354204;0.0007666666666666667;0.0009458333333333334;0.0010583333333333334;0.0012833333333333334;0.0017333333333333335;200.0;2931.595;4329.270955484889;1756.0;2138.0;2331.0;2529.75;44364.0;200.0;73830.785;3154.1039149505727;64506.0;71753.0;73718.0;75871.75;82241.0;200.0;7282500.08;454713.27172640833;6501360.0;7151902.0;7152180.0;7802232.0;7843712.0;200.0;9118.515;20962.747608466234;5849.0;6440.75;6661.0;6889.75;278091.0;200.0;16434.3;21042.946369736288;12577.0;13721.75;13969.0;14237.5;286058.0;200.0;1881903.205;235988.83549712566;1493486.0;1747786.5;1850451.0;1969502.5;3451929.0;200.0;117618.47;14749.303046615609;93342.0;109236.25;115652.5;123093.5;215745.0;200.0;2352369.4;294986.06093231175;1866840.0;2184725.0;2313050.0;2461870.0;4314900.0;200.0;100.5;57.879184513951124;1.0;50.75;100.5;150.25;200.0
DADCA-LKH-Cut;16;50;200.0;20.17040200000001;0.927419446327893;18.008329999999997;19.551897500000003;20.17579;20.727885;23.03954;200.0;0.0005604166666666665;0.00011915200914881278;0.0004;0.00048333333333333334;0.0005166666666666667;0.0006166666666666667;0.0009833333333333335;200.0;3317.905;5238.324805682073;1801.0;2208.5;2369.5;2606.75;49716.0;200.0;75244.52;3107.175051975362;66014.0;73387.75;75171.5;77331.5;83354.0;200.0;832277.68;292693.12802541896;650208.0;650208.0;650208.0;1300456.0;1300456.0;200.0;10581.58;32116.502774679244;5692.0;6290.75;6515.0;6741.0;338147.0;200.0;17884.945;32271.697802365637;11582.0;13574.0;13790.0;14094.5;346136.0;200.0;1913300.56;248839.61002798722;1289485.0;1774961.5;1893342.5;1990224.0;3480887.0;200.0;119580.775;15552.5015995626;80592.0;110934.5;118333.5;124388.25;217555.0;200.0;2391615.5;311050.03199125186;1611840.0;2218690.0;2366670.0;2487765.0;4351100.0;200.0;100.5;57.879184513951124;1.0;50.75;100.5;150.25;200.0
DADCA-LKH-Cut;16;80;198.0;15.571343080808077;0.631313870829422;13.296320000000001;15.166684999999998;15.513555;16.002817500000003;17.79056;198.0;0.0011255050505050508;0.00024555644357141;0.00075;0.0009666666666666667;0.0010166666666666668;0.0012666666666666668;0.0021000000000000003;198.0;3745.6060606060605;4335.236649652588;1862.0;2850.0;3048.5;3361.25;53618.0;198.0;92370.57070707071;2964.8569328099074;83165.0;90187.75;92781.5;94589.25;99666.0;198.0;7586748.484848484;419711.6533967126;7151720.0;7152170.0;7802068.0;7802448.0;8468984.0;198.0;16822.282828282827;56047.09080583732;4486.0;4833.25;4959.5;5147.75;388749.0;198.0;24135.969696969696;56414.17591655714;10418.0;12046.0;12231.5;12444.0;398921.0;198.0;2355485.02020202;287706.5980016885;1624320.0;2208060.5;2319287.0;2446422.25;4123667.0;198.0;147217.34848484848;17981.64561067172;101520.0;138003.0;144955.0;152901.0;257729.0;198.0;2944346.9696969697;359632.91221343447;2030400.0;2760060.0;2899100.0;3058020.0;5154580.0;198.0;100.44444444444444;57.86501397282797;1.0;51.25;100.5;149.75;200.0
DADCA-LKH-Cut;16;160;197.0;10.172569492385783;0.31554947525453836;8.903310000000001;9.989230000000001;10.205960000000001;10.362110000000001;10.92112;197.0;0.0011218274111675132;0.000228398097955207;0.0007666666666666667;0.00095;0.0010166666666666668;0.0013166666666666667;0.00175;197.0;4134.076142131979;410.7872224546178;3127.0;3941.0;4079.0;4233.0;7476.0;197.0;126573.538071066;2740.9079224984234;119801.0;124950.0;126411.0;128490.0;136745.0;197.0;8005426.598984771;470100.3331507819;7151656.0;7802544.0;7841800.0;8472096.0;9017096.0;197.0;17231.299492385788;56631.65955087647;2811.0;3077.0;3156.0;3257.0;447431.0;197.0;24456.700507614212;56831.0248641429;8784.0;10182.0;10341.0;10536.0;455186.0;197.0;2992943.0253807106;277038.7572908519;2217194.0;2816333.0;3056300.0;3155223.0;3705541.0;197.0;187058.461928934;17314.924426715814;138574.0;176020.0;191018.0;197201.0;231596.0;197.0;3741169.23857868;346298.48853431625;2771480.0;3520400.0;3820360.0;3944020.0;4631920.0;197.0;100.35532994923858;57.99881802558625;1.0;51.0;100.0;150.0;200.0
DADCA-LKH-Cut;16;250;196.0;7.454497857142859;0.21090664190949146;6.05134;7.354397499999999;7.45854;7.574597500000001;7.918539999999999;196.0;0.0006827380952380951;0.00010832018329130587;0.00045000000000000004;0.0006166666666666667;0.0006666666666666668;0.0007666666666666667;0.0009833333333333335;196.0;5232.34693877551;271.43306686078733;4226.0;5069.0;5227.0;5351.25;6345.0;196.0;156051.36224489796;2639.408876400861;148605.0;154484.5;156086.5;157859.0;163340.0;196.0;550804.1224489796;234760.63754553153;0.0;650112.0;650112.0;650136.0;666536.0;196.0;19053.816326530614;61341.82326499419;2023.0;2189.25;2236.0;2305.75;489723.0;196.0;26198.45408163265;61498.172603185645;7634.0;9235.0;9352.0;9530.5;497948.0;196.0;3421798.1326530613;409713.8710965942;2192904.0;3150561.5;3500672.0;3678601.25;5872505.0;196.0;213861.9030612245;25607.08469666842;137056.0;196910.0;218791.5;229912.25;367031.0;196.0;4277238.0612244895;512141.69393336825;2741120.0;3938200.0;4375830.0;4598245.0;7340620.0;196.0;99.95408163265306;57.87256498658614;1.0;50.75;99.5;149.25;200.0
DADCA-LKH-Cut;16;320;196.0;6.1979081122449005;0.1911423514932439;4.90545;6.125722500000001;6.201775;6.3069075;6.707089999999999;196.0;0.0010432823129251725;0.00015258997702101017;0.0008833333333333334;0.00095;0.0009666666666666667;0.0010708333333333334;0.0017833333333333334;196.0;6448.9795918367345;2879.556091072486;3998.0;5924.0;6126.0;6324.0;44915.0;196.0;175263.54081632654;2503.959718150505;166955.0;173386.5;175403.5;176986.75;181795.0;196.0;-14582563.06122449;457208.9680519562;-15509504.0;-14883112.0;-14556156.0;-14161548.0;-13647272.0;196.0;14788.005102040815;60098.89790640153;1687.0;1773.0;1817.5;1860.0;503721.0;196.0;21807.448979591838;60272.171505361795;7306.0;8719.5;8855.5;8977.25;511937.0;196.0;3663117.8163265307;767423.1342945086;2109712.0;3303284.25;3727197.5;3965604.0;11611909.0;196.0;228944.443877551;47963.937593238894;131857.0;206455.0;232949.5;247849.75;725744.0;196.0;4578888.87755102;959278.7518647781;2637140.0;4129100.0;4658990.0;4956995.0;14514880.0;196.0;99.95408163265306;57.87256498658614;1.0;50.75;99.5;149.25;200.0
