;;;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;memory;memory;memory;memory;memory;memory;memory;memory;validRVZ;validRVZ;validRVZ;validRVZ;validRVZ;validRVZ;validRVZ;validRVZ;totRVZ;totRVZ;totRVZ;totRVZ;totRVZ;totRVZ;totRVZ;totRVZ;msgsRVZ;msgsRVZ;msgsRVZ;msgsRVZ;msgsRVZ;msgsRVZ;msgsRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVs;msgsRVZbyUAVs;msgsRVZbyUAVs;msgsRVZbyUAVs;msgsRVZbyUAVs;msgsRVZbyUAVs;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy;msgsRVZbyUAVsXEnergy;msgsRVZbyUAVsXEnergy;msgsRVZbyUAVsXEnergy;msgsRVZbyUAVsXEnergy;msgsRVZbyUAVsXEnergy;msgsRVZbyUAVsXEnergy;msgsRVZbyUAVsXEnergy;mapName;mapName;mapName;mapName;mapName;mapName;mapName;mapName
;;;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max
Strategy;nUAV;nPOIs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DADCA-LKH;2;500;196.0;0.7047121938775514;0.009080035738276182;0.68319;0.69841;0.7045650000000001;0.7096425000000001;0.72735;196.0;0.0006090136054421767;0.00011786728659742735;0.00046666666666666666;0.0005;0.0006083333333333333;0.0006666666666666668;0.0010333333333333334;196.0;22007.948979591838;1088.2194760951486;21118.0;21579.0;21753.0;21957.0;27877.0;196.0;217040.17857142858;2556.355834496462;210491.0;215619.5;216979.0;218760.25;223169.0;196.0;991012.775510204;88102.52580663231;650368.0;975328.0;975360.0;975464.0;1300680.0;196.0;1127.0816326530612;15586.086684833661;11.0;13.0;13.0;15.0;218219.0;196.0;1132.4795918367347;15586.058285748866;16.0;18.0;18.0;20.0;218224.0;196.0;62341.19387755102;8564.174383137166;17393.0;61196.25;62857.0;64240.25;121936.0;196.0;31170.326530612245;4282.127221850493;8696.0;30598.0;31428.0;32120.0;60968.0;196.0;623406.5306122449;85642.54443700987;173920.0;611960.0;628560.0;642400.0;1219360.0;196.0;99.95408163265306;57.87256498658614;1.0;50.75;99.5;149.25;200.0
DADCA-LKH;4;16;200.0;9.534544149999999;0.9389609922430473;7.77199;8.8054875;9.410025000000001;10.17711;11.89658;200.0;0.0012799999999999995;0.00035913149780985703;0.0008;0.0010166666666666668;0.00115;0.0014875;0.0025166666666666666;200.0;3478.78;356.00107503648877;2624.0;3209.5;3466.5;3746.0;4408.0;200.0;45286.575;4243.858494220778;36214.0;42239.75;45432.5;48367.75;55245.0;200.0;7556651.48;316305.039909341;7151648.0;7152342.0;7802384.0;7803636.0;7820352.0;200.0;617.69;64.8983271303784;485.0;570.75;609.0;663.0;772.0;200.0;672.405;65.15856943529586;538.0;624.75;665.0;716.5;825.0;200.0;115287.925;15871.452043819785;80337.0;103052.0;114119.0;126263.25;158543.0;200.0;28821.59;3967.849955358847;20084.0;25763.0;28529.0;31565.5;39635.0;200.0;576431.8;79356.9991071769;401680.0;515260.0;570580.0;631310.0;792700.0;200.0;100.5;57.879184513951124;1.0;50.75;100.5;150.25;200.0
DADCA-LKH;4;32;200.0;6.770752400000001;0.4007756053798408;5.9069400000000005;6.53112;6.71366;6.9979725;8.15767;200.0;0.0015498333333333317;0.000499885497777013;0.0008666666666666667;0.0012000000000000001;0.0013833333333333334;0.00175;0.0033;200.0;4860.835;323.003395870258;3693.0;4681.25;4853.0;5062.5;5801.0;200.0;61220.29;3407.7129609196986;50911.0;59225.0;61530.0;63272.0;69524.0;200.0;8132492.56;326338.2936799421;7801808.0;7802448.0;8452056.0;8453270.0;8471008.0;200.0;433.21;28.341348949926623;373.0;415.0;431.0;451.0;530.0;200.0;487.995;29.002078854617423;429.0;468.75;486.0;504.25;591.0;200.0;156881.345;13708.340098540792;125746.0;146618.5;155859.0;164520.75;193830.0;200.0;39219.95;3427.0813897190706;31436.0;36654.25;38964.0;41129.5;48457.0;200.0;784399.0;68541.6277943814;628720.0;733085.0;779280.0;822590.0;969140.0;200.0;100.5;57.879184513951124;1.0;50.75;100.5;150.25;200.0
DADCA-LKH;4;48;200.0;5.504381400000001;0.2584687285227379;4.80497;5.341547500000001;5.4859100000000005;5.66188;6.3866;200.0;0.0019630000000000003;0.0006605776366713846;0.00095;0.0014833333333333335;0.001816666666666667;0.0023083333333333332;0.005016666666666667;200.0;5908.12;346.85671900308904;4803.0;5713.0;5931.0;6122.0;7279.0;200.0;72876.615;3226.4136906620424;63056.0;70883.5;72867.0;74856.5;82712.0;200.0;8804777.64;333495.5757158114;8451864.0;8452680.0;9102472.0;9104180.0;9753184.0;200.0;350.26;19.97919520916772;303.0;339.0;347.0;362.0;418.0;200.0;405.18;20.88753324895332;356.0;392.0;402.0;416.0;480.0;200.0;185368.43;12110.58288664802;159959.0;176605.25;185033.0;193041.25;221503.0;200.0;46341.72;3027.633842627791;39989.0;44150.75;46258.0;48260.25;55375.0;200.0;926834.4;60552.67685255574;799780.0;883015.0;925160.0;965205.0;1107500.0;200.0;100.5;57.879184513951124;1.0;50.75;100.5;150.25;200.0
DADCA-LKH;4;50;200.0;5.384821099999999;0.245764768528852;4.80961;5.2294775;5.3524899999999995;5.5138225;6.29626;200.0;0.0012443333333333332;0.0007489606421909556;0.00045000000000000004;0.0006833333333333333;0.0010166666666666668;0.0015833333333333335;0.005166666666666667;200.0;6036.24;384.66760747586477;4774.0;5835.25;6046.5;6258.75;7670.0;200.0;74214.66;3161.3443270499424;63903.0;72438.25;74346.5;76198.25;82727.0;200.0;1304582.44;444059.8420196529;650112.0;1300224.0;1300376.0;1333024.0;1968552.0;200.0;343.315;18.35675973969;303.0;331.0;341.5;355.0;402.0;200.0;398.88;19.87790875020325;358.0;384.75;396.5;411.0;455.0;200.0;189069.315;12589.215330151419;156015.0;180623.0;188833.0;195874.5;229620.0;200.0;47266.925;3147.3145559261666;39003.0;45155.75;47208.0;48968.25;57405.0;200.0;945338.5;62946.29111852333;780060.0;903115.0;944160.0;979365.0;1148100.0;200.0;100.5;57.879184513951124;1.0;50.75;100.5;150.25;200.0
DADCA-LKH;4;80;198.0;4.173373585858586;0.1937996385085925;3.8036300000000005;4.0684375;4.14958;4.2549275;5.98076;198.0;0.003592255892255892;0.0018247488807772946;0.0010666666666666667;0.002266666666666667;0.0030166666666666666;0.00445;0.011666666666666667;198.0;7578.828282828283;289.3015057452657;6807.0;7405.0;7597.5;7772.75;8429.0;198.0;91567.62626262626;2923.4518071533853;82173.0;89716.25;91772.5;93569.25;99523.0;198.0;9645257.010101011;449900.725213287;9102136.0;9109646.0;9752980.0;9769352.0;10421096.0;198.0;955.3383838383838;9715.859139255223;231.0;255.0;265.0;273.0;136979.0;198.0;1010.3181818181819;9720.147238590103;284.0;310.0;318.0;327.0;137094.0;198.0;225968.30303030304;12136.057142816044;192956.0;217334.5;226430.0;234119.5;267817.0;198.0;56491.69696969697;3034.0282296922433;48239.0;54333.25;56607.0;58529.5;66954.0;198.0;1129833.9393939395;60680.56459384487;964780.0;1086665.0;1132140.0;1170590.0;1339080.0;198.0;100.44444444444444;57.86501397282797;1.0;51.25;100.5;149.75;200.0
DADCA-LKH;4;160;197.0;2.7483522335025374;0.06572362196167773;2.55845;2.70083;2.7450799999999997;2.79522;2.91318;197.0;0.017548730964466994;0.013018382686817336;0.002766666666666667;0.009066666666666667;0.014483333333333334;0.02231666666666667;0.1034;197.0;10851.97461928934;411.3090406294923;9951.0;10581.0;10848.0;11094.0;12832.0;197.0;126014.8883248731;2726.918178598537;119240.0;124121.0;126042.0;128018.0;134082.0;197.0;-11686519.390862944;491518.82676101534;-12881632.0;-11964424.0;-11590104.0;-11313960.0;-10882800.0;197.0;170.55329949238578;8.566275342380685;155.0;163.0;169.0;175.0;204.0;197.0;225.16243654822335;9.538536776092098;208.0;218.0;225.0;230.0;258.0;197.0;279627.4873096447;12039.383812631286;248393.0;271092.0;279424.0;287959.0;313783.0;197.0;69906.52791878172;3009.832089947169;62098.0;67773.0;69856.0;71989.0;78445.0;197.0;1398130.5583756345;60196.641798943405;1241960.0;1355460.0;1397120.0;1439780.0;1568900.0;197.0;100.35532994923858;57.99881802558625;1.0;51.0;100.0;150.0;200.0
DADCA-LKH;4;250;196.0;2.043607448979591;0.06352276539726001;1.55279;2.019795;2.04533;2.0663225;2.38556;196.0;0.04846726190476191;0.029223239463055762;0.009283333333333334;0.0262375;0.040150000000000005;0.06340833333333334;0.14511666666666667;196.0;14128.811224489797;568.4975881838028;12697.0;13803.25;14096.0;14374.0;16378.0;196.0;155522.1581632653;2621.759074867668;147536.0;154140.5;155511.5;157183.25;162851.0;196.0;-12818783.224489795;377466.41862267203;-13592408.0;-13163708.0;-12747956.0;-12490578.0;-12154064.0;196.0;2285.3061224489797;18784.60052435652;112.0;121.0;125.0;129.0;202269.0;196.0;2341.6326530612246;18798.7760847582;165.0;175.0;178.0;183.0;202422.0;196.0;306886.48979591834;17648.853363056325;149767.0;300802.25;308662.0;316437.0;335345.0;196.0;76721.23979591837;4412.223946317712;37441.0;75200.0;77165.0;79108.75;83836.0;196.0;1534424.7959183673;88244.47892635425;748820.0;1504000.0;1543300.0;1582175.0;1676720.0;196.0;99.95408163265306;57.87256498658614;1.0;50.75;99.5;149.25;200.0
DADCA-LKH;4;320;196.0;1.7212356122448966;0.030054026568108436;1.65484;1.6991325;1.721625;1.738615;1.82155;196.0;0.07732806122448979;0.04619146608426602;0.014650000000000002;0.04489583333333334;0.06771666666666668;0.09515;0.34786666666666666;196.0;16626.51020408163;701.8803571783291;15664.0;16315.75;16487.5;16694.5;21254.0;196.0;174811.54081632654;2589.651681036412;166543.0;173188.0;174876.0;176513.25;181066.0;196.0;3705437.4693877553;145778.9101847395;3188656.0;3630148.0;3724108.0;3809624.0;3935696.0;196.0;102.61734693877551;6.500611813576561;91.0;99.0;101.0;105.0;148.0;196.0;157.24489795918367;7.608445003688309;146.0;152.0;156.0;160.0;203.0;196.0;313468.2755102041;9940.460761420765;277478.0;308179.5;313493.5;317465.5;346986.0;196.0;78366.69897959183;2485.165750278626;69369.0;77044.75;78373.0;79366.25;86746.0;196.0;1567333.9795918367;49703.31500557251;1387380.0;1540895.0;1567460.0;1587325.0;1734920.0;196.0;99.95408163265306;57.87256498658614;1.0;50.75;99.5;149.25;200.0
DADCA-LKH;4;500;196.0;1.2226551020408158;0.018311319533732603;1.18054;1.2106;1.2231400000000001;1.23222;1.2683799999999998;196.0;0.21276062925170078;0.10656455596829002;0.04903333333333334;0.1338;0.184475;0.27555833333333335;0.5619666666666667;196.0;22797.382653061224;1431.7403508712484;18308.0;21970.0;23200.0;23604.25;27398.0;196.0;217040.17857142858;2556.355834496462;210491.0;215619.5;216979.0;218760.25;223169.0;196.0;10811505.75510204;372981.16948338144;9999248.0;10529732.0;10966872.0;11048878.0;11592624.0;196.0;77.9438775510204;70.41577557268592;56.0;66.0;70.0;76.25;1045.0;196.0;135.23469387755102;72.28558760069397;110.0;121.0;126.0;135.25;1116.0;196.0;315318.52040816325;24222.32435742913;257451.0;303868.75;315392.5;325090.5;435831.0;196.0;78829.22959183673;6055.590134772218;64362.0;75967.0;78848.0;81272.5;108957.0;196.0;1576584.5918367347;121111.80269544435;1287240.0;1519340.0;1576960.0;1625450.0;2179140.0;196.0;99.95408163265306;57.87256498658614;1.0;50.75;99.5;149.25;200.0
