Strategy;nUAV;nPOIs;SucessTax;pathTime;globalAvgDelay;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy;mapName
DADCA-LKH-Cut;2;250;1.10973;0.0007166666666666667;9068.5;156086.5;650136.0;20.0;30.0;27443.0;13721.5;274430.0;99.5
DADCA-LKH-Cut;2;320;0.948245;0.0009666666666666667;10208.5;175403.5;-14694152.0;16.0;26.0;29446.5;14723.0;294460.0;99.5
DADCA-LKH-Cut;2;500;0.69892;0.0006666666666666668;13028.0;217426.0;1300408.0;10.0;20.0;28920.0;14460.0;289200.0;99.5
DADCA-LKH-Cut;4;16;8.817335;0.0009000000000000001;1984.5;47048.0;6501916.0;577.0;685.5;50329.5;12582.0;251640.0;100.5
DADCA-LKH-Cut;4;32;6.486635;0.00095;2714.5;62497.5;6501940.0;412.0;521.5;72180.5;18045.0;360900.0;100.5
DADCA-LKH-Cut;4;48;5.3516449999999995;0.0009666666666666667;4598.5;73718.0;7152000.0;333.0;440.0;90709.0;22677.0;453540.0;100.5
DADCA-LKH-Cut;4;50;5.232545;0.0005166666666666667;4809.0;75171.5;650136.0;325.0;432.0;92714.5;23178.5;463570.0;100.5
DADCA-LKH-Cut;4;80;4.059775;0.0009833333333333335;6008.0;92781.5;7156736.0;248.0;354.0;120112.5;30027.5;600550.0;100.5
DADCA-LKH-Cut;4;160;2.71306;0.0010166666666666668;7652.0;126411.0;7802360.0;158.0;262.0;147580.0;36895.0;737900.0;100.0
DADCA-LKH-Cut;4;250;2.021635;0.0007;9081.0;156086.5;650248.0;112.0;213.0;156138.5;39034.5;780690.0;99.5
DADCA-LKH-Cut;4;320;1.701375;0.0009666666666666667;10109.0;175403.5;-14419364.0;92.0;194.0;164634.0;41158.0;823160.0;99.5
DADCA-LKH-Cut;4;500;1.211275;0.0006916666666666666;12995.5;217426.0;1300496.0;60.0;165.0;151322.0;37830.0;756600.0;99.5
DADCA-LKH-Cut;8;16;17.25345;0.0009000000000000001;1721.5;47048.0;5851920.0;2694.5;3603.0;242468.0;30308.0;606160.0;100.5
DADCA-LKH-Cut;8;32;12.69763;0.000925;2231.5;62497.5;6501688.0;1916.5;2822.5;351366.0;43920.0;878400.0;100.5
DADCA-LKH-Cut;8;48;10.461515;0.0009333333333333333;2604.5;73718.0;6502244.0;1555.5;2451.0;425733.5;53216.5;1064330.0;100.5
DADCA-LKH-Cut;8;50;10.238;0.0005166666666666667;2633.5;75171.5;0.0;1514.0;2410.5;434910.5;54363.5;1087270.0;100.5
DADCA-LKH-Cut;8;80;7.890890000000001;0.0010333333333333334;3287.5;92781.5;7152296.0;1154.0;2039.0;535876.0;66984.0;1339680.0;100.5
DADCA-LKH-Cut;8;160;5.2217400000000005;0.0010166666666666668;4793.0;126411.0;7152648.0;738.0;1598.0;701922.0;87740.0;1754800.0;100.0
DADCA-LKH-Cut;8;250;3.843515;0.0006666666666666668;6722.5;156086.5;650112.0;521.0;1367.5;803217.5;100401.5;2008030.0;99.5
DADCA-LKH-Cut;8;320;3.20543;0.0009666666666666667;8390.5;175403.5;-14938744.0;421.0;1270.0;865355.5;108169.0;2163380.0;99.5
DADCA-LKH-Cut;8;500;2.234835;0.0006833333333333333;12348.0;217426.0;1300464.0;282.0;1146.0;900437.0;112554.5;2251090.0;99.5
