;Strategy;mapName;nPOIs;nUAV;SucessTax;pathTime;globalAvgDelay;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy
2456;DADCA-LKH-Cut;176;250;4;2.12239;0.0006333333333333334;8572;149.537;1300376;118;220;168851;42212;844240.0
2457;TSP-based;108;500;4;1.18449;0.3307833333333334;13617;222.221;12358480;0;0;0;0;0.0
2458;FPPWR;3;500;4;0.29755;0.0012833333333333334;30396;553.589;650112;0;0;0;0;0.0
2459;DADCA-LKH;177;250;4;2.0714;0.10208333333333333;13987;154.097;-12584976;119;179;320680;80170;1603400.0
2460;DADCA-NSN;3;500;4;0.95076;0.0018000000000000002;26169;263.949;2600600;53;100;193585;48396;967920.0
2461;DADCA-LKH-Cut;177;250;4;2.03689;0.0006666666666666668;7997;154.897;650112;127;236;145290;36322;726440.0
2462;TSP-based;109;500;4;1.22294;0.7123166666666667;13917;218.165;11989792;0;0;0;0;0.0
2463;DADCA-Parted-NSN;3;500;4;0.8392200000000001;0.0006500000000000001;15798;288.437;325088;76;176;157795;39448;788960.0
2464;DADCA-LKH;178;250;4;2.0162;0.020916666666666667;14466;157.347;-12250744;119;172;308194;77048;1540960.0
2465;FPPWR;4;500;4;0.29155;0.0011166666666666666;31207;567.427;650136;0;0;0;0;0.0
2466;DADCA-LKH-Cut;178;250;4;1.9857599999999997;0.0007;9235;158.422;1300384;106;208;153772;38443;768860.0
2467;TSP-based;110;500;4;1.20117;0.23563333333333333;13380;220.001;12816088;0;0;0;0;0.0
2468;DADCA-NSN;4;500;4;1.00037;0.0018166666666666667;26187;258.684;2600544;55;119;206359;51589;1031780.0
2469;DADCA-LKH;180;250;4;2.05205;0.011183333333333333;15941;155.011;-12416768;120;175;321423;80355;1607100.0
2470;DADCA-Parted-NSN;4;500;4;0.9606299999999999;0.0007333333333333333;14470;263.808;325088;38;140;105393;26348;526960.0
2471;DADCA-LKH-Cut;180;250;4;2.04115;0.0006666666666666668;8998;154.483;650272;110;214;160929;40232;804640.0
2472;TSP-based;111;500;4;1.22854;0.24953333333333336;13525;216.382;12728112;0;0;0;0;0.0
2473;FPPWR;5;500;4;0.29306;0.00165;30104;562.448;650176;0;0;0;0;0.0
2474;DADCA-LKH;181;250;4;2.0447599999999997;0.03485;14761;155.482;-12478336;126;179;309536;77384;1547680.0
2475;DADCA-NSN;5;500;4;0.9904;0.0020333333333333336;26254;259.897;2600600;49;105;209883;52470;1049400.0
2476;DADCA-LKH-Cut;181;250;4;2.01612;0.0006666666666666668;9038;156.45600000000002;1300384;112;215;154180;38545;770900.0
2477;TSP-based;112;500;4;1.2269700000000001;0.44430000000000003;13249;216.399;12613336;0;0;0;0;0.0
2478;DADCA-Parted-NSN;5;500;4;0.95015;0.0006333333333333334;14724;265.651;325088;32;147;92837;23209;464180.0
2479;DADCA-LKH;182;250;4;2.07603;0.024833333333333336;13894;153.401;-13126416;123;177;318177;79544;1590880.0
2480;FPPWR;6;500;4;0.28376999999999997;0.0010500000000000002;32245;574.107;650112;0;0;0;0;0.0
2481;DADCA-LKH-Cut;182;250;4;2.06067;0.0007166666666666667;8639;153.727;1300384;120;230;157355;39338;786760.0
2482;TSP-based;113;500;4;1.21278;0.02861666666666667;13603;219.06900000000002;12766936;0;0;0;0;0.0
2483;DADCA-NSN;6;500;4;0.9605799999999999;0.0018166666666666667;26574;264.36400000000003;2600600;51;114;203845;50961;1019220.0
2484;DADCA-LKH;183;250;4;2.05927;0.05535;13907;154.579;-12213352;127;180;316889;79222;1584440.0
2485;DADCA-Parted-NSN;6;500;4;0.91774;0.0006333333333333334;14712;272.164;325088;28;138;85165;21291;425820.0
2486;DADCA-LKH-Cut;183;250;4;2.0359599999999998;0.0007166666666666667;8961;155.422;1300384;116;216;161062;40265;805300.0
2487;TSP-based;114;500;4;1.21106;0.18563333333333334;13851;219.499;12596160;0;0;0;0;0.0
2488;FPPWR;7;500;4;0.29583000000000004;0.001;31163;555.966;650112;0;0;0;0;0.0
2489;DADCA-LKH;184;250;4;2.01353;0.09341666666666668;14381;157.87;-13219672;121;174;297854;74463;1489260.0
2490;TSP-based;115;500;4;1.2239200000000001;0.08643333333333333;13268;216.917;12718416;0;0;0;0;0.0
2491;DADCA-LKH-Cut;184;250;4;1.9953900000000002;0.00075;9086;158.163;1301424;104;204;145029;36257;725140.0
2492;DADCA-NSN;7;500;4;1.01588;0.0019333333333333333;25772;256.086;2600600;47;100;211431;52857;1057140.0
2493;DADCA-LKH;185;250;4;2.04796;0.025283333333333335;14007;155.536;-12501896;121;175;306913;76728;1534560.0
2494;DADCA-Parted-NSN;7;500;4;0.95711;0.0006833333333333333;14555;264.194;325056;36;142;105028;26257;525140.0
2495;TSP-based;116;500;4;1.22811;0.034300000000000004;13535;216.576;12199376;0;0;0;0;0.0
2496;DADCA-LKH-Cut;185;250;4;2.01795;0.0008666666666666667;9140;156.442;650272;114;215;165001;41250;825000.0
2497;FPPWR;8;500;4;0.28536999999999996;0.0010333333333333334;31743;574.928;650112;0;0;0;0;0.0
2498;DADCA-LKH;186;250;4;2.02427;0.1043;14251;156.993;-12913392;123;181;300344;75086;1501720.0
2499;DADCA-NSN;8;500;4;0.9422799999999999;0.00185;32923;268.15;2600600;44;97;174426;43606;872120.0
2500;TSP-based;117;500;4;1.23086;0.024083333333333335;13501;216.419;12027976;0;0;0;0;0.0
2501;DADCA-LKH-Cut;186;250;4;2.00022;0.0010166666666666668;9151;157.328;650112;100;200;150133;37533;750660.0
2502;DADCA-Parted-NSN;8;500;4;0.93711;0.0006500000000000001;14795;270.174;325056;32;132;91000;22750;455000.0
2503;DADCA-LKH;187;250;4;2.03039;0.12706666666666666;14213;156.357;-12482952;123;176;312382;78095;1561900.0
2504;FPPWR;9;500;4;0.29120999999999997;0.0009833333333333335;31832;565.491;650152;0;0;0;0;0.0
2505;TSP-based;118;500;4;1.36693;0.299;13922;214.799;12701576;0;0;0;0;0.0
2506;DADCA-LKH-Cut;187;250;4;2.00814;0.0006000000000000001;9202;157.147;1300248;104;204;153273;38318;766360.0
2507;DADCA-NSN;9;500;4;0.9854799999999999;0.0018166666666666667;26450;259.43;2600576;63;116;199892;49973;999460.0
2508;DADCA-LKH;188;250;4;2.0192099999999997;0.040433333333333335;14350;157.348;-13162720;119;174;303231;75807;1516140.0
2509;DADCA-Parted-NSN;9;500;4;0.88025;0.0006833333333333333;15490;281.931;325056;30;132;86744;21686;433720.0
2510;TSP-based;119;500;4;1.21956;0.24078333333333335;13733;218.50300000000001;12330288;0;0;0;0;0.0
2511;DADCA-LKH-Cut;188;250;4;2.01586;0.0006166666666666667;9130;156.915;1300248;120;220;154002;38500;770000.0
2512;FPPWR;10;500;4;0.28791;0.001;30133;565.732;650112;0;0;0;0;0.0
2513;DADCA-LKH;189;250;4;2.04561;0.11021666666666667;13167;155.992;-13201968;128;186;293561;73390;1467800.0
2514;DADCA-NSN;10;500;4;0.96254;0.00185;27307;266.39300000000003;2600600;47;114;198950;49737;994740.0
2515;TSP-based;120;500;4;1.26006;0.13446666666666668;13251;211.911;12221024;0;0;0;0;0.0
2516;DADCA-LKH-Cut;189;250;4;2.01602;0.0007;9141;156.727;650272;104;208;157028;39257;785140.0
2517;DADCA-Parted-NSN;10;500;4;0.91214;0.0006333333333333334;14825;275.07800000000003;325088;34;146;84044;21011;420220.0
2518;DADCA-LKH;190;250;4;2.05005;0.023683333333333334;13915;154.903;-13216784;129;183;310480;77620;1552400.0
2519;FPPWR;11;500;4;0.29084;0.0011833333333333333;32860;569.453;650136;0;0;0;0;0.0
