;Strategy;mapName;nPOIs;nUAV;SucessTax;pathTime;globalAvgDelay;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy
0;TSP-based;1;50;4;5.08935;0.00055;4014;78.269;1300456;0;0;0;0;0.0
1;TSP-based;2;50;4;5.42145;0.0005666666666666667;4359;74.051;1300376;0;0;0;0;0.0
2;DADCA-LKH;1;50;4;5.17199;0.00046666666666666666;6319;76.794;1300360;327;380;185244;46311;926220.0
3;TSP-based;3;50;4;4.84776;0.0005333333333333334;4423;81.936;1300464;0;0;0;0;0.0
4;DADCA-LKH-Cut;1;50;4;5.12616;0.0005166666666666667;5064;76.516;1300520;314;430;95744;23936;478720.0
5;FPPWR;1;50;4;1.48981;0.0008666666666666667;10136;222.42600000000002;650176;0;0;0;0;0.0
6;TSP-based;4;50;4;5.34344;0.0006666666666666668;4336;75.836;1300512;0;0;0;0;0.0
7;DADCA-LKH;2;50;4;5.51335;0.0005;5282;72.057;1300224;380;451;175646;43911;878220.0
8;DADCA-NSN;1;50;4;4.70421;0.00045000000000000004;6086;84.44500000000001;0;301;377;131228;32807;656140.0
9;DADCA-Parted-NSN;1;50;4;4.29838;0.00036666666666666667;3953;90.292;0;261;380;61696;15424;308480.0
10;TSP-based;5;50;4;5.11184;0.0007;4340;78.278;1300512;0;0;0;0;0.0
11;FPPWR;2;50;4;1.57666;0.0007666666666666667;12398;218.74200000000002;650112;0;0;0;0;0.0
12;DADCA-LKH-Cut;2;50;4;5.424919999999999;0.0005166666666666667;2555;72.632;1300520;334;436;85505;21376;427520.0
13;DADCA-NSN;2;50;4;5.12195;0.00045000000000000004;6029;79.607;0;313;378;164360;41090;821800.0
14;DADCA-Parted-NSN;2;50;4;4.60694;0.00048333333333333334;3235;86.903;0;284;396;67253;16813;336260.0
15;TSP-based;6;50;4;5.36435;0.0008833333333333334;3613;74.56700000000001;1316776;0;0;0;0;0.0
16;DADCA-LKH;3;50;4;4.9836;0.0005166666666666667;6488;79.33500000000001;650112;319;373;180254;45063;901260.0
17;TSP-based;7;50;4;5.1776599999999995;0.0006000000000000001;4043;77.226;1300432;0;0;0;0;0.0
18;DADCA-LKH-Cut;3;50;4;4.926;0.00046666666666666666;3316;79.47;1300384;312;415;86046;21511;430220.0
19;TSP-based;8;50;4;5.772880000000001;0.0005833333333333334;3667;69.753;1300520;0;0;0;0;0.0
20;FPPWR;1;50;4;1.49433;0.0005333333333333334;10147;222.42600000000002;650176;0;0;0;0;0.0
21;DADCA-LKH;4;50;4;5.63399;0.0005;6026;70.782;1300224;358;413;193525;48381;967620.0
22;TSP-based;9;50;4;5.61262;0.0005333333333333334;3744;71.586;1300400;0;0;0;0;0.0
23;DADCA-NSN;1;50;4;4.707990000000001;0.00036666666666666667;6065;84.44500000000001;0;285;340;131325;32831;656620.0
24;DADCA-LKH-Cut;4;50;4;5.33368;0.0006666666666666668;3011;73.809;1300384;342;444;87298;21824;436480.0
25;DADCA-Parted-NSN;1;50;4;4.28515;0.00035;5960;90.292;0;259;376;61355;15338;306760.0
26;TSP-based;10;50;4;5.30764;0.0009333333333333333;4203;75.524;1300536;0;0;0;0;0.0
27;FPPWR;2;50;4;1.57554;0.0005333333333333334;12394;218.74200000000002;650112;0;0;0;0;0.0
28;DADCA-LKH;5;50;4;5.08985;0.0005166666666666667;6104;78.045;650112;335;389;162788;40697;813940.0
29;TSP-based;11;50;4;5.37863;0.0005333333333333334;4312;74.49;1308584;0;0;0;0;0.0
30;DADCA-NSN;2;50;4;5.1223;0.00038333333333333334;6029;79.607;0;315;370;163985;40996;819920.0
31;DADCA-LKH-Cut;5;50;4;5.14807;0.0008166666666666667;16975;76.407;1300496;331;439;89167;22291;445820.0
32;DADCA-Parted-NSN;2;50;4;4.59888;0.00035;3297;86.903;0;278;388;70214;17553;351060.0
33;TSP-based;12;50;4;5.31566;0.0007;3735;75.44500000000001;1300648;0;0;0;0;0.0
34;FPPWR;3;50;4;1.66474;0.00055;11242;212.555;650112;0;0;0;0;0.0
35;DADCA-LKH;6;50;4;5.56674;0.00048333333333333334;5504;71.70100000000001;1316784;357;411;181529;45382;907640.0
36;TSP-based;13;50;4;5.25621;0.0008500000000000001;4073;76.254;1300424;0;0;0;0;0.0
37;DADCA-NSN;3;50;4;4.47909;0.00038333333333333334;6647;89.631;0;275;343;141500;35375;707500.0
38;DADCA-LKH-Cut;6;50;4;5.4229199999999995;0.0006666666666666668;2608;72.798;1316784;330;432;93118;23279;465580.0
39;DADCA-Parted-NSN;3;50;4;4.24695;0.00036666666666666667;3717;93.691;0;248;368;71024;17756;355120.0
40;TSP-based;14;50;4;5.21061;0.001;3729;76.65;1300376;0;0;0;0;0.0
41;FPPWR;4;50;4;1.72002;0.00055;11228;203.08100000000002;650136;0;0;0;0;0.0
42;DADCA-LKH;7;50;4;5.34008;0.0005666666666666667;6010;74.652;1301264;341;394;186229;46557;931140.0
43;TSP-based;15;50;4;5.597569999999999;0.0007833333333333334;3884;71.998;1300376;0;0;0;0;0.0
44;DADCA-NSN;4;50;4;5.06813;0.00036666666666666667;6342;80.114;0;321;377;164270;41067;821340.0
45;DADCA-LKH-Cut;7;50;4;5.29248;0.0005166666666666667;4312;74.264;1300384;339;440;97070;24267;485340.0
46;DADCA-Parted-NSN;4;50;4;4.3333699999999995;0.00035;3544;90.60300000000001;0;256;358;70563;17640;352800.0
47;TSP-based;16;50;4;5.48283;0.0009666666666666667;3897;73.138;1300472;0;0;0;0;0.0
48;FPPWR;5;50;4;1.80729;0.0005333333333333334;10357;195.737;650136;0;0;0;0;0.0
49;DADCA-LKH;8;50;4;6.07191;0.00045000000000000004;5662;65.924;1300840;393;446;217292;54323;1086460.0
50;TSP-based;17;50;4;5.2988800000000005;0.0006333333333333334;3944;75.706;1300424;0;0;0;0;0.0
51;DADCA-NSN;5;50;4;5.10945;0.00038333333333333334;5812;78.526;0;311;367;151920;37980;759600.0
52;DADCA-LKH-Cut;8;50;4;5.67596;0.0005166666666666667;19981;69.244;1301000;355;465;100418;25104;502080.0
53;DADCA-Parted-NSN;5;50;4;4.6243099999999995;0.00035;7245;85.679;0;280;402;79834;19958;399160.0
54;TSP-based;18;50;4;5.44911;0.0006166666666666667;3915;73.709;1300512;0;0;0;0;0.0
55;FPPWR;6;50;4;1.4925899999999999;0.0005666666666666667;10960;224.32;650136;0;0;0;0;0.0
56;DADCA-LKH;9;50;4;5.66119;0.0005166666666666667;5856;70.666;1300376;355;409;197513;49378;987560.0
57;TSP-based;19;50;4;5.205019999999999;0.0008666666666666667;4163;76.849;1300512;0;0;0;0;0.0
58;DADCA-NSN;6;50;4;4.49506;0.00045000000000000004;6285;87.955;0;293;368;119719;29929;598580.0
59;TSP-based;20;50;4;4.96169;0.0007;4486;80.528;1317816;0;0;0;0;0.0
60;DADCA-LKH-Cut;9;50;4;5.51204;0.0005166666666666667;4737;71.259;1300536;354;464;107772;26943;538860.0
61;DADCA-Parted-NSN;6;50;4;4.9821800000000005;0.00036666666666666667;2929;79.381;0;300;402;81073;20268;405360.0
62;FPPWR;7;50;4;1.41381;0.0006833333333333333;11820;230.053;650136;0;0;0;0;0.0
63;TSP-based;21;50;4;5.38237;0.00055;3698;74.361;1300400;0;0;0;0;0.0
64;DADCA-LKH;10;50;4;5.38657;0.00055;6041;73.758;1300224;366;445;182098;45524;910480.0
65;DADCA-NSN;7;50;4;4.77346;0.00036666666666666667;6749;84.028;0;336;389;158357;39589;791780.0
66;TSP-based;22;50;4;4.83194;0.0007;4428;82.266;1300376;0;0;0;0;0.0
67;DADCA-Parted-NSN;7;50;4;4.45004;0.00038333333333333334;5272;88.202;0;277;392;84907;21226;424520.0
68;DADCA-LKH-Cut;10;50;4;5.23511;0.0007;3030;75.126;1300384;322;428;81171;20292;405840.0
69;FPPWR;8;50;4;1.82948;0.0005333333333333334;9770;197.353;650176;0;0;0;0;0.0
70;TSP-based;23;50;4;5.34201;0.0006833333333333333;3711;74.937;1300376;0;0;0;0;0.0
71;DADCA-LKH;11;50;4;5.6212599999999995;0.0005;5633;71.141;1300272;354;407;219083;54770;1095400.0
72;DADCA-NSN;8;50;4;5.153630000000001;0.00036666666666666667;6297;78.634;0;311;384;165824;41456;829120.0
73;TSP-based;24;50;4;5.55806;0.00095;3972;72.488;1300376;0;0;0;0;0.0
74;DADCA-Parted-NSN;8;50;4;5.13291;0.00035;4948;76.419;0;316;426;93038;23259;465180.0
75;DADCA-LKH-Cut;11;50;4;5.324730000000001;0.0007;5004;73.88;1300640;332;446;108457;27114;542280.0
76;FPPWR;9;50;4;1.76748;0.0005166666666666667;10606;196.231;650112;0;0;0;0;0.0
77;TSP-based;25;50;4;4.914;0.0008833333333333334;4446;81.188;1316776;0;0;0;0;0.0
78;DADCA-LKH;12;50;4;5.4195199999999994;0.00075;6139;73.519;1300224;339;392;199070;49767;995340.0
79;DADCA-NSN;9;50;4;5.580830000000001;0.00038333333333333334;5705;72.289;0;356;412;191717;47929;958580.0
80;TSP-based;26;50;4;5.0492300000000006;0.0005833333333333334;3951;79.32000000000001;1300512;0;0;0;0;0.0
81;DADCA-Parted-NSN;9;50;4;5.14487;0.00035;4481;76.164;0;342;482;100966;25241;504820.0
82;DADCA-LKH-Cut;12;50;4;5.2973;0.0007333333333333333;4982;74.18900000000001;1300416;326;436;107838;26959;539180.0
83;TSP-based;27;50;4;5.285069999999999;0.00055;4093;76.153;1300400;0;0;0;0;0.0
84;FPPWR;10;50;4;1.33665;0.00055;12822;244.772;650112;0;0;0;0;0.0
85;DADCA-LKH;13;50;4;5.44201;0.0006500000000000001;6068;73.334;1308432;350;406;188510;47127;942540.0
86;DADCA-NSN;10;50;4;4.54398;0.00038333333333333334;6034;87.205;0;289;362;125967;31491;629820.0
87;TSP-based;28;50;4;5.48121;0.0006333333333333334;3811;73.46900000000001;1300664;0;0;0;0;0.0
88;DADCA-Parted-NSN;10;50;4;4.8995;0.00038333333333333334;5235;81.175;0;292;407;97157;24289;485780.0
89;DADCA-LKH-Cut;13;50;4;5.2179400000000005;0.0008;3153;75.401;1308592;326;428;80711;20177;403540.0
90;TSP-based;29;50;4;5.25791;0.0008;3821;76.22;1300872;0;0;0;0;0.0
91;FPPWR;11;50;4;1.42025;0.00055;10871;230.708;650176;0;0;0;0;0.0
92;DADCA-LKH;14;50;4;5.50089;0.0005666666666666667;5756;72.718;650112;357;411;183621;45905;918100.0
93;DADCA-NSN;11;50;4;4.99225;0.00038333333333333334;5860;79.615;0;313;382;148897;37224;744480.0
94;TSP-based;30;50;4;4.9838;0.0009000000000000001;4023;80.116;1300376;0;0;0;0;0.0
95;DADCA-Parted-NSN;11;50;4;4.80282;0.00036666666666666667;3207;81.358;0;322;432;82044;20511;410220.0
96;DADCA-LKH-Cut;14;50;4;5.18503;0.0007833333333333334;2857;75.914;1300408;318;422;83703;20925;418500.0
97;TSP-based;31;50;4;5.47288;0.0011333333333333334;4075;73.348;1316776;0;0;0;0;0.0
98;FPPWR;12;50;4;1.25401;0.0005333333333333334;13447;254.622;650176;0;0;0;0;0.0
99;DADCA-LKH;15;50;4;5.82037;0.00048333333333333334;5098;68.694;1300360;371;424;204263;51065;1021300.0
100;TSP-based;32;50;4;5.15316;0.0005333333333333334;4026;78.049;1300376;0;0;0;0;0.0
101;DADCA-NSN;12;50;4;5.25285;0.00036666666666666667;5980;75.857;0;335;388;175359;43839;876780.0
102;DADCA-Parted-NSN;12;50;4;4.79356;0.00036666666666666667;5541;82.536;0;290;403;85892;21473;429460.0
103;DADCA-LKH-Cut;15;50;4;5.60239;0.00095;4904;70.209;1300520;362;470;108864;27216;544320.0
104;TSP-based;33;50;4;5.09441;0.0006333333333333334;3905;78.117;1300376;0;0;0;0;0.0
105;FPPWR;13;50;4;1.6631599999999997;0.0005333333333333334;11022;207.33700000000002;650112;0;0;0;0;0.0
106;DADCA-LKH;16;50;4;5.55887;0.0006166666666666667;6010;71.683;1316680;361;414;194430;48607;972140.0
107;TSP-based;34;50;4;5.77955;0.0006666666666666668;3866;69.69200000000001;1300376;0;0;0;0;0.0
108;DADCA-NSN;13;50;4;5.09892;0.00036666666666666667;6476;79.989;0;308;376;171083;42770;855400.0
109;DADCA-Parted-NSN;13;50;4;4.85374;0.00036666666666666667;11770;80.771;0;300;417;75629;18907;378140.0
110;DADCA-LKH-Cut;16;50;4;5.5039;0.0005;3054;71.398;1316784;343;455;93690;23422;468440.0
111;TSP-based;35;50;4;5.22535;0.0005666666666666667;3934;76.715;1308584;0;0;0;0;0.0
112;FPPWR;14;50;4;1.76269;0.00055;11081;200.31900000000002;650112;0;0;0;0;0.0
113;TSP-based;36;50;4;5.78939;0.0009666666666666667;3699;69.5;1300512;0;0;0;0;0.0
114;DADCA-LKH;17;50;4;5.32153;0.0006833333333333333;5994;74.86;650112;337;390;179862;44965;899300.0
115;DADCA-NSN;14;50;4;4.48804;0.00038333333333333334;6456;87.903;0;287;343;130404;32601;652020.0
116;DADCA-Parted-NSN;14;50;4;4.4970300000000005;0.00035;5261;86.659;0;274;384;96097;24024;480480.0
117;TSP-based;37;50;4;5.24136;0.0005666666666666667;3969;76.516;1300376;0;0;0;0;0.0
118;DADCA-LKH-Cut;17;50;4;5.3897;0.0005166666666666667;13484;73.09100000000001;1300544;332;434;85566;21391;427820.0
119;FPPWR;15;50;4;2.17623;0.0005833333333333334;8783;174.327;650136;0;0;0;0;0.0
120;TSP-based;38;50;4;5.07562;0.00075;3992;79.039;1300432;0;0;0;0;0.0
121;DADCA-LKH;18;50;4;5.63291;0.0006500000000000001;5322;71.153;1300360;357;410;206179;51544;1030880.0
122;DADCA-NSN;15;50;4;5.11281;0.00036666666666666667;6231;77.818;0;319;384;165889;41472;829440.0
123;DADCA-Parted-NSN;15;50;4;5.085459999999999;0.00035;12101;77.352;0;312;425;79113;19778;395560.0
124;TSP-based;39;50;4;5.33758;0.0009166666666666668;3904;75.036;1300376;0;0;0;0;0.0
125;DADCA-LKH-Cut;18;50;4;5.40471;0.0005166666666666667;5232;72.764;1300520;339;461;92604;23151;463020.0
126;FPPWR;16;50;4;1.67697;0.0005333333333333334;10339;208.745;650112;0;0;0;0;0.0
127;TSP-based;40;50;4;5.29576;0.0006333333333333334;4073;75.613;1300480;0;0;0;0;0.0
128;DADCA-LKH;19;50;4;5.33113;0.0006000000000000001;6403;74.556;650112;346;399;180470;45117;902340.0
129;DADCA-NSN;16;50;4;5.07477;0.00036666666666666667;6130;79.266;0;325;386;152964;38241;764820.0
130;DADCA-Parted-NSN;16;50;4;4.4794;0.00035;3621;86.767;0;275;385;77542;19385;387700.0
131;TSP-based;41;50;4;4.90729;0.0006166666666666667;3987;81.38;1300448;0;0;0;0;0.0
132;DADCA-LKH-Cut;19;50;4;5.14691;0.0006333333333333334;5378;76.185;1300488;326;436;89007;22251;445020.0
133;FPPWR;17;50;4;1.45081;0.0005166666666666667;12397;229.78900000000002;650136;0;0;0;0;0.0
134;TSP-based;42;50;4;4.95934;0.0005833333333333334;4817;81.112;1300376;0;0;0;0;0.0
135;DADCA-LKH;20;50;4;5.1137;0.0007;6047;77.83800000000001;1308432;325;378;173853;43463;869260.0
136;DADCA-NSN;17;50;4;4.5629599999999995;0.0005;6482;86.879;0;287;354;132800;33200;664000.0
137;TSP-based;43;50;4;5.0345699999999995;0.0008666666666666667;4377;79.961;1301416;0;0;0;0;0.0
138;DADCA-Parted-NSN;17;50;4;4.5183599999999995;0.00035;5471;86.203;0;272;384;80281;20070;401400.0
139;DADCA-LKH-Cut;20;50;4;4.90644;0.00046666666666666666;3142;79.848;1308592;300;402;82472;20618;412360.0
140;FPPWR;18;50;4;0.92315;0.0005666666666666667;14639;300.943;650136;0;0;0;0;0.0
141;TSP-based;44;50;4;5.24498;0.0006500000000000001;4195;76.55;1300512;0;0;0;0;0.0
142;DADCA-LKH;21;50;4;5.4520800000000005;0.0006833333333333333;6033;72.875;1316624;366;421;180660;45165;903300.0
143;DADCA-NSN;18;50;4;4.77747;0.00036666666666666667;6491;84.596;0;289;342;148751;37187;743740.0
144;TSP-based;45;50;4;5.21856;0.0006333333333333334;3823;76.60000000000001;1300400;0;0;0;0;0.0
145;DADCA-Parted-NSN;18;50;4;4.01246;0.00036666666666666667;6221;97.424;0;234;346;66760;16690;333800.0
146;DADCA-LKH-Cut;21;50;4;5.341130000000001;0.00075;2858;73.72;1316784;330;432;78338;19584;391680.0
147;FPPWR;19;50;4;1.4841799999999998;0.0005333333333333334;12394;232.62;650136;0;0;0;0;0.0
148;TSP-based;46;50;4;5.07319;0.0009833333333333335;4531;78.72;1300424;0;0;0;0;0.0
149;DADCA-LKH;22;50;4;4.99707;0.0007666666666666667;6604;79.47800000000001;1300400;322;378;175106;43776;875520.0
150;DADCA-NSN;19;50;4;4.52064;0.0004166666666666667;6426;88.436;0;275;332;127176;31794;635880.0
151;TSP-based;47;50;4;5.03669;0.0006666666666666668;4273;79.548;1300376;0;0;0;0;0.0
152;DADCA-Parted-NSN;19;50;4;4.14306;0.00035;3431;94.277;0;254;368;63136;15784;315680.0
153;DADCA-LKH-Cut;22;50;4;4.98025;0.0005166666666666667;11212;78.68;1300632;315;427;86455;21613;432260.0
154;TSP-based;48;50;4;5.47589;0.0005666666666666667;4044;73.286;1308584;0;0;0;0;0.0
155;FPPWR;20;50;4;1.47681;0.0005333333333333334;11166;227.074;650136;0;0;0;0;0.0
156;DADCA-LKH;23;50;4;5.48511;0.0007;6215;72.856;1300360;351;407;203281;50820;1016400.0
157;DADCA-NSN;20;50;4;4.560919999999999;0.00038333333333333334;6431;88.447;0;277;340;129943;32485;649700.0
158;TSP-based;49;50;4;5.09606;0.0006666666666666668;4405;78.664;1300488;0;0;0;0;0.0
159;DADCA-Parted-NSN;20;50;4;3.92118;0.00035;3609;99.58;0;232;351;61709;15427;308540.0
160;DADCA-LKH-Cut;23;50;4;5.37137;0.0006333333333333334;4826;73.128;1300384;342;454;100579;25144;502880.0
161;TSP-based;50;50;4;5.47469;0.0007333333333333333;4172;73.761;1300480;0;0;0;0;0.0
162;FPPWR;21;50;4;1.4363;0.00055;14278;234.84900000000002;650200;0;0;0;0;0.0
163;DADCA-LKH;24;50;4;5.91481;0.0008666666666666667;5759;68.018;1300224;381;436;221338;55334;1106680.0
164;DADCA-NSN;21;50;4;4.96601;0.0004166666666666667;6047;80.116;0;317;370;146494;36623;732460.0
165;TSP-based;51;50;4;5.26408;0.0005833333333333334;3977;76.077;1300376;0;0;0;0;0.0
166;DADCA-Parted-NSN;21;50;4;4.92701;0.00035;3346;80.148;0;309;419;78730;19682;393640.0
167;DADCA-LKH-Cut;24;50;4;5.54117;0.0006166666666666667;3121;71.122;1300384;367;480;99269;24817;496340.0
168;TSP-based;52;50;4;5.18692;0.0006833333333333333;4083;77.681;1300376;0;0;0;0;0.0
169;FPPWR;22;50;4;1.73183;0.00055;11231;203.588;650176;0;0;0;0;0.0
170;DADCA-LKH;25;50;4;5.0090699999999995;0.0006833333333333333;6485;79.43;1300248;311;368;178337;44584;891680.0
171;DADCA-NSN;22;50;4;4.47072;0.00036666666666666667;6780;88.926;0;277;333;139006;34751;695020.0
172;TSP-based;53;50;4;5.51817;0.0007833333333333334;4371;73.035;1300456;0;0;0;0;0.0
173;DADCA-Parted-NSN;22;50;4;4.224419999999999;0.00035;5855;92.402;0;250;388;70036;17509;350180.0
174;DADCA-LKH-Cut;25;50;4;4.86169;0.00045000000000000004;5401;80.362;1300384;298;408;90334;22583;451660.0
175;TSP-based;54;50;4;5.31354;0.0006666666666666668;4321;75.47500000000001;1308584;0;0;0;0;0.0
176;FPPWR;23;50;4;1.6150799999999998;0.0005333333333333334;11709;214.68800000000002;650176;0;0;0;0;0.0
177;DADCA-LKH;26;50;4;5.22647;0.0005;5253;76.523;1300512;331;384;170465;42616;852320.0
178;TSP-based;55;50;4;5.32265;0.0006666666666666668;3706;75.369;1300376;0;0;0;0;0.0
179;DADCA-NSN;23;50;4;4.89267;0.00038333333333333334;6194;80.914;0;305;368;148441;37110;742200.0
180;DADCA-Parted-NSN;23;50;4;4.7477599999999995;0.00035;5204;82.052;0;298;410;98952;24738;494760.0
181;DADCA-LKH-Cut;26;50;4;5.0512;0.0005833333333333334;3090;77.788;1300672;311;418;76235;19058;381160.0
182;TSP-based;56;50;4;5.32184;0.0006166666666666667;3990;75.562;1300376;0;0;0;0;0.0
183;FPPWR;24;50;4;1.8131599999999999;0.0005333333333333334;10036;195.375;650176;0;0;0;0;0.0
184;DADCA-LKH;27;50;4;5.27928;0.0006166666666666667;6196;75.483;1300224;337;395;181413;45353;907060.0
185;TSP-based;57;50;4;5.53036;0.0006166666666666667;3879;72.484;1300432;0;0;0;0;0.0
186;DADCA-NSN;24;50;4;5.40575;0.0004166666666666667;5988;73.679;0;346;399;188706;47176;943520.0
187;DADCA-Parted-NSN;24;50;4;5.06011;0.00036666666666666667;5157;77.561;0;308;422;97339;24334;486680.0
188;TSP-based;58;50;4;5.26026;0.0006166666666666667;4074;76.151;1300496;0;0;0;0;0.0
189;DADCA-LKH-Cut;27;50;4;5.225230000000001;0.0005;3090;75.44;1300416;324;434;86593;21648;432960.0
190;FPPWR;25;50;4;1.5054;0.0005333333333333334;12063;223.755;650136;0;0;0;0;0.0
191;TSP-based;59;50;4;5.404669999999999;0.0006833333333333333;4079;74.364;1300416;0;0;0;0;0.0
192;DADCA-LKH;28;50;4;5.727580000000001;0.00048333333333333334;5830;69.644;1300360;371;424;212729;53182;1063640.0
193;DADCA-NSN;25;50;4;3.8267;0.00036666666666666667;7165;102.733;0;229;312;98450;24612;492240.0
194;DADCA-Parted-NSN;25;50;4;3.98565;0.00036666666666666667;11757;96.61500000000001;0;240;356;61188;15297;305940.0
195;TSP-based;60;50;4;5.00251;0.0006000000000000001;4348;80.135;1300600;0;0;0;0;0.0
196;DADCA-LKH-Cut;28;50;4;5.66659;0.0005833333333333334;4208;69.31700000000001;1300520;370;473;112115;28028;560560.0
197;FPPWR;26;50;4;1.4679;0.0005666666666666667;13268;225.857;650112;0;0;0;0;0.0
198;TSP-based;61;50;4;5.26624;0.0006000000000000001;3664;75.935;1300656;0;0;0;0;0.0
199;DADCA-LKH;29;50;4;5.3993400000000005;0.00048333333333333334;5873;74.19;1300368;341;401;177972;44493;889860.0
200;DADCA-NSN;26;50;4;4.78399;0.00038333333333333334;5872;83.612;0;290;355;152206;38051;761020.0
201;DADCA-Parted-NSN;26;50;4;4.46628;0.00038333333333333334;5509;87.909;0;266;376;85702;21425;428500.0
202;TSP-based;62;50;4;5.38696;0.0007;4010;74.253;1300480;0;0;0;0;0.0
203;DADCA-LKH-Cut;29;50;4;5.44217;0.0005166666666666667;2747;72.693;1300528;334;440;88122;22030;440600.0
204;FPPWR;27;50;4;1.52843;0.00055;11230;218.856;650176;0;0;0;0;0.0
205;TSP-based;63;50;4;4.96605;0.0005666666666666667;4219;80.285;1300512;0;0;0;0;0.0
206;DADCA-LKH;30;50;4;5.18283;0.0006000000000000001;6154;76.813;1300272;325;380;174743;43685;873700.0
207;DADCA-NSN;27;50;4;5.54977;0.00038333333333333334;5835;72.653;0;348;402;184728;46182;923640.0
208;TSP-based;64;50;4;5.415780000000001;0.0006000000000000001;3754;74.006;1300488;0;0;0;0;0.0
209;DADCA-Parted-NSN;27;50;4;4.64313;0.00036666666666666667;25914;84.497;0;299;414;70814;17703;354060.0
210;DADCA-LKH-Cut;30;50;4;4.90729;0.00055;3312;79.71000000000001;1300384;310;412;75380;18845;376900.0
211;FPPWR;28;50;4;1.36269;0.00075;12094;235.597;650136;0;0;0;0;0.0
212;TSP-based;65;50;4;5.2537;0.0005166666666666667;4090;76.444;1300376;0;0;0;0;0.0
213;DADCA-LKH;31;50;4;5.654780000000001;0.0005666666666666667;5583;70.749;1300464;362;419;206320;51580;1031600.0
214;DADCA-NSN;28;50;4;4.9012;0.00038333333333333334;6053;81.157;0;297;355;148335;37083;741660.0
215;TSP-based;66;50;4;4.9433300000000004;0.0006333333333333334;4029;80.64;1301416;0;0;0;0;0.0
216;DADCA-Parted-NSN;28;50;4;4.81269;0.00035;5187;81.511;0;300;411;90759;22689;453780.0
217;DADCA-LKH-Cut;31;50;4;5.41817;0.00055;4881;72.793;1300624;334;444;99693;24923;498460.0
218;FPPWR;29;50;4;1.52728;0.0005166666666666667;10995;223.872;650112;0;0;0;0;0.0
219;TSP-based;67;50;4;5.01474;0.0005666666666666667;4031;79.726;1300488;0;0;0;0;0.0
220;DADCA-NSN;29;50;4;5.30463;0.00038333333333333334;6007;75.252;0;333;386;177294;44323;886460.0
221;DADCA-LKH;32;50;4;5.33461;0.0006500000000000001;6397;74.642;1300248;347;408;192907;48226;964520.0
222;TSP-based;68;50;4;5.05737;0.0010166666666666668;4271;79.251;1300512;0;0;0;0;0.0
223;DADCA-Parted-NSN;29;50;4;4.8533599999999995;0.00035;3097;81.85600000000001;0;296;407;76346;19086;381720.0
224;DADCA-LKH-Cut;32;50;4;5.13445;0.0005666666666666667;5285;76.83200000000001;1300520;312;425;101510;25377;507540.0
225;FPPWR;30;50;4;1.38457;0.0006166666666666667;11727;237.518;650112;0;0;0;0;0.0
226;TSP-based;69;50;4;5.21015;0.0005666666666666667;4131;77.206;1316824;0;0;0;0;0.0
227;DADCA-NSN;30;50;4;4.282719999999999;0.00036666666666666667;8027;92.69;0;262;345;143823;35955;719100.0
228;DADCA-LKH;33;50;4;5.16219;0.0009000000000000001;6467;77.32600000000001;1300360;325;378;189738;47434;948680.0
229;TSP-based;70;50;4;5.91161;0.0009833333333333335;3514;68.09700000000001;1318032;0;0;0;0;0.0
230;DADCA-Parted-NSN;30;50;4;4.3414;0.00035;5896;91.187;0;263;420;89718;22429;448580.0
231;DADCA-LKH-Cut;33;50;4;5.15714;0.00075;5198;76.176;1300408;318;428;103975;25993;519860.0
232;FPPWR;31;50;4;1.13561;0.0006500000000000001;14248;266.772;650176;0;0;0;0;0.0
233;TSP-based;71;50;4;4.95671;0.0007;4523;80.661;1300376;0;0;0;0;0.0
234;DADCA-NSN;31;50;4;5.18337;0.00038333333333333334;6012;77.34400000000001;0;337;417;172599;43149;862980.0
235;DADCA-LKH;34;50;4;5.78661;0.0008500000000000001;5726;69.077;1300224;365;419;207244;51811;1036220.0
236;TSP-based;72;50;4;5.18985;0.0005666666666666667;4117;77.122;1300592;0;0;0;0;0.0
237;DADCA-Parted-NSN;31;50;4;5.02215;0.00035;4512;79.392;0;306;459;102682;25670;513400.0
238;DADCA-LKH-Cut;34;50;4;5.70355;0.0009000000000000001;5399;69.001;1300384;358;460;95184;23796;475920.0
239;TSP-based;73;50;4;5.46462;0.0007;4231;73.799;1300376;0;0;0;0;0.0
240;FPPWR;32;50;4;1.52041;0.0005333333333333334;11271;227.23000000000002;650112;0;0;0;0;0.0
241;DADCA-NSN;32;50;4;4.18005;0.00036666666666666667;7065;93.849;0;261;314;118940;29735;594700.0
242;DADCA-LKH;35;50;4;5.40891;0.0006500000000000001;6146;73.226;1300408;345;399;192452;48113;962260.0
243;TSP-based;74;50;4;5.77083;0.0006666666666666668;3854;70.456;1301416;0;0;0;0;0.0
244;DADCA-Parted-NSN;32;50;4;3.9724199999999996;0.00035;3811;100.154;0;228;348;70585;17646;352920.0
245;TSP-based;75;50;4;5.2640400000000005;0.0008166666666666667;4327;76.303;1316776;0;0;0;0;0.0
246;DADCA-LKH-Cut;35;50;4;5.17427;0.0005166666666666667;5210;75.991;1300624;330;444;98205;24551;491020.0
247;FPPWR;33;50;4;1.27627;0.0007166666666666667;12499;246.669;650136;0;0;0;0;0.0
248;DADCA-NSN;33;50;4;4.2096800000000005;0.0004;6644;93.51;0;255;316;108284;27071;541420.0
