Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
ZigZagOverNSNMobility;20;4;7,78009;10;3750000;3000;48;4;3606120;3402145;353
ZigZagOverNSNMobility;20;8;13,36920;10;3750000;3000;55;4;3487245;3188560;432
ZigZagOverNSNMobility;20;8;16,35124;10;3750000;3000;58;4;3444155;3008810;134
ZigZagOverNSNMobility;20;8;12,40772;10;3750000;3000;59;4;3517345;3200790;403
ZigZagOverNSNMobility;20;16;26,69648;10;3750000;3000;76;4;3251455;2229650;494
ZigZagOverNSNMobility;20;16;27,82833;10;3750000;3000;78;4;3198970;2557345;310
ZigZagOverNSNMobility;20;16;27,97705;10;3750000;3000;80;4;3196525;2629825;792
KingstonImprovedOverNSNMobility;20;2;3,49199;10;3750000;3000;37;4;3695830;3527555;248
KingstonImprovedOverNSNMobility;20;2;2,89997;10;3750000;3000;39;4;3710190;3589620;293
KingstonImprovedOverNSNMobility;20;2;4,52797;10;3750000;3000;40;4;3676985;3464295;431
KingstonImprovedOverNSNMobility;20;4;6,95894;10;3750000;3000;48;4;3654020;3351770;220
KingstonImprovedOverNSNMobility;20;4;6,32795;10;3750000;3000;49;4;3667625;3423630;283
KingstonImprovedOverNSNMobility;20;4;6,22301;10;3750000;3000;50;4;3671280;3426215;576
KingstonImprovedOverNSNMobility;20;8;12,67889;10;3750000;3000;61;4;3583665;3085915;356
KingstonImprovedOverNSNMobility;20;8;11,27493;10;3750000;3000;61;4;3614520;3102195;857
KingstonImprovedOverNSNMobility;20;8;17,05847;10;3750000;3000;64;4;3514510;2840180;490
KingstonImprovedOverNSNMobility;20;16;24,59681;10;3750000;3000;88;4;3340140;2360815;588
KingstonImprovedOverNSNMobility;20;16;29,96217;10;3750000;3000;88;4;3346715;2140880;322
KingstonImprovedOverNSNMobility;20;16;27,48725;10;3750000;3000;89;4;3375115;2200745;45
ZigZagOverNSNMobility;20;2;3,50669;10;3750000;3000;37;4;3683295;3592705;674
ZigZagOverNSNMobility;20;2;3,60662;10;3750000;3000;38;4;3681115;3586400;338
ZigZagOverNSNMobility;20;2;3,49281;10;3750000;3000;38;4;3685575;3593045;513
ZigZagOverNSNMobility;20;4;7,66903;10;3750000;3000;46;4;3608005;3400815;879
ZigZagOverNSNMobility;20;4;6,10250;10;3750000;3000;46;4;3637270;3476005;534
ZigZagOverNSNMobility;20;4;9,48834;10;3750000;3000;47;4;3566945;3320545;475
ZigZagOverNSNMobility;20;8;14,00934;10;3750000;3000;57;4;3475180;3139950;84
ZigZagOverNSNMobility;20;8;13,88809;10;3750000;3000;57;4;3478330;3160125;690
ZigZagOverNSNMobility;20;8;14,07741;10;3750000;3000;58;4;3484730;3152800;769
ZigZagOverNSNMobility;20;16;32,55365;10;3750000;3000;77;4;3138900;1878835;239
ZigZagOverNSNMobility;20;16;33,40385;10;3750000;3000;79;4;3084045;2347865;587
ZigZagOverNSNMobility;20;16;29,97899;10;3750000;3000;79;4;3167740;2543970;543
KingstonImprovedOverNSNMobility;20;2;3,97159;10;3750000;3000;37;4;3682830;3483255;30
KingstonImprovedOverNSNMobility;20;2;3,77767;10;3750000;3000;38;4;3689670;3510290;765
KingstonImprovedOverNSNMobility;20;2;3,53443;10;3750000;3000;40;4;3703450;3551155;485
KingstonImprovedOverNSNMobility;20;4;8,34748;10;3750000;3000;49;4;3625215;3256100;128
KingstonImprovedOverNSNMobility;20;4;8,32185;10;3750000;3000;49;4;3625690;3289995;438
KingstonImprovedOverNSNMobility;20;4;6,26849;10;3750000;3000;52;4;3669805;3435325;761
KingstonImprovedOverNSNMobility;20;8;11,77459;10;3750000;3000;59;4;3578695;3118735;391
KingstonImprovedOverNSNMobility;20;8;12,57226;10;3750000;3000;61;4;3593075;3064085;279
KingstonImprovedOverNSNMobility;20;8;17,46419;10;3750000;3000;64;4;3464150;2728445;662
KingstonImprovedOverNSNMobility;20;16;21,51061;10;3750000;3000;86;4;3460665;2608305;676
KingstonImprovedOverNSNMobility;20;16;26,09106;10;3750000;3000;86;4;3391555;2349550;586
KingstonImprovedOverNSNMobility;20;16;30,59787;10;3750000;3000;91;4;3339820;2047845;608
ZigZagOverNSNMobility;20;2;3,33977;10;3750000;3000;38;4;3686210;3598500;167
ZigZagOverNSNMobility;20;2;3,93311;10;3750000;3000;38;4;3674480;3573575;748
ZigZagOverNSNMobility;20;2;3,80361;10;3750000;3000;40;4;3679620;3578225;362
ZigZagOverNSNMobility;20;4;7,99814;10;3750000;3000;46;4;3602010;3392455;134
ZigZagOverNSNMobility;20;4;6,70931;10;3750000;3000;48;4;3626270;3446125;587
ZigZagOverNSNMobility;20;4;7,74858;10;3750000;3000;49;4;3598525;3400870;525
ZigZagOverNSNMobility;20;8;12,39061;10;3750000;3000;56;4;3505705;3211055;73
ZigZagOverNSNMobility;20;8;14,28777;10;3750000;3000;58;4;3467355;3129480;174
ZigZagOverNSNMobility;20;8;15,03517;10;3750000;3000;59;4;3476975;2853610;636
ZigZagOverNSNMobility;20;16;24,27809;10;3750000;3000;75;4;3292495;2734110;281
ZigZagOverNSNMobility;20;16;28,39838;10;3750000;3000;76;4;3208630;2626795;415
ZigZagOverNSNMobility;20;16;29,98245;10;3750000;3000;77;4;3171040;2503710;217
KingstonImprovedOverNSNMobility;20;2;3,17072;10;3750000;3000;39;4;3706405;3552885;493
KingstonImprovedOverNSNMobility;20;2;3,52665;10;3750000;3000;39;4;3704090;3563065;474
KingstonImprovedOverNSNMobility;20;2;3,43079;10;3750000;3000;39;4;3698950;3545955;273
KingstonImprovedOverNSNMobility;20;4;5,31286;10;3750000;3000;47;4;3685340;3483520;420
KingstonImprovedOverNSNMobility;20;4;8,82449;10;3750000;3000;47;4;3631575;3191280;234
KingstonImprovedOverNSNMobility;20;4;7,06187;10;3750000;3000;47;4;3657300;3393250;646
KingstonImprovedOverNSNMobility;20;8;16,13860;10;3750000;3000;61;4;3528285;2914430;174
KingstonImprovedOverNSNMobility;20;8;13,19059;10;3750000;3000;63;4;3562680;3000780;595
KingstonImprovedOverNSNMobility;20;8;15,99102;10;3750000;3000;64;4;3494990;2887385;74
KingstonImprovedOverNSNMobility;20;16;24,18195;10;3750000;3000;85;4;3429175;2317805;238
KingstonImprovedOverNSNMobility;20;16;33,48308;10;3750000;3000;91;4;3300845;1961810;3014
KingstonImprovedOverNSNMobility;20;16;31,75297;10;3750000;3000;91;4;3342205;1979380;418
ZigZagOverNSNMobility;20;2;3,05036;10;3750000;3000;37;4;3693260;3577880;929
ZigZagOverNSNMobility;20;2;3,75247;10;3750000;3000;38;4;3679955;3548610;251
ZigZagOverNSNMobility;20;2;3,44451;10;3750000;3000;39;4;3686175;3592870;69
ZigZagOverNSNMobility;20;4;7,03331;10;3750000;3000;46;4;3614810;3434880;239
ZigZagOverNSNMobility;20;4;6,52729;10;3750000;3000;47;4;3624415;3454190;324
ZigZagOverNSNMobility;20;4;9,34256;10;3750000;3000;48;4;3574245;3321115;132
ZigZagOverNSNMobility;20;8;14,08234;10;3750000;3000;55;4;3482000;3141825;242
ZigZagOverNSNMobility;20;8;13,41703;10;3750000;3000;57;4;3494300;2966495;464
ZigZagOverNSNMobility;20;8;13,74209;10;3750000;3000;60;4;3490750;3140410;244
ZigZagOverNSNMobility;20;16;26,44540;10;3750000;3000;77;4;3249150;2564525;48
ZigZagOverNSNMobility;20;16;31,07703;10;3750000;3000;78;4;3136315;2363535;800
ZigZagOverNSNMobility;20;16;34,39102;10;3750000;3000;79;4;3089215;2333565;234
KingstonImprovedOverNSNMobility;20;2;3,42040;10;3750000;3000;38;4;3689655;3536120;381
KingstonImprovedOverNSNMobility;20;2;3,33434;10;3750000;3000;39;4;3704360;3562340;610
KingstonImprovedOverNSNMobility;20;2;3,73247;10;3750000;3000;40;4;3694700;3527575;693
KingstonImprovedOverNSNMobility;20;4;7,57477;10;3750000;3000;47;4;3646215;3334605;347
KingstonImprovedOverNSNMobility;20;4;6,99161;10;3750000;3000;49;4;3654800;3367450;252
KingstonImprovedOverNSNMobility;20;4;8,68835;10;3750000;3000;50;4;3736125;3043420;416
KingstonImprovedOverNSNMobility;20;8;11,32925;10;3750000;3000;59;4;3598955;3117995;635
KingstonImprovedOverNSNMobility;20;8;12,60347;10;3750000;3000;60;4;3575475;2997025;343
KingstonImprovedOverNSNMobility;20;8;13,97486;10;3750000;3000;62;4;3557590;2972550;575
KingstonImprovedOverNSNMobility;20;16;25,90793;10;3750000;3000;86;4;3384915;2298315;268
KingstonImprovedOverNSNMobility;20;16;24,57943;10;3750000;3000;89;4;3433980;2228610;447
KingstonImprovedOverNSNMobility;20;16;27,12148;10;3750000;3000;91;4;3323080;2168865;89
ZigZagOverNSNMobility;20;2;4,19631;10;3750000;3000;38;4;3669635;3557625;163
ZigZagOverNSNMobility;20;2;3,57102;10;3750000;3000;39;4;3683955;3539710;476
ZigZagOverNSNMobility;20;2;3,79143;10;3750000;3000;39;4;3680695;3535010;774
ZigZagOverNSNMobility;20;4;6,55628;10;3750000;3000;45;4;3632565;3377180;640
ZigZagOverNSNMobility;20;4;7,16008;10;3750000;3000;46;4;3615865;3426965;1006
ZigZagOverNSNMobility;20;4;7,27933;10;3750000;3000;46;4;3614780;3427510;623
ZigZagOverNSNMobility;20;8;15,95836;10;3750000;3000;56;4;3447910;3037065;285
ZigZagOverNSNMobility;20;8;16,24007;10;3750000;3000;58;4;3443485;2783185;171
ZigZagOverNSNMobility;20;8;15,56780;10;3750000;3000;61;4;3447925;3051790;243
ZigZagOverNSNMobility;20;16;30,64597;10;3750000;3000;76;4;3146695;2390015;90
ZigZagOverNSNMobility;20;16;27,25133;10;3750000;3000;80;4;3225620;2648680;280
ZigZagOverNSNMobility;20;16;30,35519;10;3750000;3000;80;4;3152250;2436675;286
KingstonImprovedOverNSNMobility;20;2;3,92494;10;3750000;3000;38;4;3686645;3499255;389
KingstonImprovedOverNSNMobility;20;2;4,01682;10;3750000;3000;38;4;3687865;3502275;740
