Strategy;nPOIs;nUAV;SucessTax;V2V_range;ctRounds;dimX;pathTime;globalAvgDelay;nMsgs;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy;mapName
DADCA-LKH-Cut;250;4;2.04000;71;259200;13000;49;8839;228390;155322;650112;107;207;143658;35914;718280.0;17
TSP-based;250;16;7.51235;71;259200;13000;45;9040;887220;157041;0;0;0;0;0;0.0;93
DADCA-Parted-NSN;250;4;1.76640;71;259200;13000;27;10040;199540;177473;0;93;201;129985;32496;649920.0;19
DADCA-LKH-Cut;250;2;1.11963;71;259200;13000;45;9048;132709;155322;666512;22;32;28979;14489;289780.0;17
TSP-based;250;4;2.07565;71;259200;13000;1593;9081;253112;153548;-12747296;0;0;0;0;0.0;94
DADCA-Parted-NSN;250;16;6.40282;71;259200;13000;31;5782;383750;177473;0;1848;8997;3157210;197325;3946500.0;19
TSP-based;250;2;1.13573;71;259200;13000;38;9073;137837;153548;658320;0;0;0;0;0.0;94
DADCA-LKH-Cut;250;8;3.87488;71;259200;13000;38;6723;245501;155322;650136;559;1404;826178;103272;2065440.0;17
FPPWR;250;2;0.25913;71;259200;13000;78;25689;23890;492399;650112;0;0;0;0;0.0;20
FPPWR;250;8;0.64576;71;259200;13000;86;25684;59330;492399;650112;0;0;0;0;0.0;20
TSP-based;250;8;3.95454;71;259200;13000;38;9082;477679;153548;650248;0;0;0;0;0.0;94
FPPWR;250;4;0.38876;71;259200;13000;48;25603;35930;492399;650176;0;0;0;0;0.0;20
DADCA-LKH-Cut;250;16;7.53880;71;259200;13000;33;5193;471267;155322;0;2270;9342;3759471;234966;4699320.0;17
FPPWR;250;16;1.16215;71;259200;13000;55;25652;113312;492399;0;0;0;0;0;0.0;20
TSP-based;250;16;7.72609;71;259200;13000;44;9089;915773;153548;0;0;0;0;0;0.0;94
DADCA-LKH;250;4;2.05058;71;259200;13000;1219;14169;238112;155161;-12476872;125;178;313411;78352;1567040.0;18
DADCA-NSN;250;2;0.91850;71;259200;13000;49;17627;105590;192923;1300224;19;24;34007;17003;340060.0;20
DADCA-NSN;250;8;3.04577;71;259200;13000;52;12558;353921;192923;650160;426;934;901829;112728;2254560.0;20
DADCA-LKH;250;2;1.12308;71;259200;13000;35;14403;134384;155161;650248;21;26;53791;26895;537900.0;18
TSP-based;250;4;2.04201;71;259200;13000;1766;9165;242850;156663;-12765896;0;0;0;0;0.0;95
DADCA-NSN;250;4;1.62137;71;259200;13000;47;17808;187543;192923;1300368;89;151;193687;48421;968420.0;20
TSP-based;250;2;1.11691;71;259200;13000;38;9128;132391;156663;650248;0;0;0;0;0.0;95
DADCA-NSN;250;16;5.89019;71;259200;13000;48;10757;656356;192923;650112;1732;5271;3583843;223990;4479800.0;20
DADCA-LKH;250;8;3.89357;71;259200;13000;46;11202;447205;155161;0;551;993;1379983;172497;3449940.0;18
DADCA-Parted-NSN;250;2;0.88428;71;259200;13000;27;11609;102073;200041;0;14;24;22228;11114;222280.0;20
DADCA-Parted-NSN;250;8;2.88846;71;259200;13000;33;7141;192352;200041;0;349;1254;656443;82055;1641100.0;20
TSP-based;250;8;3.88306;71;259200;13000;52;9147;455940;156663;650248;0;0;0;0;0.0;95
DADCA-LKH;250;16;7.59587;71;259200;13000;26;10126;810377;155161;0;2447;5677;5698352;356147;7122940.0;18
DADCA-Parted-NSN;250;4;1.55054;71;259200;13000;25;11843;178822;200041;0;76;188;118782;29695;593900.0;20
TSP-based;250;16;7.56425;71;259200;13000;44;9145;892779;156663;0;0;0;0;0;0.0;95
DADCA-Parted-NSN;250;16;5.55161;71;259200;13000;30;5480;330109;200041;0;1484;9282;2846782;177923;3558460.0;20
DADCA-LKH-Cut;250;4;2.01143;71;259200;13000;38;9145;241137;156879;650112;106;206;154254;38563;771260.0;18
FPPWR;250;2;0.22711;71;259200;13000;81;29106;23675;527326;650112;0;0;0;0;0.0;21
TSP-based;250;4;1.99728;71;259200;13000;2584;9097;229877;158926;-12085872;0;0;0;0;0.0;96
DADCA-LKH-Cut;250;2;1.10633;71;259200;13000;50;9107;132260;156879;650248;22;32;26532;13266;265320.0;18
FPPWR;250;8;0.56803;71;259200;13000;73;29001;59048;527326;650112;0;0;0;0;0.0;21
TSP-based;250;2;1.09925;71;259200;13000;38;9108;126950;158926;650248;0;0;0;0;0.0;96
FPPWR;250;4;0.34066;71;259200;13000;47;28956;35381;527326;650112;0;0;0;0;0.0;21
DADCA-LKH-Cut;250;8;3.82098;71;259200;13000;31;6644;247690;156879;650144;511;1354;797769;99721;1994420.0;18
FPPWR;250;16;1.01842;71;259200;13000;65;28990;99895;527326;0;0;0;0;0;0.0;21
TSP-based;250;8;3.80074;71;259200;13000;42;9096;437587;158926;650248;0;0;0;0;0.0;96
DADCA-LKH-Cut;250;16;7.43748;71;259200;13000;34;5199;462685;156879;0;2236;9332;3719196;232449;4648980.0;18
DADCA-NSN;250;2;0.88954;71;259200;13000;76;18013;103456;194221;1300296;17;22;35218;17609;352180.0;21
DADCA-NSN;250;8;2.93082;71;259200;13000;71;12298;332124;194221;650160;400;825;837098;104637;2092740.0;21
TSP-based;250;16;7.40423;71;259200;13000;41;9102;875524;158926;0;0;0;0;0;0.0;96
DADCA-LKH;250;4;2.05431;71;259200;13000;8174;14085;237210;154929;-13157808;132;197;305827;76456;1529120.0;19
DADCA-NSN;250;4;1.56913;71;259200;13000;46;15954;185154;194221;1300368;86;151;179849;44962;899240.0;21
DADCA-NSN;250;16;5.68198;71;259200;13000;57;10556;632562;194221;650184;1724;5030;3416700;213543;4270860.0;21
TSP-based;250;4;2.04514;71;259200;13000;8946;8913;247052;155596;-12109728;0;0;0;0;0.0;97
DADCA-LKH;250;2;1.12881;71;259200;13000;35;14443;134793;154929;666512;25;30;54609;27304;546080.0;19
DADCA-Parted-NSN;250;2;0.87799;71;259200;13000;25;11066;102350;197159;0;14;28;22106;11053;221060.0;21
DADCA-Parted-NSN;250;8;2.87944;71;259200;13000;30;6723;204422;197159;0;358;1264;463313;57914;1158280.0;21
TSP-based;250;2;1.12113;71;259200;13000;36;8937;132239;155596;650248;0;0;0;0;0.0;97
DADCA-LKH;250;8;3.90755;71;259200;13000;29;11465;451225;154929;0;553;1001;1439637;179954;3599080.0;19
DADCA-Parted-NSN;250;4;1.54950;71;259200;13000;26;11413;185198;197159;0;80;190;124778;31194;623880.0;21
TSP-based;250;8;3.90056;71;259200;13000;45;8926;460921;155596;650248;0;0;0;0;0.0;97
DADCA-Parted-NSN;250;16;5.55792;71;259200;13000;40;7782;420542;197159;0;1518;9258;2180224;136264;2725280.0;21
DADCA-LKH;250;16;7.60890;71;259200;13000;36;9686;780529;154929;0;2406;5676;5624124;351507;7030140.0;19
FPPWR;250;2;0.24344;71;259200;13000;91;25891;23499;503237;650112;0;0;0;0;0.0;22
FPPWR;250;8;0.60562;71;259200;13000;50;25788;58482;503237;650112;0;0;0;0;0.0;22
TSP-based;250;16;7.59556;71;259200;13000;36;8922;897228;155596;0;0;0;0;0;0.0;97
DADCA-LKH-Cut;250;4;2.03946;71;259200;13000;47;8932;238400;154866;650248;114;214;161738;40434;808680.0;19
FPPWR;250;4;0.36518;71;259200;13000;49;25823;35307;503237;650112;0;0;0;0;0.0;22
DADCA-LKH-Cut;250;2;1.12110;71;259200;13000;45;9024;132402;154866;666512;22;32;28818;14409;288180.0;19
TSP-based;250;4;2.00480;71;259200;13000;6581;9235;230780;159156;-12433504;0;0;0;0;0.0;98
FPPWR;250;16;1.09387;71;259200;13000;52;25816;111398;503237;0;0;0;0;0;0.0;22
TSP-based;250;2;1.10176;71;259200;13000;33;9232;127115;159156;650248;0;0;0;0;0.0;98
DADCA-LKH-Cut;250;8;3.88610;71;259200;13000;35;6723;253792;154866;650112;510;1351;824343;103042;2060840.0;19
DADCA-NSN;250;2;0.92033;71;259200;13000;66;17942;104613;190852;1300224;17;22;36978;18489;369780.0;22
DADCA-NSN;250;8;3.07035;71;259200;13000;53;12186;330139;190852;650160;422;891;932058;116507;2330140.0;22
TSP-based;250;8;3.81966;71;259200;13000;45;9234;439331;159156;650248;0;0;0;0;0.0;98
DADCA-NSN;250;4;1.62387;71;259200;13000;46;17241;183739;190852;1300368;91;144;206190;51547;1030940.0;22
DADCA-LKH-Cut;250;16;7.55397;71;259200;13000;30;5293;473480;154866;0;2364;9285;3608668;225541;4510820.0;19
DADCA-NSN;250;16;5.86061;71;259200;13000;52;11008;578884;190852;650112;1722;5008;3463445;216465;4329300.0;22
TSP-based;250;16;7.44215;71;259200;13000;42;9232;878280;159156;0;0;0;0;0;0.0;98
DADCA-LKH;250;4;2.05450;71;259200;13000;1549;13922;251081;154958;-13188768;127;180;316274;79068;1581360.0;20
DADCA-Parted-NSN;250;2;0.88914;71;259200;13000;51;11269;106510;195157;0;14;24;22725;11362;227240.0;22
DADCA-Parted-NSN;250;8;2.91211;71;259200;13000;25;7676;186460;195157;0;361;1235;685594;85699;1713980.0;22
TSP-based;250;4;2.05984;71;259200;13000;413;9257;243269;155773;-12134888;0;0;0;0;0.0;99
DADCA-LKH;250;2;1.12542;71;259200;13000;41;14481;134476;154958;650192;21;26;55315;27657;553140.0;20
DADCA-Parted-NSN;250;4;1.57448;71;259200;13000;28;11406;183246;195157;0;78;181;116865;29216;584320.0;22
DADCA-Parted-NSN;250;16;5.63961;71;259200;13000;29;5778;344039;195157;0;1490;8749;2915268;182204;3644080.0;22
TSP-based;250;2;1.12475;71;259200;13000;46;9241;132366;155773;650248;0;0;0;0;0.0;99
DADCA-LKH;250;8;3.91042;71;259200;13000;31;11973;447146;154958;0;597;1057;1406879;175859;3517180.0;20
FPPWR;250;2;0.25677;71;259200;13000;81;26947;24016;498440;650136;0;0;0;0;0.0;23
FPPWR;250;8;0.63400;71;259200;13000;69;26909;59351;498440;650112;0;0;0;0;0.0;23
TSP-based;250;8;3.91433;71;259200;13000;45;9257;462339;155773;650248;0;0;0;0;0.0;99
DADCA-LKH;250;16;7.61516;71;259200;13000;33;9978;823732;154958;0;2459;5706;5700253;356265;7125300.0;20
FPPWR;250;4;0.38064;71;259200;13000;47;26976;35570;498440;650112;0;0;0;0;0.0;23
TSP-based;250;16;7.63698;71;259200;13000;49;9255;901310;155773;0;0;0;0;0;0.0;99
FPPWR;250;16;1.14306;71;259200;13000;78;26950;112663;498440;0;0;0;0;0;0.0;23
DADCA-LKH-Cut;250;4;2.01857;71;259200;13000;87;8871;235142;156145;650248;122;224;161234;40308;806160.0;20
DADCA-NSN;250;2;0.94568;71;259200;13000;51;16704;113353;186563;1300296;17;22;36053;18026;360520.0;23
DADCA-LKH-Cut;250;2;1.11167;71;259200;13000;34;9124;132391;156145;650112;20;32;28662;14331;286620.0;20
TSP-based;250;4;2.03444;71;259200;13000;9620;9021;242019;156621;-12026416;0;0;0;0;0.0;100
DADCA-NSN;250;8;3.15464;71;259200;13000;82;11891;356845;186563;650160;425;902;959022;119877;2397540.0;23
TSP-based;250;2;1.11381;71;259200;13000;32;9011;132087;156621;650248;0;0;0;0;0.0;100
DADCA-NSN;250;4;1.67978;71;259200;13000;50;16271;193277;186563;1300368;97;161;214307;53576;1071520.0;23
DADCA-LKH-Cut;250;8;3.84363;71;259200;13000;35;7032;261011;156145;650112;519;1349;805829;100728;2014560.0;20
DADCA-NSN;250;16;6.08512;71;259200;13000;50;10381;664210;186563;650112;1792;5254;3768568;235535;4710700.0;23
TSP-based;250;8;3.87307;71;259200;13000;39;9022;455260;156621;650248;0;0;0;0;0.0;100
DADCA-LKH-Cut;250;16;7.48463;71;259200;13000;32;5395;435377;156145;0;2305;9375;3613866;225866;4517320.0;20
DADCA-Parted-NSN;250;2;0.93787;71;259200;13000;39;10611;111242;185353;0;14;24;20909;10454;209080.0;23
DADCA-Parted-NSN;250;8;3.13530;71;259200;13000;34;7740;218585;185353;0;392;1273;629659;78707;1574140.0;23
TSP-based;250;16;7.54752;71;259200;13000;46;9022;892654;156621;0;0;0;0;0;0.0;100
DADCA-LKH;250;4;2.03683;71;259200;13000;2534;14099;228576;156146;-13130496;121;175;301310;75327;1506540.0;21
DADCA-Parted-NSN;250;4;1.67158;71;259200;13000;28;10437;197401;185353;0;83;193;120616;30154;603080.0;23
DADCA-Parted-NSN;250;16;6.04177;71;259200;13000;31;5916;386982;185353;0;1671;9617;2831510;176969;3539380.0;23
TSP-based;250;4;2.02205;71;259200;13000;697;9361;236315;157541;-12708248;0;0;0;0;0.0;101
DADCA-LKH;250;2;1.12046;71;259200;13000;36;14601;134893;156146;658320;23;28;54631;27315;546300.0;21
FPPWR;250;2;0.25601;71;259200;13000;68;24358;29430;488323;650112;0;0;0;0;0.0;24
FPPWR;250;8;0.64163;71;259200;13000;57;24425;64765;488323;650112;0;0;0;0;0.0;24
TSP-based;250;2;1.11187;71;259200;13000;39;9379;132766;157541;650248;0;0;0;0;0.0;101
DADCA-LKH;250;8;3.87088;71;259200;13000;35;11457;436774;156146;0;555;1003;1395274;174409;3488180.0;21
FPPWR;250;4;0.38358;71;259200;13000;48;24380;40948;488323;650176;0;0;0;0;0.0;24
TSP-based;250;8;3.84311;71;259200;13000;49;9363;448970;157541;650248;0;0;0;0;0.0;101
FPPWR;250;16;1.15411;71;259200;13000;51;24383;117772;488323;0;0;0;0;0;0.0;24
DADCA-LKH;250;16;7.54112;71;259200;13000;39;9959;793588;156146;0;2383;5616;5566263;347891;6957820.0;21
DADCA-NSN;250;2;0.96228;71;259200;13000;49;16570;112499;181850;1300224;17;22;38302;19151;383020.0;24
DADCA-NSN;250;8;3.21942;71;259200;13000;55;12450;360095;181850;650160;452;879;1000155;125019;2500380.0;24
TSP-based;250;16;7.49258;71;259200;13000;36;9359;886587;157541;0;0;0;0;0;0.0;101
DADCA-LKH-Cut;250;4;1.98932;71;259200;13000;58;9235;238142;158303;650112;112;212;152073;38018;760360.0;21
DADCA-NSN;250;4;1.72217;71;259200;13000;46;14966;202618;181850;1300368;96;149;217039;54259;1085180.0;24
TSP-based;250;4;2.02107;71;259200;13000;977;9481;235434;157665;-12090544;0;0;0;0;0.0;102
DADCA-LKH-Cut;250;2;1.09600;71;259200;13000;38;9272;132343;158303;658320;18;28;26309;13154;263080.0;21
DADCA-NSN;250;16;6.25061;71;259200;13000;53;11029;663700;181850;650184;1969;5344;4074860;254678;5093560.0;24
TSP-based;250;2;1.10799;71;259200;13000;36;9477;132100;157665;650248;0;0;0;0;0.0;102
DADCA-LKH-Cut;250;8;3.78393;71;259200;13000;34;6858;240498;158303;650112;514;1361;792288;99036;1980720.0;21
DADCA-Parted-NSN;250;2;0.90687;71;259200;13000;24;10985;107524;192354;0;14;24;20955;10477;209540.0;24
DADCA-Parted-NSN;250;8;2.99633;71;259200;13000;35;7303;202098;192354;0;370;1258;630368;78796;1575920.0;24
TSP-based;250;8;3.84837;71;259200;13000;60;9477;448508;157665;650248;0;0;0;0;0.0;102
DADCA-Parted-NSN;250;4;1.60184;71;259200;13000;26;11070;191909;192354;0;80;190;119474;29868;597360.0;24
DADCA-LKH-Cut;250;16;7.37232;71;259200;13000;44;5306;448132;158303;0;2173;10126;2673817;167113;3342260.0;21
DADCA-Parted-NSN;250;16;5.80242;71;259200;13000;29;5839;374140;192354;0;1520;9139;3016771;188548;3770960.0;24
TSP-based;250;16;7.50016;71;259200;13000;31;9480;884731;157665;0;0;0;0;0;0.0;102
DADCA-LKH;250;4;2.05810;71;259200;13000;1178;14074;243687;154386;-12473432;123;177;318937;79734;1594680.0;22
FPPWR;250;2;0.24973;71;259200;13000;77;26125;23660;501851;650136;0;0;0;0;0.0;25
FPPWR;250;8;0.62194;71;259200;13000;83;26244;59210;501851;650112;0;0;0;0;0.0;25
TSP-based;250;4;2.05626;71;259200;13000;5563;8960;242409;155356;-13097800;0;0;0;0;0.0;103
DADCA-LKH;250;2;1.12913;71;259200;13000;31;14459;134231;154386;650248;23;28;55177;27588;551760.0;22
FPPWR;250;4;0.37356;71;259200;13000;50;26242;35504;501851;650112;0;0;0;0;0.0;25
TSP-based;250;2;1.12745;71;259200;13000;41;8969;132960;155356;650248;0;0;0;0;0.0;103
FPPWR;250;16;1.12088;71;259200;13000;82;26224;112719;501851;0;0;0;0;0;0.0;25
DADCA-LKH;250;8;3.91952;71;259200;13000;36;11870;444279;154386;0;565;1013;1401652;175206;3504120.0;22
TSP-based;250;8;3.90992;71;259200;13000;40;8960;460907;155356;650248;0;0;0;0;0.0;103
DADCA-NSN;250;2;1.00447;71;259200;13000;76;16117;113861;175455;1300224;21;26;45481;22740;454800.0;25
DADCA-NSN;250;8;3.39633;71;259200;13000;70;11827;365192;175455;650160;480;976;1100558;137569;2751380.0;25
DADCA-LKH;250;16;7.64421;71;259200;13000;39;9921;768519;154386;0;2431;5819;5662864;353929;7078580.0;22
DADCA-NSN;250;4;1.81096;71;259200;13000;46;14967;202784;175455;1300344;105;159;245620;61405;1228100.0;25
TSP-based;250;16;7.62086;71;259200;13000;35;8960;905155;155356;0;0;0;0;0;0.0;103
DADCA-LKH-Cut;250;4;2.04681;71;259200;13000;47;9013;238385;154548;650248;116;216;161410;40352;807040.0;22
DADCA-NSN;250;16;6.60838;71;259200;13000;49;10113;636134;175455;650112;2004;5588;4333249;270828;5416560.0;25
TSP-based;250;4;2.01528;71;259200;13000;2006;8972;236658;157868;-12083784;0;0;0;0;0.0;104
DADCA-Parted-NSN;250;2;0.97924;71;259200;13000;50;10012;114379;179445;0;18;28;24797;12398;247960.0;25
DADCA-LKH-Cut;250;2;1.12287;71;259200;13000;46;9053;131982;154548;650248;20;30;28254;14127;282540.0;22
DADCA-Parted-NSN;250;8;3.31577;71;259200;13000;36;7007;226452;179445;0;413;1308;609698;76212;1524240.0;25
TSP-based;250;2;1.10598;71;259200;13000;37;8968;132643;157868;650248;0;0;0;0;0.0;104
DADCA-Parted-NSN;250;4;1.75348;71;259200;13000;27;9931;199730;179445;0;108;210;140339;35084;701680.0;25
DADCA-LKH-Cut;250;8;3.89418;71;259200;13000;28;7051;253629;154548;650112;531;1374;822140;102767;2055340.0;22
DADCA-Parted-NSN;250;16;6.43934;71;259200;13000;31;5792;407498;179445;0;1773;9284;2290293;143143;2862860.0;25
TSP-based;250;8;3.82374;71;259200;13000;47;8963;448828;157868;650248;0;0;0;0;0.0;104
FPPWR;250;2;0.24883;71;259200;13000;77;27781;23553;502830;650112;0;0;0;0;0.0;26
DADCA-LKH-Cut;250;16;7.58946;71;259200;13000;38;5802;468417;154548;650112;2283;8561;3741429;233839;4676780.0;22
FPPWR;250;8;0.62841;71;259200;13000;74;27844;59544;502830;650112;0;0;0;0;0.0;26
TSP-based;250;16;7.45941;71;259200;13000;45;8967;887904;157868;0;0;0;0;0;0.0;104
FPPWR;250;4;0.37657;71;259200;13000;50;27775;35723;502830;650112;0;0;0;0;0.0;26
DADCA-LKH;250;4;2.05856;71;259200;13000;5910;13696;250571;154458;-12826200;123;176;307972;76993;1539860.0;23
TSP-based;250;4;2.00680;71;259200;13000;6017;9341;235422;158626;-12962112;0;0;0;0;0.0;105
FPPWR;250;16;1.12500;71;259200;13000;72;27801;112796;502830;0;0;0;0;0;0.0;26
DADCA-LKH;250;2;1.12999;71;259200;13000;31;14185;134442;154458;658320;23;30;51623;25811;516220.0;23
TSP-based;250;2;1.10269;71;259200;13000;35;9340;132162;158626;650248;0;0;0;0;0.0;105
DADCA-NSN;250;2;0.94657;71;259200;13000;51;16950;113540;186500;1300224;17;22;38013;19006;380120.0;26
DADCA-NSN;250;8;3.15351;71;259200;13000;50;12244;348776;186500;650160;431;919;957453;119681;2393620.0;26
DADCA-LKH;250;8;3.92769;71;259200;13000;41;11148;438578;154458;0;613;1074;1386896;173362;3467240.0;23
TSP-based;250;8;3.82775;71;259200;13000;42;9356;437867;158626;650248;0;0;0;0;0.0;105
DADCA-NSN;250;4;1.71785;71;259200;13000;47;16980;201950;186500;1300368;7429;7501;228363;57090;1141800.0;26
DADCA-NSN;250;16;6.09598;71;259200;13000;48;10799;626349;186500;650112;1787;5268;3980740;248796;4975920.0;26
DADCA-LKH;250;16;7.62892;71;259200;13000;40;9850;804630;154458;0;2411;5768;5403936;337746;6754920.0;23
TSP-based;250;16;7.45125;71;259200;13000;41;9348;881125;158626;0;0;0;0;0;0.0;105
DADCA-Parted-NSN;250;2;0.87213;71;259200;13000;32;10684;93345;197695;0;24;36;26905;13452;269040.0;26
DADCA-Parted-NSN;250;8;2.86482;71;259200;13000;33;7761;194111;197695;0;374;1273;588476;73559;1471180.0;26
DADCA-LKH-Cut;250;4;2.04007;71;259200;13000;37;9009;241344;154853;650248;108;208;162219;40554;811080.0;23
TSP-based;250;4;1.99784;71;259200;13000;2970;9624;230332;159531;-12128584;0;0;0;0;0.0;106
DADCA-Parted-NSN;250;4;1.53253;71;259200;13000;32;11340;171853;197695;0;76;191;119663;29915;598300.0;26
DADCA-LKH-Cut;250;2;1.11965;71;259200;13000;37;8974;132255;154853;658320;20;30;28819;14409;288180.0;23
DADCA-Parted-NSN;250;16;5.54456;71;259200;13000;28;6197;321830;197695;0;1486;6865;2374102;148381;2967620.0;26
TSP-based;250;2;1.09525;71;259200;13000;40;9621;126555;159531;650248;0;0;0;0;0.0;106
FPPWR;250;2;0.22206;71;259200;13000;96;28294;23744;531616;650112;0;0;0;0;0.0;27
DADCA-LKH-Cut;250;8;3.88069;71;259200;13000;36;6562;252773;154853;650112;529;1372;834221;104277;2085540.0;23
FPPWR;250;8;0.55401;71;259200;13000;69;28213;59114;531616;650112;0;0;0;0;0.0;27
TSP-based;250;8;3.79526;71;259200;13000;42;9623;437031;159531;650248;0;0;0;0;0.0;106
FPPWR;250;4;0.33245;71;259200;13000;47;28173;35371;531616;650240;0;0;0;0;0.0;27
DADCA-LKH-Cut;250;16;7.55377;71;259200;13000;29;4856;444467;154853;0;2235;9282;3667559;229222;4584440.0;23
TSP-based;250;16;7.38930;71;259200;13000;51;9623;868691;159531;0;0;0;0;0;0.0;106
FPPWR;250;16;0.99779;71;259200;13000;83;28225;100608;531616;0;0;0;0;0;0.0;27
DADCA-LKH;250;4;2.01888;71;259200;13000;1559;16261;204723;157500;-12487968;124;177;292841;73210;1464200.0;24
TSP-based;250;4;2.00438;71;259200;13000;1016;8892;235942;158441;-12417184;0;0;0;0;0.0;107
DADCA-NSN;250;2;0.96735;71;259200;13000;74;16245;112389;180511;1300224;19;26;36440;18220;364400.0;27
DADCA-NSN;250;8;3.26475;71;259200;13000;55;11659;355409;180511;650160;443;908;993600;124200;2484000.0;27
DADCA-LKH;250;2;1.11255;71;259200;13000;33;14642;135128;157500;650248;23;28;54147;27073;541460.0;24
TSP-based;250;2;1.10241;71;259200;13000;39;8902;132558;158441;650248;0;0;0;0;0.0;107
DADCA-NSN;250;4;1.74320;71;259200;13000;46;15327;205366;180511;1300344;99;152;219327;54831;1096620.0;27
DADCA-NSN;250;16;5.79506;71;259200;13000;51;10868;255623;180511;650112;205920;209586;3560927;222557;4451140.0;27
DADCA-LKH;250;8;3.84183;71;259200;13000;27;11320;433142;157500;0;543;992;1358396;169799;3395980.0;24
TSP-based;250;8;3.80876;71;259200;13000;43;8887;442434;158441;650248;0;0;0;0;0.0;107
DADCA-Parted-NSN;250;2;0.92180;71;259200;13000;42;10747;109667;187613;0;14;24;21399;10699;213980.0;27
DADCA-Parted-NSN;250;8;3.07120;71;259200;13000;29;6670;204232;187613;0;380;1222;668565;83570;1671400.0;27
DADCA-LKH;250;16;7.46381;71;259200;13000;42;9795;787379;157500;0;2486;5631;5459009;341188;6823760.0;24
TSP-based;250;16;7.42115;71;259200;13000;67;8899;881010;158441;0;0;0;0;0;0.0;107
DADCA-Parted-NSN;250;4;1.63826;71;259200;13000;26;10746;196225;187613;0;78;178;116802;29200;584000.0;27
DADCA-Parted-NSN;250;16;5.91459;71;259200;13000;32;5386;364947;187613;0;1616;8781;2962100;185131;3702620.0;27
DADCA-LKH-Cut;250;4;1.98910;71;259200;13000;37;9263;241633;158389;650112;113;219;182575;45643;912860.0;24
TSP-based;250;4;1.99936;71;259200;13000;925;9201;230403;158936;-12092640;0;0;0;0;0.0;108
FPPWR;250;2;0.22884;71;259200;13000;69;27814;23617;522131;650112;0;0;0;0;0.0;28
DADCA-LKH-Cut;250;2;1.09376;71;259200;13000;42;9207;132408;158389;650248;18;28;27136;13568;271360.0;24
FPPWR;250;8;0.57888;71;259200;13000;88;27674;59628;522131;650112;0;0;0;0;0.0;28
TSP-based;250;2;1.09884;71;259200;13000;46;9206;126725;158936;650248;0;0;0;0;0.0;108
FPPWR;250;4;0.34506;71;259200;13000;48;27681;35677;522131;650112;0;0;0;0;0.0;28
DADCA-LKH-Cut;250;8;3.77379;71;259200;13000;26;6850;255684;158389;650112;497;1355;825476;103184;2063680.0;24
TSP-based;250;8;3.79810;71;259200;13000;42;9205;437328;158936;650248;0;0;0;0;0.0;108
FPPWR;250;16;1.04101;71;259200;13000;57;27707;101107;522131;0;0;0;0;0;0.0;28
DADCA-LKH-Cut;250;16;7.05461;71;259200;13000;36;5289;413644;158389;650112;112728;119999;3368360;210522;4210440.0;24
TSP-based;250;16;7.39811;71;259200;13000;36;9209;869632;158936;0;0;0;0;0;0.0;108
DADCA-NSN;250;2;0.91090;71;259200;13000;47;17745;103501;191529;1300296;17;30;35790;17895;357900.0;28
DADCA-NSN;250;8;3.00199;71;259200;13000;91;12312;333243;191529;650160;419;928;881185;110148;2202960.0;28
TSP-based;250;4;2.01132;71;259200;13000;1481;8864;235813;158189;-12076400;0;0;0;0;0.0;109
DADCA-LKH;250;4;2.10602;71;259200;13000;3281;13194;246294;151564;-13053760;126;181;310776;77694;1553880.0;25
DADCA-NSN;250;4;1.60467;71;259200;13000;47;16126;171529;191529;1300368;97;154;194939;48734;974680.0;28
DADCA-NSN;250;16;5.81032;71;259200;13000;68;10480;586308;191529;650112;1705;5087;3460606;216287;4325740.0;28
TSP-based;250;2;1.10247;71;259200;13000;54;8874;132231;158189;650248;0;0;0;0;0.0;109
DADCA-LKH;250;2;1.15119;71;259200;13000;40;14069;134323;151564;658320;23;28;54032;27016;540320.0;25
DADCA-Parted-NSN;250;2;0.93102;71;259200;13000;32;10694;111837;187409;0;22;32;20125;10062;201240.0;28
DADCA-Parted-NSN;250;8;3.09667;71;259200;13000;32;7334;213595;187409;0;378;1300;628354;78544;1570880.0;28
TSP-based;250;8;3.83119;71;259200;13000;48;8889;443991;158189;650248;0;0;0;0;0.0;109
DADCA-LKH;250;8;4.01308;71;259200;13000;46;11850;441003;151564;0;577;976;1409785;176223;3524460.0;25
DADCA-Parted-NSN;250;4;1.65199;71;259200;13000;26;10719;195905;187409;0;78;204;117373;29343;586860.0;28
DADCA-Parted-NSN;250;16;5.97219;71;259200;13000;29;5796;381028;187409;0;1596;8861;2861940;178871;3577420.0;28
TSP-based;250;16;7.45210;71;259200;13000;34;8879;882266;158189;0;0;0;0;0;0.0;109
DADCA-LKH;250;16;7.82832;71;259200;13000;32;9684;830263;151564;0;2557;5878;5943991;371499;7429980.0;25
FPPWR;250;2;0.21892;71;259200;13000;75;28668;23569;535594;650112;0;0;0;0;0.0;29
FPPWR;250;8;0.54412;71;259200;13000;53;28631;58665;535594;650112;0;0;0;0;0.0;29
TSP-based;250;4;2.05348;71;259200;13000;801;9404;242335;155650;-12055840;0;0;0;0;0.0;110
DADCA-LKH-Cut;250;4;2.10212;71;259200;13000;37;8811;243448;151133;650112;120;220;165289;41322;826440.0;25
FPPWR;250;4;0.32843;71;259200;13000;57;28690;35399;535594;650112;0;0;0;0;0.0;29
TSP-based;250;2;1.12255;71;259200;13000;38;9397;132296;155650;650248;0;0;0;0;0.0;110
