Strategy;nPOIs;nUAV;SucessTax;V2V_range;ctRounds;dimX;pathTime;globalAvgDelay;nMsgs;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy;mapName
DADCA-LKH-Cut;50;2;2.82022;71;259200;13000;76;4608;67481;72632;1300384;60;70;17311;8655;173100.0;2
DADCA-NSN;50;2;2.67276;71;259200;13000;27;7765;64840;79607;0;55;60;29846;14923;298460.0;2
DADCA-NSN;50;4;5.12195;71;259200;13000;27;6029;124665;79607;0;313;378;164360;41090;821800.0;2
DADCA-NSN;50;8;9.96246;71;259200;13000;22;4682;237592;79607;0;1473;1955;720839;90104;1802080.0;2
TSP-based;50;16;19.75401;71;259200;13000;52;4335;481153;78278;1300360;0;0;0;0;0.0;5
DADCA-Parted-NSN;50;2;2.41304;71;259200;13000;22;5335;56691;86903;0;46;58;13901;6950;139000.0;2
DADCA-Parted-NSN;50;4;4.60694;71;259200;13000;29;3235;76851;86903;0;284;396;67253;16813;336260.0;2
DADCA-LKH-Cut;50;8;10.63310;71;259200;13000;56;2029;132951;72632;650248;1562;2458;417211;52151;1043020.0;2
TSP-based;50;4;5.36435;71;259200;13000;53;3613;131400;74567;1316776;0;0;0;0;0.0;6
TSP-based;50;2;2.78985;71;259200;13000;32;3611;67973;74567;1300224;0;0;0;0;0.0;6
DADCA-LKH-Cut;50;16;20.90085;71;259200;13000;28;1810;257415;72632;1300456;6786;13599;2050594;128162;2563240.0;2
TSP-based;50;8;10.52380;71;259200;13000;36;3604;257281;74567;1302288;0;0;0;0;0.0;6
DADCA-LKH;50;4;4.98360;71;259200;13000;31;6488;119448;79335;650112;319;373;180254;45063;901260.0;3
DADCA-LKH;50;2;2.60517;71;259200;13000;39;7639;63122;79335;650144;53;58;31440;15720;314400.0;3
TSP-based;50;16;20.83565;71;259200;13000;46;3605;508629;74567;1300360;0;0;0;0;0.0;6
DADCA-LKH;50;8;9.75698;71;259200;13000;27;5203;233680;79335;650112;1490;1949;817974;102246;2044920.0;3
TSP-based;50;4;5.17766;71;259200;13000;36;4043;126522;77226;1300432;0;0;0;0;0.0;7
TSP-based;50;2;2.69541;71;259200;13000;36;4047;65555;77226;650112;0;0;0;0;0.0;7
DADCA-LKH;50;16;19.24155;71;259200;13000;29;4713;425039;79335;1300360;6273;9705;3322995;207687;4153740.0;3
TSP-based;50;8;10.14333;71;259200;13000;33;4048;247233;77226;1302288;0;0;0;0;0.0;7
DADCA-LKH-Cut;50;4;4.92600;71;259200;13000;28;3316;76850;79470;1300384;312;415;86046;21511;430220.0;3
DADCA-LKH-Cut;50;2;2.56400;71;259200;13000;32;5023;62249;79470;650272;52;63;16315;8157;163140.0;3
TSP-based;50;16;20.08164;71;259200;13000;34;4048;489009;77226;1300360;0;0;0;0;0.0;7
DADCA-LKH-Cut;50;8;9.62280;71;259200;13000;28;2814;132068;79470;650248;1423;2313;449060;56132;1122640.0;3
TSP-based;50;4;5.77288;71;259200;13000;35;3667;141632;69753;1300520;0;0;0;0;0.0;8
FPPWR;50;2;0.85930;71;259200;13000;44;10169;20092;222426;650176;0;0;0;0;0.0;1
FPPWR;50;8;2.77666;71;259200;13000;55;10122;64861;222426;650112;0;0;0;0;0.0;1
TSP-based;50;2;2.98588;71;259200;13000;36;3667;73630;69753;650112;0;0;0;0;0.0;8
FPPWR;50;4;1.49433;71;259200;13000;32;10147;35289;222426;650176;0;0;0;0;0.0;1
DADCA-LKH-Cut;50;16;18.93677;71;259200;13000;30;2525;234453;79470;1300456;6063;13236;1956912;122307;2446140.0;3
TSP-based;50;8;11.32909;71;259200;13000;68;3668;276977;69753;1302288;0;0;0;0;0.0;8
DADCA-LKH;50;4;5.63399;71;259200;13000;30;6026;136304;70782;1300224;358;413;193525;48381;967620.0;4
FPPWR;50;16;5.34603;71;259200;13000;33;10121;123858;222426;650112;0;0;0;0;0.0;1
DADCA-LKH;50;2;2.93399;71;259200;13000;28;6669;72638;70782;650272;65;70;34006;17003;340060.0;4
DADCA-NSN;50;2;2.44093;71;259200;13000;22;7883;58579;84445;0;51;56;22942;11471;229420.0;1
TSP-based;50;16;22.48090;71;259200;13000;43;3671;549025;69753;1300360;0;0;0;0;0.0;8
DADCA-NSN;50;8;9.09730;71;259200;13000;26;4607;217146;84445;0;1390;1865;590094;73761;1475220.0;1
TSP-based;50;4;5.61262;71;259200;13000;32;3744;137277;71586;1300400;0;0;0;0;0.0;9
DADCA-LKH;50;8;11.06177;71;259200;13000;31;4427;262015;70782;650112;1684;2135;879896;109987;2199740.0;4
DADCA-NSN;50;4;4.70799;71;259200;13000;22;6065;115156;84445;0;285;340;131325;32831;656620.0;1
TSP-based;50;2;2.91061;71;259200;13000;38;3737;71411;71586;1300280;0;0;0;0;0.0;9
DADCA-NSN;50;16;17.94934;71;259200;13000;31;4033;430628;84445;650144;5767;9260;2481919;155119;3102380.0;1
DADCA-LKH;50;16;21.81995;71;259200;13000;34;3945;477359;70782;1300360;7239;10700;3531294;220705;4414100.0;4
TSP-based;50;8;11.01150;71;259200;13000;33;3737;268759;71586;1302288;0;0;0;0;0.0;9
DADCA-Parted-NSN;50;2;2.26177;71;259200;13000;27;5809;53645;90292;0;48;60;10421;5210;104200.0;1
DADCA-Parted-NSN;50;8;8.36771;71;259200;13000;22;2617;100631;90292;0;1205;2122;256114;32014;640280.0;1
DADCA-LKH-Cut;50;4;5.33368;71;259200;13000;40;3011;78857;73809;1300384;342;444;87298;21824;436480.0;4
DADCA-Parted-NSN;50;4;4.28515;71;259200;13000;21;5960;78240;90292;0;259;376;61355;15338;306760.0;1
DADCA-LKH-Cut;50;2;2.77191;71;259200;13000;41;4897;66292;73809;650272;70;82;18261;9130;182600.0;4
TSP-based;50;16;21.81103;71;259200;13000;42;3735;532845;71586;1300360;0;0;0;0;0.0;9
DADCA-Parted-NSN;50;16;16.40220;71;259200;13000;25;2352;190709;90292;650112;5321;12934;1383050;86440;1728800.0;1
TSP-based;50;4;5.30764;71;259200;13000;56;4203;130135;75524;1300536;0;0;0;0;0.0;10
DADCA-LKH-Cut;50;8;10.45957;71;259200;13000;28;2498;133941;73809;650248;1555;2429;453926;56740;1134800.0;4
FPPWR;50;2;0.89390;71;259200;13000;51;12362;21274;218742;650112;0;0;0;0;0.0;2
TSP-based;50;2;2.76582;71;259200;13000;42;4204;68142;75524;1300416;0;0;0;0;0.0;10
FPPWR;50;8;2.93978;71;259200;13000;34;12398;67760;218742;650288;0;0;0;0;0.0;2
FPPWR;50;4;1.57554;71;259200;13000;32;12394;36740;218742;650112;0;0;0;0;0.0;2
DADCA-LKH-Cut;50;16;20.56057;71;259200;13000;36;2226;246309;73809;1300456;6618;13784;1887946;117996;2359920.0;4
TSP-based;50;8;10.41613;71;259200;13000;40;4212;254900;75524;1302288;0;0;0;0;0.0;10
DADCA-LKH;50;4;5.08985;71;259200;13000;31;6104;121715;78045;650112;335;389;162788;40697;813940.0;5
FPPWR;50;16;5.66100;71;259200;13000;31;12396;130754;218742;650112;0;0;0;0;0.0;2
DADCA-LKH;50;2;2.66115;71;259200;13000;31;7041;63577;78045;650144;57;62;27610;13805;276100.0;5
TSP-based;50;16;20.60139;71;259200;13000;40;4206;503450;75524;1300248;0;0;0;0;0.0;10
DADCA-NSN;50;2;2.67450;71;259200;13000;23;7769;64871;79607;0;53;58;29888;14944;298880.0;2
DADCA-NSN;50;8;9.96296;71;259200;13000;25;4639;227633;79607;0;1475;1996;705150;88143;1762860.0;2
