FPPWRMobility;20;2;2.38281%;71;259200;12649;3334MiliSegs;1_TSP_thread;253570;252295;2877;620;22977;86821;0.9192949459876534;2.74451169647896;map_1.txt
FPPWRMobility;20;4;4.15721%;71;259200;12649;4107MiliSegs;1_TSP_thread;249185;247290;2858;620;40257;86821;1.6038636212086554;4.788259184037082;map_1.txt
FPPWRMobility;20;8;6.71200%;71;259200;12649;5965MiliSegs;1_TSP_thread;243050;240095;2845;620;64463;86821;2.5895055774653257;7.730846749968469;map_1.txt
FPPWRMobility;20;16;13.10050%;71;259200;12649;12264MiliSegs;1_TSP_thread;227455;221780;2842;620;126002;86821;5.054205842287761;15.089093126328741;map_1.txt
ZigZagOverNSN;20;2;4.69416%;71;259200;12649;4047MiliSegs;1_TSP_thread;253420;242680;2532;1159;44752;54408;1.8110166252286224;8.627692788914478;map_1.txt
ZigZagOverNSN;20;4;8.20891%;71;259200;12649;4833MiliSegs;1_TSP_thread;251720;229800;2122;84;78349;54408;3.1670185328075005;15.087693054398327;map_1.txt
ZigZagOverNSN;20;8;13.41647%;71;259200;12649;6477MiliSegs;1_TSP_thread;244635;211735;1838;84;125403;54408;5.176108705799422;24.659009273327637;map_1.txt
ZigZagOverNSN;20;16;25.94946%;71;259200;12649;11961MiliSegs;1_TSP_thread;226130;170465;1560;85;234893;54408;10.011365693110806;47.6941991555345;map_1.txt
FPPWRMobility;800;4;0.27849%;71;259200;12649;110041MiliSegs;1_TSP_thread;258890;257930;17420;7;92040;556214;0.10744271309632712;0.05006913028900386;map_1.txt
FPPWRMobility;800;2;0.22710%;71;259200;12649;118089MiliSegs;1_TSP_thread;258945;258080;16380;7;72238;556214;0.08761489233253236;0.04082921338296481;map_1.txt
FPPWRMobility;800;8;0.25932%;71;259200;12649;125070MiliSegs;1_TSP_thread;258900;257935;18619;6;84387;556214;0.10004797971679318;0.046623127685733894;map_1.txt
FPPWRMobility;800;16;0.40895%;71;259200;12649;143693MiliSegs;1_TSP_thread;258730;257140;18611;7;131994;556214;0.1577741579027601;0.07352397050127363;map_1.txt
ZigZagOverNSN;800;2;0.41793%;71;259200;12649;103976MiliSegs;1_TSP_thread;258590;257545;31780;72;161099;322175;0.1612366308727722;0.12971998051438677;map_1.txt
ZigZagOverNSN;800;4;0.57177%;71;259200;12649;117914MiliSegs;1_TSP_thread;258660;256960;25003;6;182436;322175;0.22058985506211054;0.17747153078947484;map_1.txt
ZigZagOverNSN;800;8;0.65891%;71;259200;12649;123128MiliSegs;1_TSP_thread;258395;256590;26213;6;210364;322175;0.2542098908321916;0.20451991527494082;map_1.txt
ZigZagOverNSN;800;16;1.18211%;71;259200;12649;144565MiliSegs;1_TSP_thread;257630;254750;13797;6;362970;322175;0.456060343554719;0.36691500286919587;map_1.txt
FPPWRMobility;20;2;2.29871%;71;259200;12649;3252MiliSegs;1_TSP_thread;253960;251985;3385;63;21962;90408;0.8868470531359556;2.542593091018933;map_2.txt
