Strategy;mapName;nPOIs;nUAV;SucessTax;pathTime;globalAvgDelay;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy
DADCA-LKH;5;48;4.0;5.15396;0.0017000000000000001;6119.0;77.279;8452176.0;335.0;388.0;162949.0;40737.0;814740.0
DADCA-LKH;5;50;4.0;5.08985;0.0005166666666666667;6104.0;78.045;650112.0;335.0;389.0;162788.0;40697.0;813940.0
DADCA-LKH;5;80;4.0;4.0599;0.0018833333333333334;7643.0;93.81;9758888.0;251.0;308.0;214245.0;53561.0;1071220.0
DADCA-LKH;5;160;4.0;2.63559;0.021416666666666667;10256.0;130.988;-12383848.0;163.0;218.0;270518.0;67629.0;1352580.0
DADCA-LKH;5;250;4.0;1.9779099999999998;0.02875;16025.0;160.25900000000001;-12877728.0;114.0;170.0;282723.0;70680.0;1413600.0
DADCA-LKH;5;320;4.0;1.69839;0.04083333333333333;16420.0;176.79500000000002;3280384.0;99.0;154.0;313499.0;78374.0;1567480.0
DADCA-LKH;5;500;4.0;1.2226700000000001;0.27013333333333334;21979.0;217.298;10701760.0;65.0;127.0;321489.0;80372.0;1607440.0
DADCA-LKH;6;16;4.0;8.651019999999999;0.0010666666666666667;3691.0;49.438;7152952.0;558.0;611.0;104517.0;26129.0;522580.0
DADCA-LKH;6;32;4.0;6.3875;0.00185;5000.0;64.43;8460688.0;403.0;457.0;144478.0;36119.0;722380.0
DADCA-LKH;6;48;4.0;5.6969;0.00095;5479.0;70.27;8452816.0;365.0;420.0;177959.0;44489.0;889780.0
DADCA-LKH;6;50;4.0;5.56674;0.00048333333333333334;5504.0;71.70100000000001;1316784.0;357.0;411.0;181529.0;45382.0;907640.0
DADCA-LKH;6;80;4.0;4.26963;0.0018333333333333335;8429.0;89.376;9759104.0;273.0;330.0;224634.0;56158.0;1123160.0
DADCA-LKH;6;160;4.0;2.83394;0.013083333333333334;10327.0;122.60600000000001;-12543072.0;181.0;236.0;287789.0;71947.0;1438940.0
DADCA-LKH;6;250;4.0;2.14715;0.01721666666666667;13442.0;148.951;-13505120.0;143.0;201.0;326188.0;81547.0;1630940.0
DADCA-LKH;6;320;4.0;1.7106;0.10046666666666668;16494.0;176.024;3640808.0;97.0;150.0;315622.0;78905.0;1578100.0
