Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
TSPbasedMobility;20;4;6.69529;10;3750000;3000;54;4;3504755;3494070;1173
ZigZagOverNSNMobility;20;2;3.77698;10;3750000;3000;34;4;3681325;3553015;421
KingstonImprovedOverNSNMobility;20;2;3.32533;10;3750000;3000;34;4;3747325;3520160;421
TSPbasedMobility;20;2;3.34349;10;3750000;3000;48;4;3627810;3622170;1173
ZigZagOverNSNMobility;20;16;26.43547;10;3750000;3000;67;4;3218055;2632960;358
KingstonImprovedOverNSNMobility;20;16;25.57077;10;3750000;3000;79;4;3386975;2240915;358
TSPbasedMobility;20;16;24.46396;10;3750000;3000;135;4;2851495;2813720;471
ZigZagOverNSNMobility;20;8;13.37463;10;3750000;3000;47;4;3486440;3168070;358
KingstonImprovedOverNSNMobility;20;8;13.19489;10;3750000;3000;56;4;3571665;3039260;358
TSPbasedMobility;20;8;11.89557;10;3750000;3000;117;4;3313360;3294480;792
ZigZagOverNSNMobility;20;4;6.71643;10;3750000;3000;38;4;3619365;3442050;358
KingstonImprovedOverNSNMobility;20;4;6.41781;10;3750000;3000;42;4;3672230;3338785;358
TSPbasedMobility;20;4;5.88311;10;3750000;3000;107;4;3534510;3524485;623
KingstonImprovedOverNSNMobility;20;2;3.72253;10;3750000;3000;34;4;3696365;3536245;358
ZigZagOverNSNMobility;20;2;3.38775;10;3750000;3000;34;4;3685415;3596060;358
TSPbasedMobility;20;2;3.06131;10;3750000;3000;98;4;3637460;3632375;358
ZigZagOverNSNMobility;20;16;32.66305;10;3750000;3000;63;4;3149150;1890205;352
KingstonImprovedOverNSNMobility;20;16;31.32717;10;3750000;3000;80;4;3282220;1851315;352
TSPbasedMobility;20;16;31.11539;10;3750000;3000;113;4;2606675;2564390;413
ZigZagOverNSNMobility;20;8;16.49868;10;3750000;3000;47;4;3451830;2817010;352
KingstonImprovedOverNSNMobility;20;8;15.58657;10;3750000;3000;54;4;3523120;2814785;352
TSPbasedMobility;20;8;16.28886;10;3750000;3000;91;4;3149955;3126615;413
ZigZagOverNSNMobility;20;4;8.30591;10;3750000;3000;40;4;3601815;3280725;352
KingstonImprovedOverNSNMobility;20;4;8.01735;10;3750000;3000;42;4;3666805;2582635;352
TSPbasedMobility;20;4;8.14846;10;3750000;3000;82;4;3451280;3437770;445
ZigZagOverNSNMobility;20;2;4.17116;10;3750000;3000;34;4;3676040;3515260;352
KingstonImprovedOverNSNMobility;20;2;4.21515;10;3750000;3000;35;4;3688900;3501495;352
TSPbasedMobility;20;2;4.07696;10;3750000;3000;77;4;3600270;3593720;413
ZigZagOverNSNMobility;20;16;27.46361;10;3750000;3000;61;4;3207155;2521245;342
KingstonImprovedOverNSNMobility;20;16;25.66414;10;3750000;3000;75;4;3359835;2285070;343
TSPbasedMobility;20;16;29.01815;10;3750000;3000;84;4;2679725;2637895;485
ZigZagOverNSNMobility;20;8;13.85637;10;3750000;3000;47;4;3481585;3122245;343
KingstonImprovedOverNSNMobility;20;8;13.04297;10;3750000;3000;52;4;3553565;3018535;343
TSPbasedMobility;20;8;14.77228;10;3750000;3000;67;4;3239900;2885445;356
ZigZagOverNSNMobility;20;4;6.98060;10;3750000;3000;39;4;3614690;3430020;343
KingstonImprovedOverNSNMobility;20;4;6.42137;10;3750000;3000;44;4;3652480;3361480;343
TSPbasedMobility;20;4;7.23918;10;3750000;3000;59;4;3485005;3472880;485
ZigZagOverNSNMobility;20;2;3.49811;10;3750000;3000;34;4;3682610;3590985;343
KingstonImprovedOverNSNMobility;20;2;3.72985;10;3750000;3000;34;4;3697885;3544595;343
TSPbasedMobility;20;2;3.63109;10;3750000;3000;52;4;3616575;3610430;485
ZigZagOverNSNMobility;20;16;29.40809;10;3750000;3000;61;4;3206710;1973615;220
KingstonImprovedOverNSNMobility;20;16;27.79805;10;3750000;3000;78;4;3399160;1461200;220
TSPbasedMobility;20;16;30.05611;10;3750000;3000;79;4;2639695;2596390;220
ZigZagOverNSNMobility;20;8;14.84611;10;3750000;3000;47;4;3479830;2854345;220
KingstonImprovedOverNSNMobility;20;8;14.11829;10;3750000;3000;52;4;3576220;2613230;212
TSPbasedMobility;20;8;14.29489;10;3750000;3000;62;4;3225530;3203875;520
ZigZagOverNSNMobility;20;4;7.48353;10;3750000;3000;39;4;3615895;3303020;220
KingstonImprovedOverNSNMobility;20;4;7.27234;10;3750000;3000;42;4;3659915;3179835;220
TSPbasedMobility;20;4;7.51346;10;3750000;3000;51;4;3473130;3461205;220
ZigZagOverNSNMobility;20;2;3.75206;10;3750000;3000;35;4;3682485;3527900;220
KingstonImprovedOverNSNMobility;20;2;3.81228;10;3750000;3000;36;4;3702380;3492420;220
TSPbasedMobility;20;2;3.75659;10;3750000;3000;46;4;3611335;3605520;220
ZigZagOverNSNMobility;20;16;30.72556;10;3750000;3000;62;4;3177250;1916620;501
KingstonImprovedOverNSNMobility;20;16;32.26038;10;3750000;3000;83;4;3357470;1177830;501
TSPbasedMobility;20;16;23.64166;10;3750000;3000;190;4;2885555;2852460;1379
ZigZagOverNSNMobility;20;8;15.47831;10;3750000;3000;49;4;3467015;2834080;501
KingstonImprovedOverNSNMobility;20;8;16.34089;10;3750000;3000;59;4;3541765;2420960;501
TSPbasedMobility;20;8;13.63912;10;3750000;3000;184;4;3248100;3228140;926
ZigZagOverNSNMobility;20;4;7.79780;10;3750000;3000;39;4;3608680;3291990;501
KingstonImprovedOverNSNMobility;20;4;8.32168;10;3750000;3000;43;4;3670720;2998545;501
TSPbasedMobility;20;4;7.22983;10;3750000;3000;169;4;3485220;3473395;501
ZigZagOverNSNMobility;20;2;3.90283;10;3750000;3000;34;4;3678770;3522380;501
KingstonImprovedOverNSNMobility;20;2;4.47202;10;3750000;3000;35;4;3685950;3334120;501
TSPbasedMobility;20;2;3.44410;10;3750000;3000;144;4;3623605;3618350;501
ZigZagOverNSNMobility;20;16;31.69498;10;3750000;3000;61;4;3154305;2129180;302
KingstonImprovedOverNSNMobility;20;16;30.24408;10;3750000;3000;79;4;3301775;2020560;302
TSPbasedMobility;20;16;29.03931;10;3750000;3000;89;4;2680410;2638335;549
ZigZagOverNSNMobility;20;8;15.99917;10;3750000;3000;48;4;3454240;2943495;301
