TSPConcorde;20;4;6,03106%;71;259200;13000;3494MiliSegs;172MiliSegs;4_TSP_thread;244030;243040;6098;329;59087;55661;2.326796720202714;10.835337307568018;map_1.txt
FPPWRMobility;20;4;3,35802%;71;259200;13000;3369MiliSegs;15MiliSegs;4_TSP_thread;251030;250040;11087;2467;31314;86821;1.2955342173449147;3.8677562932447436;map_1.txt
ZigZagOverNSN;20;4;6,48563%;71;259200;13000;3416MiliSegs;0MiliSegs;4_TSP_thread;251120;232550;7265;325;63645;54408;2.5021716273243424;11.920358877416364;map_1.txt
TSPConcorde;20;16;23,63966%;71;259200;13000;7541MiliSegs;156MiliSegs;4_TSP_thread;199525;195365;6093;329;232280;55661;9.120239388050603;42.4707793496832;map_1.txt
FPPWRMobility;20;16;12,93171%;71;259200;13000;8518MiliSegs;15MiliSegs;4_TSP_thread;227375;223835;11098;2467;123850;86821;4.989086791266574;14.894683271285706;map_1.txt
ZigZagOverNSN;20;16;24,88397%;71;259200;13000;8519MiliSegs;0MiliSegs;4_TSP_thread;226025;155095;5792;325;243855;54408;9.600297032178785;45.735865878928486;map_1.txt
TSPConcorde;200;4;2,03103%;71;259200;13000;27961MiliSegs;734MiliSegs;4_TSP_thread;254430;253290;15030;325;193477;137962;0.7835756803936152;1.4721649175716869;map_1.txt
FPPWRMobility;200;4;0,35906%;71;259200;13000;26445MiliSegs;31MiliSegs;4_TSP_thread;258685;257280;49448;273;23027;449684;0.13852496642089832;0.07984645061042164;map_1.txt
ZigZagOverNSN;200;4;1,57503%;71;259200;13000;26606MiliSegs;31MiliSegs;4_TSP_thread;257160;252415;24126;266;138454;177327;0.6076500521547783;0.8882059332110651;map_1.txt
TSPConcorde;200;16;7,62936%;71;259200;13000;37061MiliSegs;749MiliSegs;4_TSP_thread;241140;237240;15029;325;714704;137962;2.9434257592211575;5.530044191807339;map_1.txt
FPPWRMobility;200;16;1,07453%;71;259200;13000;46801MiliSegs;31MiliSegs;4_TSP_thread;257470;253370;49296;273;68851;449684;0.4145553209781291;0.23895166205053117;map_1.txt
ZigZagOverNSN;200;16;5,75414%;71;259200;13000;39076MiliSegs;31MiliSegs;4_TSP_thread;252000;234625;19306;266;523064;177327;2.21996054455304;3.244930400605367;map_1.txt
TSPConcorde;800;4;0,76112%;71;259200;13000;146216MiliSegs;42907MiliSegs;4_TSP_thread;257580;256180;30686;235;268726;265874;0.29364226704199053;0.2862712247804748;map_1.txt
FPPWRMobility;800;4;0,23590%;71;259200;13000;106742MiliSegs;62MiliSegs;4_TSP_thread;258700;258045;61970;16;61258;556214;0.09101224625152368;0.0424124064270136;map_1.txt
ZigZagOverNSN;800;4;0,58316%;71;259200;13000;104997MiliSegs;234MiliSegs;4_TSP_thread;258425;256545;56582;16;178593;322175;0.22498353046172626;0.18100638192187304;map_1.txt
TSPConcorde;800;16;2,56447%;71;259200;13000;158662MiliSegs;30222MiliSegs;4_TSP_thread;254200;248510;31202;16;805400;266963;0.9893797897852828;0.9606096781664325;map_1.txt
FPPWRMobility;800;16;0,68705%;71;259200;13000;131394MiliSegs;44MiliSegs;4_TSP_thread;258135;254995;62007;16;153655;556214;0.2650670971817376;0.1235233050399781;map_1.txt
ZigZagOverNSN;800;16;1,89958%;71;259200;13000;136390MiliSegs;232MiliSegs;4_TSP_thread;256835;250860;45605;16;523785;322175;0.7328609634583161;0.5896098757768155;map_1.txt
TSPConcorde;20;4;6,34549%;71;259200;13000;3595MiliSegs;174MiliSegs;4_TSP_thread;243345;242380;4991;82;62558;53841;2.4481042095336067;11.785602256850929;map_2.txt
FPPWRMobility;20;4;3,37346%;71;259200;13000;3397MiliSegs;15MiliSegs;4_TSP_thread;251400;245240;11949;84;33319;90408;1.3014879591525665;3.7313697793596283;map_2.txt
ZigZagOverNSN;20;4;6,16667%;71;259200;13000;3551MiliSegs;0MiliSegs;4_TSP_thread;251245;236425;7972;82;59519;56045;2.3791152263374475;11.003063014839261;map_2.txt
TSPConcorde;20;16;24,81694%;71;259200;13000;7942MiliSegs;158MiliSegs;4_TSP_thread;196405;193305;4990;82;245722;53841;9.5744354662018;46.093008540694015;map_2.txt
FPPWRMobility;20;16;12,96219%;71;259200;13000;8764MiliSegs;16MiliSegs;4_TSP_thread;229070;206400;11977;84;123773;90408;5.000845431336685;14.33743845458885;map_2.txt
ZigZagOverNSN;20;16;23,97097%;71;259200;13000;8539MiliSegs;0MiliSegs;4_TSP_thread;227835;175740;5794;82;235432;56045;9.248058782483616;42.77093115210551;map_2.txt
TSPConcorde;200;4;2,04934%;71;259200;13000;28174MiliSegs;1413MiliSegs;4_TSP_thread;254435;253150;14773;108;193961;138023;0.7906420277015689;1.4847845183791588;map_2.txt
FPPWRMobility;200;4;0,36355%;71;259200;13000;27980MiliSegs;31MiliSegs;4_TSP_thread;258670;257220;46839;82;23430;445178;0.1402589937223742;0.08166425828059651;map_2.txt
ZigZagOverNSN;200;4;1,58754%;71;259200;13000;28076MiliSegs;19MiliSegs;4_TSP_thread;257160;252250;23205;82;136994;174249;0.6124763041076067;0.9110747150611576;map_2.txt
TSPConcorde;200;16;7,67697%;71;259200;13000;41662MiliSegs;3289MiliSegs;4_TSP_thread;241140;237385;14759;108;714532;138023;2.9617930526977574;5.562092979135787;map_2.txt
FPPWRMobility;200;16;1,10382%;71;259200;13000;48099MiliSegs;29MiliSegs;4_TSP_thread;257375;253380;46836;82;70521;445178;0.42585626714677577;0.24795013330497975;map_2.txt
ZigZagOverNSN;200;16;5,82405%;71;259200;13000;41173MiliSegs;19MiliSegs;4_TSP_thread;251715;233815;18034;82;499966;174249;2.246930994941701;3.342369332902277;map_2.txt
TSPConcorde;800;4;0,75701%;71;259200;13000;192966MiliSegs;80251MiliSegs;4_TSP_thread;257590;255900;30850;3;267998;266854;0.2920561530135453;0.2836792960237094;map_2.txt
FPPWRMobility;800;4;0,22860%;71;259200;13000;101742MiliSegs;47MiliSegs;4_TSP_thread;258840;258155;62343;3;60945;565668;0.08819445188662271;0.04041240078811707;map_2.txt
ZigZagOverNSN;800;4;0,56334%;71;259200;13000;104549MiliSegs;219MiliSegs;4_TSP_thread;258625;256105;62013;3;159045;328084;0.21733762359967795;0.17170575839430308;map_2.txt
