Strategy;nUAV;nPOIs;;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;globalAvgDelay;nMsgs;tourSize;Unnamed: 14
ZigZagOverNSN;2;20;max;2.075;71.0;36000.0;30000.0;1505.0;4.0;35810.0;35370.0;6276.0;2579.0;122163.0;
ZigZagOverNSN;4;20;count;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0
ZigZagOverNSN;4;20;mean;2.1242427;71.0;36000.0;30000.0;1321.61;4.0;35584.8;34953.85;4869.13;2241.1;97941.5;
ZigZagOverNSN;4;20;std;0.291647989116;0.0;0.0;0.0;95.9514707937;0.0;90.1007292653;162.139818389;553.255738535;433.378773841;9613.3299358;
ZigZagOverNSN;4;20;min;1.44444;71.0;36000.0;30000.0;1070.0;4.0;35415.0;34250.0;3704.0;1206.0;76015.0;
ZigZagOverNSN;4;20;25%;1.957115;71.0;36000.0;30000.0;1253.0;4.0;35516.25;34860.0;4471.75;2140.0;90525.0;
ZigZagOverNSN;4;20;50%;2.07951;71.0;36000.0;30000.0;1321.0;4.0;35575.0;34982.5;4851.5;2199.5;97977.5;
ZigZagOverNSN;4;20;75%;2.2810775;71.0;36000.0;30000.0;1371.75;4.0;35665.0;35061.25;5182.5;2250.0;104275.25;
ZigZagOverNSN;4;20;max;3.00833;71.0;36000.0;30000.0;1609.0;4.0;35760.0;35295.0;6441.0;3520.0;122163.0;
ZigZagOverNSN;8;20;count;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0
ZigZagOverNSN;8;20;mean;3.3104858;71.0;36000.0;30000.0;1915.46;4.0;35429.65;34394.65;4545.54;3738.83;97941.5;
ZigZagOverNSN;8;20;std;0.517565081799;0.0;0.0;0.0;103.766873521;0.0;159.58794004;314.869906598;595.330354263;688.849282822;9613.3299358;
ZigZagOverNSN;8;20;min;2.32847;71.0;36000.0;30000.0;1708.0;4.0;34975.0;33180.0;3088.0;1873.0;76015.0;
ZigZagOverNSN;8;20;25%;2.9762175;71.0;36000.0;30000.0;1846.5;4.0;35298.75;34192.5;4141.5;3348.75;90525.0;
ZigZagOverNSN;8;20;50%;3.24896;71.0;36000.0;30000.0;1905.5;4.0;35465.0;34425.0;4370.5;3900.0;97977.5;
ZigZagOverNSN;8;20;75%;3.6206575;71.0;36000.0;30000.0;1972.5;4.0;35551.25;34615.0;5035.0;3974.25;104275.25;
ZigZagOverNSN;8;20;max;4.97083;71.0;36000.0;30000.0;2323.0;4.0;35700.0;34935.0;5868.0;6199.0;122163.0;
ZigZagOverNSN;16;20;count;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0
ZigZagOverNSN;16;20;mean;5.6041946;71.0;36000.0;30000.0;4383.62;4.0;34862.25;33358.3;3360.88;6409.68;97941.5;
ZigZagOverNSN;16;20;std;1.01158521208;0.0;0.0;0.0;143.591577086;0.0;205.528850982;507.229661291;381.896920885;1347.64776653;9613.3299358;
ZigZagOverNSN;16;20;min;3.74306;71.0;36000.0;30000.0;3888.0;4.0;34295.0;31405.0;2367.0;4203.0;76015.0;
ZigZagOverNSN;16;20;25%;4.83733;71.0;36000.0;30000.0;4295.5;4.0;34717.5;33038.75;3123.0;5198.25;90525.0;
ZigZagOverNSN;16;20;50%;5.40521;71.0;36000.0;30000.0;4371.5;4.0;34860.0;33375.0;3332.5;6180.5;97977.5;
ZigZagOverNSN;16;20;75%;6.2581625;71.0;36000.0;30000.0;4478.0;4.0;34996.25;33761.25;3663.75;7273.75;104275.25;
ZigZagOverNSN;16;20;max;8.74722;71.0;36000.0;30000.0;4741.0;4.0;35415.0;34160.0;4429.0;10349.0;122163.0;
