TSPbased;100;10;0.27238%;71;360000;30000;1827257MiliSegs;1_TSP_thread;359395;358515;32885;14538;1228878
TSPbased;100;10;0.26625%;71;360000;30000;1828016MiliSegs;1_TSP_thread;359325;358555;33577;15040;1263045
TSPbased;100;10;0.33168%;71;360000;30000;1826877MiliSegs;1_TSP_thread;359165;358175;29351;19736;1112227
TSPbased;100;10;0.35837%;71;360000;30000;1826924MiliSegs;1_TSP_thread;359195;357835;28953;19675;1070360
TSPbased;100;10;0.28143%;71;360000;30000;1826792MiliSegs;1_TSP_thread;359345;358565;31519;14488;1197467
TSPbased;100;10;0.39792%;71;360000;30000;1827040MiliSegs;1_TSP_thread;358805;357885;27893;24592;1005247
TSPbased;100;10;0.30147%;71;360000;30000;1827119MiliSegs;1_TSP_thread;359130;358465;30189;17952;1164005
TSPbased;100;10;0.30586%;71;360000;30000;1826167MiliSegs;1_TSP_thread;359140;358185;28830;19587;1140740
TSPbased;100;10;0.31367%;71;360000;30000;1827400MiliSegs;1_TSP_thread;359160;357020;27205;19692;1141950
TSPbased;100;10;0.38187%;71;360000;30000;1826413MiliSegs;1_TSP_thread;359010;357830;26928;19740;1026830
TSPbased;100;10;0.36382%;71;360000;30000;1826453MiliSegs;1_TSP_thread;359140;357820;25416;19935;1056612
TSPbased;100;10;0.31742%;71;360000;30000;1826431MiliSegs;1_TSP_thread;359175;358170;28414;20492;1163125
TSPbased;100;10;0.26117%;71;360000;30000;1827528MiliSegs;1_TSP_thread;359335;358605;32279;14600;1263986
TSPbased;100;10;0.44503%;71;360000;30000;1825653MiliSegs;1_TSP_thread;358810;357315;24674;26821;943913
TSPbased;100;10;0.29032%;71;360000;30000;1827745MiliSegs;1_TSP_thread;359330;358345;31149;16352;1183631
TSPbased;100;10;0.26239%;71;360000;30000;1827383MiliSegs;1_TSP_thread;359350;358415;32020;14747;1265752
TSPbased;100;10;0.28383%;71;360000;30000;1827290MiliSegs;1_TSP_thread;359295;358390;30134;14811;1211380
TSPbased;100;10;0.36914%;71;360000;30000;1825899MiliSegs;1_TSP_thread;359075;357820;27765;20026;1051075
TSPbased;100;10;0.30315%;71;360000;30000;1827285MiliSegs;1_TSP_thread;359160;358135;31641;17860;1151399
TSPbased;100;10;0.37696%;71;360000;30000;1826600MiliSegs;1_TSP_thread;359005;358025;27751;19567;1021424
TSPbased;100;10;0.31876%;71;360000;30000;1827549MiliSegs;1_TSP_thread;359160;357900;26819;19374;1111475
TSPbased;100;10;0.30518%;71;360000;30000;1826643MiliSegs;1_TSP_thread;359120;358255;28324;19493;1151767
TSPbased;100;10;0.30349%;71;360000;30000;1827921MiliSegs;1_TSP_thread;359160;358050;29000;18282;1161822
TSPbased;100;10;0.29596%;71;360000;30000;1826773MiliSegs;1_TSP_thread;359135;358270;30513;19387;1169627
TSPbased;100;10;0.42826%;71;360000;30000;1825890MiliSegs;1_TSP_thread;358845;357580;26761;25849;948901
TSPbased;100;10;0.32785%;71;360000;30000;1826831MiliSegs;1_TSP_thread;359150;358020;31227;19811;1130089
TSPbased;100;10;0.27054%;71;360000;30000;1827216MiliSegs;1_TSP_thread;359385;357910;30483;14849;1242328
TSPbased;100;10;0.37060%;71;360000;30000;1827292MiliSegs;1_TSP_thread;359085;357610;25758;19969;1058833
TSPbased;100;10;0.34653%;71;360000;30000;1826018MiliSegs;1_TSP_thread;359145;357775;27663;19999;1087240
TSPbased;100;10;0.39360%;71;360000;30000;1826850MiliSegs;1_TSP_thread;358935;357575;27094;22923;1006828
