Strategy;nPOIs;nUAV;SucessTax;V2V_range;ctRounds;dimX;simumationTimeMS;pathTime;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize;memory;mapName
DADCA-LKH;100;2;0.00000;71;2;13000;925;841;4;2;2;-1;0;0;105021;0.0;0.0;-1;42
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;989;921;4;2;2;-1;0;0;105573;0.0;0.0;-1;42
TSP-based;100;2;0.00000;71;2;13000;35052;34970;4;2;2;-1;0;0;103850;0.0;0.0;-1;43
FPPWR;100;2;0.00000;71;2;13000;199;137;4;2;2;-1;0;0;323639;0.0;0.0;-1;43
DADCA-NSN;100;2;0.00000;71;2;13000;137;69;4;2;2;-1;0;0;117982;0.0;0.0;-1;43
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;124;57;4;2;2;-1;0;0;120373;0.0;0.0;-1;43
DADCA-LKH;100;2;0.00000;71;2;13000;1425;1343;4;2;2;-1;0;0;103850;0.0;0.0;-1;43
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;1426;1340;4;2;2;-1;0;0;104316;0.0;0.0;-1;43
TSP-based;100;2;0.00000;71;2;13000;5372;5294;4;2;2;-1;0;0;106306;0.0;0.0;-1;44
FPPWR;100;2;0.00000;71;2;13000;214;146;4;2;2;-1;0;0;343788;0.0;0.0;-1;44
DADCA-NSN;100;2;0.00000;71;2;13000;143;75;4;2;2;-1;0;0;119164;0.0;0.0;-1;44
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;132;58;4;2;2;-1;0;0;120826;0.0;0.0;-1;44
DADCA-LKH;100;2;0.00000;71;2;13000;1020;947;4;2;2;-1;0;0;104752;0.0;0.0;-1;44
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;966;899;4;2;2;-1;0;0;106194;0.0;0.0;-1;44
TSP-based;100;2;0.00000;71;2;13000;34296;34227;4;2;2;-1;0;0;107205;0.0;0.0;-1;45
FPPWR;100;2;0.00000;71;2;13000;217;138;4;2;2;-1;0;0;377444;0.0;0.0;-1;45
DADCA-NSN;100;2;0.00000;71;2;13000;152;71;4;2;2;-1;0;0;126313;0.0;0.0;-1;45
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;138;61;4;2;2;-1;0;0;132534;0.0;0.0;-1;45
DADCA-LKH;100;2;0.00000;71;2;13000;1334;1264;4;2;2;-1;0;0;107205;0.0;0.0;-1;45
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;1330;1263;4;2;2;-1;0;0;107498;0.0;0.0;-1;45
TSP-based;100;2;0.00000;71;2;13000;14600;14525;4;2;2;-1;0;0;106698;0.0;0.0;-1;46
FPPWR;100;2;0.00000;71;2;13000;213;140;4;2;2;-1;0;0;334727;0.0;0.0;-1;46
DADCA-NSN;100;2;0.00000;71;2;13000;144;66;4;2;2;-1;0;0;125400;0.0;0.0;-1;46
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;131;57;4;2;2;-1;0;0;127303;0.0;0.0;-1;46
DADCA-LKH;100;2;0.00000;71;2;13000;2324;2251;4;2;2;-1;0;0;107297;0.0;0.0;-1;46
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;2347;2271;4;2;2;-1;0;0;108304;0.0;0.0;-1;46
TSP-based;100;2;0.00000;71;2;13000;5399;5317;4;2;2;-1;0;0;101335;0.0;0.0;-1;47
FPPWR;100;2;0.00000;71;2;13000;210;137;4;2;2;-1;0;0;376442;0.0;0.0;-1;47
DADCA-NSN;100;2;0.00000;71;2;13000;136;71;4;2;2;-1;0;0;118346;0.0;0.0;-1;47
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;122;56;4;2;2;-1;0;0;128596;0.0;0.0;-1;47
DADCA-LKH;100;2;0.00000;71;2;13000;931;844;4;2;2;-1;0;0;102433;0.0;0.0;-1;47
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;926;850;4;2;2;-1;0;0;104527;0.0;0.0;-1;47
TSP-based;100;2;0.00000;71;2;13000;14296;14221;4;2;2;-1;0;0;102518;0.0;0.0;-1;48
FPPWR;100;2;0.00000;71;2;13000;202;141;4;2;2;-1;0;0;351139;0.0;0.0;-1;48
DADCA-NSN;100;2;0.00000;71;2;13000;140;65;4;2;2;-1;0;0;120033;0.0;0.0;-1;48
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;122;55;4;2;2;-1;0;0;119164;0.0;0.0;-1;48
DADCA-LKH;100;2;0.00000;71;2;13000;1014;935;4;2;2;-1;0;0;102879;0.0;0.0;-1;48
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;1013;938;4;2;2;-1;0;0;105846;0.0;0.0;-1;48
TSP-based;100;2;0.00000;71;2;13000;8134;8064;4;2;2;-1;0;0;105625;0.0;0.0;-1;49
FPPWR;100;2;0.00000;71;2;13000;203;118;4;2;2;-1;0;0;373264;0.0;0.0;-1;49
DADCA-NSN;100;2;0.00000;71;2;13000;134;52;4;2;2;-1;0;0;122001;0.0;0.0;-1;49
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;138;60;4;2;2;-1;0;0;120467;0.0;0.0;-1;49
DADCA-LKH;100;2;0.00000;71;2;13000;2703;2628;4;2;2;-1;0;0;103159;0.0;0.0;-1;49
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;2698;2630;4;2;2;-1;0;0;104990;0.0;0.0;-1;49
TSP-based;100;2;0.00000;71;2;13000;11234;11150;4;2;2;-1;0;0;102542;0.0;0.0;-1;50
FPPWR;100;2;0.00000;71;2;13000;210;143;4;2;2;-1;0;0;315526;0.0;0.0;-1;50
DADCA-NSN;100;2;0.00000;71;2;13000;132;64;4;2;2;-1;0;0;124112;0.0;0.0;-1;50
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;131;61;4;2;2;-1;0;0;125739;0.0;0.0;-1;50
DADCA-LKH;100;2;0.00000;71;2;13000;1582;1518;4;2;2;-1;0;0;103365;0.0;0.0;-1;50
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;1605;1537;4;2;2;-1;0;0;103226;0.0;0.0;-1;50
TSP-based;100;2;0.00000;71;2;13000;3522;3455;4;2;2;-1;0;0;102796;0.0;0.0;-1;51
FPPWR;100;2;0.00000;71;2;13000;211;123;4;2;2;-1;0;0;354975;0.0;0.0;-1;51
DADCA-NSN;100;2;0.00000;71;2;13000;133;63;4;2;2;-1;0;0;116284;0.0;0.0;-1;51
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;121;38;4;2;2;-1;0;0;134628;0.0;0.0;-1;51
DADCA-LKH;100;2;0.00000;71;2;13000;384;303;4;2;2;-1;0;0;102796;0.0;0.0;-1;51
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;401;332;4;2;2;-1;0;0;104688;0.0;0.0;-1;51
TSP-based;100;2;0.00000;71;2;13000;5392;5327;4;2;2;-1;0;0;95093;0.0;0.0;-1;52
FPPWR;100;2;0.00000;71;2;13000;206;138;4;2;2;-1;0;0;338803;0.0;0.0;-1;52
DADCA-NSN;100;2;0.00000;71;2;13000;141;51;4;2;2;-1;0;0;105969;0.0;0.0;-1;52
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;132;66;4;2;2;-1;0;0;109883;0.0;0.0;-1;52
DADCA-LKH;100;2;0.00000;71;2;13000;649;561;4;2;2;-1;0;0;95093;0.0;0.0;-1;52
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;665;594;4;2;2;-1;0;0;95359;0.0;0.0;-1;52
TSP-based;100;2;0.00000;71;2;13000;4451;4374;4;2;2;-1;0;0;99461;0.0;0.0;-1;53
FPPWR;100;2;0.00000;71;2;13000;209;140;4;2;2;-1;0;0;310801;0.0;0.0;-1;53
DADCA-NSN;100;2;0.00000;71;2;13000;146;71;4;2;2;-1;0;0;119255;0.0;0.0;-1;53
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;123;55;4;2;2;-1;0;0;120149;0.0;0.0;-1;53
DADCA-LKH;100;2;0.00000;71;2;13000;453;382;4;2;2;-1;0;0;102071;0.0;0.0;-1;53
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;464;395;4;2;2;-1;0;0;102365;0.0;0.0;-1;53
TSP-based;100;2;0.00000;71;2;13000;5010;4924;4;2;2;-1;0;0;103673;0.0;0.0;-1;54
FPPWR;100;2;0.00000;71;2;13000;211;122;4;2;2;-1;0;0;345849;0.0;0.0;-1;54
DADCA-NSN;100;2;0.00000;71;2;13000;145;52;4;2;2;-1;0;0;119888;0.0;0.0;-1;54
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;148;66;4;2;2;-1;0;0;123836;0.0;0.0;-1;54
DADCA-LKH;100;2;0.00000;71;2;13000;511;445;4;2;2;-1;0;0;103673;0.0;0.0;-1;54
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;552;469;4;2;2;-1;0;0;104431;0.0;0.0;-1;54
TSP-based;100;2;0.00000;71;2;13000;6557;6487;4;2;2;-1;0;0;100795;0.0;0.0;-1;55
FPPWR;100;2;0.00000;71;2;13000;219;144;4;2;2;-1;0;0;358198;0.0;0.0;-1;55
DADCA-NSN;100;2;0.00000;71;2;13000;140;52;4;2;2;-1;0;0;126523;0.0;0.0;-1;55
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;136;59;4;2;2;-1;0;0;128177;0.0;0.0;-1;55
DADCA-LKH;100;2;0.00000;71;2;13000;569;500;4;2;2;-1;0;0;99527;0.0;0.0;-1;55
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;592;522;4;2;2;-1;0;0;101643;0.0;0.0;-1;55
TSP-based;100;2;0.00000;71;2;13000;6337;6258;4;2;2;-1;0;0;96292;0.0;0.0;-1;56
FPPWR;100;2;0.00000;71;2;13000;199;136;4;2;2;-1;0;0;302783;0.0;0.0;-1;56
DADCA-NSN;100;2;0.00000;71;2;13000;133;66;4;2;2;-1;0;0;113324;0.0;0.0;-1;56
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;130;61;4;2;2;-1;0;0;110209;0.0;0.0;-1;56
DADCA-LKH;100;2;0.00000;71;2;13000;452;384;4;2;2;-1;0;0;96979;0.0;0.0;-1;56
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;466;388;4;2;2;-1;0;0;97235;0.0;0.0;-1;56
TSP-based;100;2;0.00000;71;2;13000;23120;23040;4;2;2;-1;0;0;101703;0.0;0.0;-1;57
FPPWR;100;2;0.00000;71;2;13000;207;142;4;2;2;-1;0;0;341526;0.0;0.0;-1;57
DADCA-NSN;100;2;0.00000;71;2;13000;137;71;4;2;2;-1;0;0;118006;0.0;0.0;-1;57
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;129;59;4;2;2;-1;0;0;117719;0.0;0.0;-1;57
DADCA-LKH;100;2;0.00000;71;2;13000;1173;1102;4;2;2;-1;0;0;103860;0.0;0.0;-1;57
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;1183;1106;4;2;2;-1;0;0;104085;0.0;0.0;-1;57
TSP-based;100;2;0.00000;71;2;13000;34158;34066;4;2;2;-1;0;0;102312;0.0;0.0;-1;58
FPPWR;100;2;0.00000;71;2;13000;216;142;4;2;2;-1;0;0;364885;0.0;0.0;-1;58
DADCA-NSN;100;2;0.00000;71;2;13000;135;62;4;2;2;-1;0;0;117727;0.0;0.0;-1;58
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;123;56;4;2;2;-1;0;0;128199;0.0;0.0;-1;58
DADCA-LKH;100;2;0.00000;71;2;13000;2911;2842;4;2;2;-1;0;0;103163;0.0;0.0;-1;58
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;2930;2847;4;2;2;-1;0;0;104377;0.0;0.0;-1;58
TSP-based;100;2;0.00000;71;2;13000;595297;595225;4;2;2;-1;0;0;103314;0.0;0.0;-1;59
FPPWR;100;2;0.00000;71;2;13000;208;139;4;2;2;-1;0;0;353599;0.0;0.0;-1;59
DADCA-NSN;100;2;0.00000;71;2;13000;151;70;4;2;2;-1;0;0;128154;0.0;0.0;-1;59
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;134;61;4;2;2;-1;0;0;121875;0.0;0.0;-1;59
DADCA-LKH;100;2;0.00000;71;2;13000;3969;3896;4;2;2;-1;0;0;103853;0.0;0.0;-1;59
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;3999;3917;4;2;2;-1;0;0;104955;0.0;0.0;-1;59
TSP-based;100;2;0.00000;71;2;13000;9998;9924;4;2;2;-1;0;0;104028;0.0;0.0;-1;60
FPPWR;100;2;0.00000;71;2;13000;216;145;4;2;2;-1;0;0;371743;0.0;0.0;-1;60
DADCA-NSN;100;2;0.00000;71;2;13000;129;63;4;2;2;-1;0;0;121882;0.0;0.0;-1;60
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;122;55;4;2;2;-1;0;0;118488;0.0;0.0;-1;60
DADCA-LKH;100;2;0.00000;71;2;13000;2286;2218;4;2;2;-1;0;0;103722;0.0;0.0;-1;60
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;2301;2227;4;2;2;-1;0;0;104889;0.0;0.0;-1;60
TSP-based;100;2;0.00000;71;2;13000;2956;2879;4;2;2;-1;0;0;102459;0.0;0.0;-1;61
FPPWR;100;2;0.00000;71;2;13000;223;144;4;2;2;-1;0;0;352707;0.0;0.0;-1;61
DADCA-NSN;100;2;0.00000;71;2;13000;129;66;4;2;2;-1;0;0;129493;0.0;0.0;-1;61
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;129;62;4;2;2;-1;0;0;122853;0.0;0.0;-1;61
DADCA-LKH;100;2;0.00000;71;2;13000;370;292;4;2;2;-1;0;0;101750;0.0;0.0;-1;61
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;357;291;4;2;2;-1;0;0;102654;0.0;0.0;-1;61
TSP-based;100;2;0.00000;71;2;13000;5246;5168;4;2;2;-1;0;0;100409;0.0;0.0;-1;62
FPPWR;100;2;0.00000;71;2;13000;213;146;4;2;2;-1;0;0;368165;0.0;0.0;-1;62
DADCA-NSN;100;2;0.00000;71;2;13000;128;63;4;2;2;-1;0;0;120624;0.0;0.0;-1;62
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;142;64;4;2;2;-1;0;0;114923;0.0;0.0;-1;62
DADCA-LKH;100;2;0.00000;71;2;13000;1636;1550;4;2;2;-1;0;0;100409;0.0;0.0;-1;62
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;1637;1560;4;2;2;-1;0;0;100268;0.0;0.0;-1;62
TSP-based;100;2;0.00000;71;2;13000;13902;13833;4;2;2;-1;0;0;99106;0.0;0.0;-1;63
FPPWR;100;2;0.00000;71;2;13000;208;136;4;2;2;-1;0;0;347427;0.0;0.0;-1;63
DADCA-NSN;100;2;0.00000;71;2;13000;135;51;4;2;2;-1;0;0;113130;0.0;0.0;-1;63
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;139;64;4;2;2;-1;0;0;125356;0.0;0.0;-1;63
DADCA-LKH;100;2;0.00000;71;2;13000;602;532;4;2;2;-1;0;0;99106;0.0;0.0;-1;63
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;627;554;4;2;2;-1;0;0;99908;0.0;0.0;-1;63
TSP-based;100;2;0.00000;71;2;13000;5258;5192;4;2;2;-1;0;0;97087;0.0;0.0;-1;64
FPPWR;100;2;0.00000;71;2;13000;204;135;4;2;2;-1;0;0;342745;0.0;0.0;-1;64
DADCA-NSN;100;2;0.00000;71;2;13000;137;65;4;2;2;-1;0;0;115521;0.0;0.0;-1;64
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;127;59;4;2;2;-1;0;0;117902;0.0;0.0;-1;64
DADCA-LKH;100;2;0.00000;71;2;13000;652;584;4;2;2;-1;0;0;97087;0.0;0.0;-1;64
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;671;602;4;2;2;-1;0;0;97637;0.0;0.0;-1;64
TSP-based;100;2;0.00000;71;2;13000;6497;6418;4;2;2;-1;0;0;92473;0.0;0.0;-1;65
FPPWR;100;2;0.00000;71;2;13000;219;145;4;2;2;-1;0;0;302325;0.0;0.0;-1;65
DADCA-NSN;100;2;0.00000;71;2;13000;133;67;4;2;2;-1;0;0;108832;0.0;0.0;-1;65
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;145;66;4;2;2;-1;0;0;112953;0.0;0.0;-1;65
DADCA-LKH;100;2;0.00000;71;2;13000;1582;1515;4;2;2;-1;0;0;92473;0.0;0.0;-1;65
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;1570;1493;4;2;2;-1;0;0;93740;0.0;0.0;-1;65
TSP-based;100;2;0.00000;71;2;13000;4924;4859;4;2;2;-1;0;0;100266;0.0;0.0;-1;66
FPPWR;100;2;0.00000;71;2;13000;210;144;4;2;2;-1;0;0;315781;0.0;0.0;-1;66
DADCA-NSN;100;2;0.00000;71;2;13000;145;67;4;2;2;-1;0;0;113854;0.0;0.0;-1;66
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;123;55;4;2;2;-1;0;0;117923;0.0;0.0;-1;66
DADCA-LKH;100;2;0.00000;71;2;13000;892;823;4;2;2;-1;0;0;100588;0.0;0.0;-1;66
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;886;815;4;2;2;-1;0;0;100368;0.0;0.0;-1;66
TSP-based;100;2;0.00000;71;2;13000;8166;8097;4;2;2;-1;0;0;100618;0.0;0.0;-1;67
FPPWR;100;2;0.00000;71;2;13000;212;141;4;2;2;-1;0;0;346423;0.0;0.0;-1;67
DADCA-NSN;100;2;0.00000;71;2;13000;138;67;4;2;2;-1;0;0;124104;0.0;0.0;-1;67
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;131;64;4;2;2;-1;0;0;132239;0.0;0.0;-1;67
DADCA-LKH;100;2;0.00000;71;2;13000;686;622;4;2;2;-1;0;0;100618;0.0;0.0;-1;67
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;701;616;4;2;2;-1;0;0;102744;0.0;0.0;-1;67
TSP-based;100;2;0.00000;71;2;13000;5620;5532;4;2;2;-1;0;0;102806;0.0;0.0;-1;68
FPPWR;100;2;0.00000;71;2;13000;205;138;4;2;2;-1;0;0;340418;0.0;0.0;-1;68
DADCA-NSN;100;2;0.00000;71;2;13000;141;67;4;2;2;-1;0;0;125127;0.0;0.0;-1;68
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;127;58;4;2;2;-1;0;0;128892;0.0;0.0;-1;68
DADCA-LKH;100;2;0.00000;71;2;13000;1677;1611;4;2;2;-1;0;0;101980;0.0;0.0;-1;68
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;1688;1613;4;2;2;-1;0;0;101869;0.0;0.0;-1;68
TSP-based;100;2;0.00000;71;2;13000;9726;9651;4;2;2;-1;0;0;100238;0.0;0.0;-1;69
FPPWR;100;2;0.00000;71;2;13000;206;137;4;2;2;-1;0;0;354805;0.0;0.0;-1;69
DADCA-NSN;100;2;0.00000;71;2;13000;140;63;4;2;2;-1;0;0;114220;0.0;0.0;-1;69
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;124;56;4;2;2;-1;0;0;118949;0.0;0.0;-1;69
DADCA-LKH;100;2;0.00000;71;2;13000;929;859;4;2;2;-1;0;0;100238;0.0;0.0;-1;69
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;943;879;4;2;2;-1;0;0;102296;0.0;0.0;-1;69
TSP-based;100;2;0.00000;71;2;13000;4001;3937;4;2;2;-1;0;0;103888;0.0;0.0;-1;70
FPPWR;100;2;0.00000;71;2;13000;218;143;4;2;2;-1;0;0;327295;0.0;0.0;-1;70
DADCA-NSN;100;2;0.00000;71;2;13000;130;63;4;2;2;-1;0;0;123430;0.0;0.0;-1;70
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;135;60;4;2;2;-1;0;0;120815;0.0;0.0;-1;70
DADCA-LKH;100;2;0.00000;71;2;13000;760;670;4;2;2;-1;0;0;104139;0.0;0.0;-1;70
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;779;699;4;2;2;-1;0;0;104216;0.0;0.0;-1;70
TSP-based;100;2;0.00000;71;2;13000;5727;5660;4;2;2;-1;0;0;103116;0.0;0.0;-1;71
FPPWR;100;2;0.00000;71;2;13000;220;142;4;2;2;-1;0;0;317518;0.0;0.0;-1;71
DADCA-NSN;100;2;0.00000;71;2;13000;133;68;4;2;2;-1;0;0;117675;0.0;0.0;-1;71
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;127;58;4;2;2;-1;0;0;125046;0.0;0.0;-1;71
DADCA-LKH;100;2;0.00000;71;2;13000;524;454;4;2;2;-1;0;0;102909;0.0;0.0;-1;71
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;510;443;4;2;2;-1;0;0;103809;0.0;0.0;-1;71
TSP-based;100;2;0.00000;71;2;13000;7992;7919;4;2;2;-1;0;0;101775;0.0;0.0;-1;72
FPPWR;100;2;0.00000;71;2;13000;203;142;4;2;2;-1;0;0;348312;0.0;0.0;-1;72
DADCA-NSN;100;2;0.00000;71;2;13000;145;69;4;2;2;-1;0;0;118686;0.0;0.0;-1;72
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;122;57;4;2;2;-1;0;0;126043;0.0;0.0;-1;72
DADCA-LKH;100;2;0.00000;71;2;13000;854;785;4;2;2;-1;0;0;102075;0.0;0.0;-1;72
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;833;761;4;2;2;-1;0;0;102813;0.0;0.0;-1;72
TSP-based;100;2;0.00000;71;2;13000;4166;4089;4;2;2;-1;0;0;96835;0.0;0.0;-1;73
FPPWR;100;2;0.00000;71;2;13000;199;118;4;2;2;-1;0;0;357729;0.0;0.0;-1;73
DADCA-NSN;100;2;0.00000;71;2;13000;128;65;4;2;2;-1;0;0;115321;0.0;0.0;-1;73
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;142;67;4;2;2;-1;0;0;119210;0.0;0.0;-1;73
DADCA-LKH;100;2;0.00000;71;2;13000;903;836;4;2;2;-1;0;0;97624;0.0;0.0;-1;73
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;928;856;4;2;2;-1;0;0;98017;0.0;0.0;-1;73
TSP-based;100;2;0.00000;71;2;13000;7116;7043;4;2;2;-1;0;0;100362;0.0;0.0;-1;74
FPPWR;100;2;0.00000;71;2;13000;210;134;4;2;2;-1;0;0;420562;0.0;0.0;-1;74
DADCA-NSN;100;2;0.00000;71;2;13000;135;65;4;2;2;-1;0;0;116075;0.0;0.0;-1;74
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;133;61;4;2;2;-1;0;0;133231;0.0;0.0;-1;74
DADCA-LKH;100;2;0.00000;71;2;13000;1635;1558;4;2;2;-1;0;0;99977;0.0;0.0;-1;74
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;1625;1551;4;2;2;-1;0;0;97879;0.0;0.0;-1;74
TSP-based;100;2;0.00000;71;2;13000;9462;9396;4;2;2;-1;0;0;104265;0.0;0.0;-1;75
FPPWR;100;2;0.00000;71;2;13000;213;141;4;2;2;-1;0;0;314025;0.0;0.0;-1;75
DADCA-NSN;100;2;0.00000;71;2;13000;126;62;4;2;2;-1;0;0;131451;0.0;0.0;-1;75
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;127;58;4;2;2;-1;0;0;121479;0.0;0.0;-1;75
DADCA-LKH;100;2;0.00000;71;2;13000;1807;1733;4;2;2;-1;0;0;104103;0.0;0.0;-1;75
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;1801;1734;4;2;2;-1;0;0;104517;0.0;0.0;-1;75
TSP-based;100;2;0.00000;71;2;13000;6838;6754;4;2;2;-1;0;0;100188;0.0;0.0;-1;76
FPPWR;100;2;0.00000;71;2;13000;209;138;4;2;2;-1;0;0;348911;0.0;0.0;-1;76
DADCA-NSN;100;2;0.00000;71;2;13000;135;65;4;2;2;-1;0;0;119108;0.0;0.0;-1;76
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;127;54;4;2;2;-1;0;0;117354;0.0;0.0;-1;76
DADCA-LKH;100;2;0.00000;71;2;13000;509;434;4;2;2;-1;0;0;100188;0.0;0.0;-1;76
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;502;438;4;2;2;-1;0;0;101274;0.0;0.0;-1;76
TSP-based;100;2;0.00000;71;2;13000;13457;13365;4;2;2;-1;0;0;99274;0.0;0.0;-1;77
FPPWR;100;2;0.00000;71;2;13000;216;148;4;2;2;-1;0;0;365706;0.0;0.0;-1;77
DADCA-NSN;100;2;0.00000;71;2;13000;137;68;4;2;2;-1;0;0;119570;0.0;0.0;-1;77
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;127;61;4;2;2;-1;0;0;117534;0.0;0.0;-1;77
DADCA-LKH;100;2;0.00000;71;2;13000;1742;1677;4;2;2;-1;0;0;95905;0.0;0.0;-1;77
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;1768;1703;4;2;2;-1;0;0;99564;0.0;0.0;-1;77
TSP-based;100;2;0.00000;71;2;13000;5797;5713;4;2;2;-1;0;0;98440;0.0;0.0;-1;78
FPPWR;100;2;0.00000;71;2;13000;214;144;4;2;2;-1;0;0;352501;0.0;0.0;-1;78
DADCA-NSN;100;2;0.00000;71;2;13000;131;65;4;2;2;-1;0;0;116447;0.0;0.0;-1;78
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;124;56;4;2;2;-1;0;0;128270;0.0;0.0;-1;78
DADCA-LKH;100;2;0.00000;71;2;13000;713;643;4;2;2;-1;0;0;96906;0.0;0.0;-1;78
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;722;648;4;2;2;-1;0;0;98453;0.0;0.0;-1;78
TSP-based;100;2;0.00000;71;2;13000;7012;6934;4;2;2;-1;0;0;99169;0.0;0.0;-1;79
FPPWR;100;2;0.00000;71;2;13000;211;140;4;2;2;-1;0;0;341299;0.0;0.0;-1;79
DADCA-NSN;100;2;0.00000;71;2;13000;127;63;4;2;2;-1;0;0;117270;0.0;0.0;-1;79
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;133;67;4;2;2;-1;0;0;125579;0.0;0.0;-1;79
DADCA-LKH;100;2;0.00000;71;2;13000;750;680;4;2;2;-1;0;0;99169;0.0;0.0;-1;79
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;743;660;4;2;2;-1;0;0;102399;0.0;0.0;-1;79
TSP-based;100;2;0.00000;71;2;13000;7549;7479;4;2;2;-1;0;0;100969;0.0;0.0;-1;80
FPPWR;100;2;0.00000;71;2;13000;212;141;4;2;2;-1;0;0;327758;0.0;0.0;-1;80
DADCA-NSN;100;2;0.00000;71;2;13000;151;69;4;2;2;-1;0;0;122131;0.0;0.0;-1;80
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;129;61;4;2;2;-1;0;0;135508;0.0;0.0;-1;80
DADCA-LKH;100;2;0.00000;71;2;13000;1000;936;4;2;2;-1;0;0;100969;0.0;0.0;-1;80
DADCA-LKH-Cutted;100;2;0.00000;71;2;13000;1013;942;4;2;2;-1;0;0;104176;0.0;0.0;-1;80
TSP-based;100;2;0.00000;71;2;13000;8239;8160;4;2;2;-1;0;0;96401;0.0;0.0;-1;81
FPPWR;100;2;0.00000;71;2;13000;205;118;4;2;2;-1;0;0;297794;0.0;0.0;-1;81
DADCA-NSN;100;2;0.00000;71;2;13000;135;64;4;2;2;-1;0;0;100637;0.0;0.0;-1;81
DADCA-Parted-NSN;100;2;0.00000;71;2;13000;122;39;4;2;2;-1;0;0;113563;0.0;0.0;-1;81
