Strategy;nPOIs;nUAV;SucessTax;V2V_range;ctRounds;dimX;simumationTimeMS;pathTime;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize;memory;mapName
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;100;31;4;2;2;-1;0;0;101081;0.0;0.0;-1;8
DADCA-LKH;50;2;0.00000;71;2;13000;441;381;4;2;2;-1;0;0;82095;0.0;0.0;-1;8
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;451;389;4;2;2;-1;0;0;81047;0.0;0.0;-1;8
TSP-based;50;2;0.00000;71;2;13000;4263;4207;4;2;2;-1;0;0;76484;0.0;0.0;-1;9
FPPWR;50;2;0.00000;71;2;13000;171;111;4;2;2;-1;0;0;193541;0.0;0.0;-1;9
DADCA-NSN;50;2;0.00000;71;2;13000;97;39;4;2;2;-1;0;0;91652;0.0;0.0;-1;9
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;98;34;4;2;2;-1;0;0;95048;0.0;0.0;-1;9
DADCA-LKH;50;2;0.00000;71;2;13000;910;840;4;2;2;-1;0;0;76484;0.0;0.0;-1;9
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;918;859;4;2;2;-1;0;0;78019;0.0;0.0;-1;9
TSP-based;50;2;0.00000;71;2;13000;3010;2944;4;2;2;-1;0;0;73053;0.0;0.0;-1;10
FPPWR;50;2;0.00000;71;2;13000;182;114;4;2;2;-1;0;0;182444;0.0;0.0;-1;10
DADCA-NSN;50;2;0.00000;71;2;13000;110;34;4;2;2;-1;0;0;88249;0.0;0.0;-1;10
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;94;36;4;2;2;-1;0;0;79899;0.0;0.0;-1;10
DADCA-LKH;50;2;0.00000;71;2;13000;247;188;4;2;2;-1;0;0;73053;0.0;0.0;-1;10
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;250;192;4;2;2;-1;0;0;71814;0.0;0.0;-1;10
TSP-based;50;2;0.00000;71;2;13000;3158;3088;4;2;2;-1;0;0;77458;0.0;0.0;-1;11
FPPWR;50;2;0.00000;71;2;13000;179;116;4;2;2;-1;0;0;218954;0.0;0.0;-1;11
DADCA-NSN;50;2;0.00000;71;2;13000;86;32;4;2;2;-1;0;0;81587;0.0;0.0;-1;11
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;97;34;4;2;2;-1;0;0;91175;0.0;0.0;-1;11
DADCA-LKH;50;2;0.00000;71;2;13000;514;455;4;2;2;-1;0;0;77490;0.0;0.0;-1;11
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;524;450;4;2;2;-1;0;0;77504;0.0;0.0;-1;11
TSP-based;50;2;0.00000;71;2;13000;4672;4612;4;2;2;-1;0;0;73463;0.0;0.0;-1;12
FPPWR;50;2;0.00000;71;2;13000;173;109;4;2;2;-1;0;0;222316;0.0;0.0;-1;12
DADCA-NSN;50;2;0.00000;71;2;13000;90;32;4;2;2;-1;0;0;73763;0.0;0.0;-1;12
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;95;33;4;2;2;-1;0;0;87454;0.0;0.0;-1;12
DADCA-LKH;50;2;0.00000;71;2;13000;406;332;4;2;2;-1;0;0;73463;0.0;0.0;-1;12
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;408;342;4;2;2;-1;0;0;74243;0.0;0.0;-1;12
TSP-based;50;2;0.00000;71;2;13000;1933;1865;4;2;2;-1;0;0;76518;0.0;0.0;-1;13
FPPWR;50;2;0.00000;71;2;13000;168;113;4;2;2;-1;0;0;192625;0.0;0.0;-1;13
DADCA-NSN;50;2;0.00000;71;2;13000;98;34;4;2;2;-1;0;0;89198;0.0;0.0;-1;13
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;95;35;4;2;2;-1;0;0;91916;0.0;0.0;-1;13
DADCA-LKH;50;2;0.00000;71;2;13000;145;89;4;2;2;-1;0;0;75483;0.0;0.0;-1;13
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;152;93;4;2;2;-1;0;0;78793;0.0;0.0;-1;13
TSP-based;50;2;0.00000;71;2;13000;3477;3406;4;2;2;-1;0;0;75405;0.0;0.0;-1;14
FPPWR;50;2;0.00000;71;2;13000;182;118;4;2;2;-1;0;0;213065;0.0;0.0;-1;14
DADCA-NSN;50;2;0.00000;71;2;13000;93;32;4;2;2;-1;0;0;83048;0.0;0.0;-1;14
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;90;32;4;2;2;-1;0;0;95862;0.0;0.0;-1;14
DADCA-LKH;50;2;0.00000;71;2;13000;330;272;4;2;2;-1;0;0;74939;0.0;0.0;-1;14
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;331;273;4;2;2;-1;0;0;77143;0.0;0.0;-1;14
TSP-based;50;2;0.00000;71;2;13000;3677;3617;4;2;2;-1;0;0;77139;0.0;0.0;-1;15
FPPWR;50;2;0.00000;71;2;13000;182;113;4;2;2;-1;0;0;180808;0.0;0.0;-1;15
DADCA-NSN;50;2;0.00000;71;2;13000;89;32;4;2;2;-1;0;0;82137;0.0;0.0;-1;15
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;87;30;4;2;2;-1;0;0;88328;0.0;0.0;-1;15
DADCA-LKH;50;2;0.00000;71;2;13000;496;434;4;2;2;-1;0;0;77139;0.0;0.0;-1;15
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;509;436;4;2;2;-1;0;0;78319;0.0;0.0;-1;15
TSP-based;50;2;0.00000;71;2;13000;4242;4166;4;2;2;-1;0;0;77103;0.0;0.0;-1;16
FPPWR;50;2;0.00000;71;2;13000;174;109;4;2;2;-1;0;0;228036;0.0;0.0;-1;16
DADCA-NSN;50;2;0.00000;71;2;13000;86;32;4;2;2;-1;0;0;101519;0.0;0.0;-1;16
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;89;32;4;2;2;-1;0;0;102599;0.0;0.0;-1;16
DADCA-LKH;50;2;0.00000;71;2;13000;325;261;4;2;2;-1;0;0;77103;0.0;0.0;-1;16
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;319;261;4;2;2;-1;0;0;80479;0.0;0.0;-1;16
TSP-based;50;2;0.00000;71;2;13000;2223;2146;4;2;2;-1;0;0;79510;0.0;0.0;-1;17
FPPWR;50;2;0.00000;71;2;13000;169;114;4;2;2;-1;0;0;260229;0.0;0.0;-1;17
DADCA-NSN;50;2;0.00000;71;2;13000;92;33;4;2;2;-1;0;0;85574;0.0;0.0;-1;17
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;88;30;4;2;2;-1;0;0;96037;0.0;0.0;-1;17
DADCA-LKH;50;2;0.00000;71;2;13000;243;180;4;2;2;-1;0;0;78904;0.0;0.0;-1;17
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;235;177;4;2;2;-1;0;0;80609;0.0;0.0;-1;17
TSP-based;50;2;0.00000;71;2;13000;3678;3610;4;2;2;-1;0;0;72283;0.0;0.0;-1;18
FPPWR;50;2;0.00000;71;2;13000;169;112;4;2;2;-1;0;0;211238;0.0;0.0;-1;18
DADCA-NSN;50;2;0.00000;71;2;13000;91;34;4;2;2;-1;0;0;85184;0.0;0.0;-1;18
