;;;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;memory;memory;memory;memory;memory;memory;memory;memory;mapName;mapName;mapName;mapName;mapName;mapName;mapName;mapName
;;;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max
Strategy;nUAV;nPOIs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DADCA-LKH-Cutted;2;200;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.12464783333333339;0.11755148965336437;0.017033333333333334;0.058491666666666664;0.09190000000000001;0.13608333333333333;0.7817166666666667;100.0;0.12324916666666667;0.11756627255322628;0.0154;0.057154166666666666;0.09061666666666668;0.13476666666666667;0.78025;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;140701.47;2623.3512165075254;134799.0;138966.25;140779.0;142500.5;146343.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
DADCA-LKH-Cutted;2;300;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.30794350000000004;0.20162769764147212;0.07855000000000001;0.16502916666666667;0.27425;0.3646333333333333;1.1982166666666667;100.0;0.3064016666666667;0.20162993918697494;0.07693333333333334;0.16350833333333334;0.2727333333333334;0.3631458333333334;1.1967666666666668;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;170214.18;2803.372966173917;163851.0;168246.5;170488.0;172441.75;175283.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
DADCA-LKH-Cutted;2;400;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.6342636666666666;0.3823178388916641;0.19588333333333335;0.3996291666666667;0.5267083333333333;0.7402875;2.1022333333333334;100.0;0.6325495000000001;0.3823345130556288;0.19423333333333334;0.3980250000000001;0.5249833333333334;0.7386291666666667;2.1004666666666667;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;195132.48;2811.0543529703464;188165.0;193026.75;195181.5;197498.25;201619.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
DADCA-LKH-Cutted;2;500;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.9618246666666669;0.43897326159006694;0.18405000000000002;0.6619708333333334;0.8832500000000001;1.2219958333333334;2.61075;100.0;0.9597611666666666;0.43897523260153315;0.182;0.6599166666666667;0.8812;1.2197583333333335;2.6085333333333334;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;217375.67;2858.2151775384427;209958.0;215071.0;217602.5;219136.0;224027.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
DADCA-NSN;2;50;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0015619999999999992;9.531918145060323e-05;0.0014;0.0014958333333333334;0.0015500000000000002;0.0016333333333333334;0.0018333333333333335;100.0;0.0005418333333333325;2.2031377481104723e-05;0.0005166666666666667;0.0005333333333333334;0.0005333333333333334;0.00055;0.0006500000000000001;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;83349.73;6794.563881553035;68532.0;78922.0;82931.0;86987.5;105512.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
DADCA-NSN;2;100;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0022746666666666666;0.00010359638506665023;0.0021000000000000003;0.0022;0.0022500000000000003;0.0023333333333333335;0.0025833333333333333;100.0;0.0010873333333333334;8.505362407006714e-05;0.0008;0.0010625;0.0011;0.0011333333333333334;0.00125;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;119544.89;6581.575198908609;100637.0;115469.5;119990.5;123704.25;133556.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
DADCA-NSN;2;200;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.003273166666666667;0.00015030636502491623;0.0030666666666666668;0.00315;0.003266666666666667;0.00335;0.0037166666666666667;100.0;0.001878666666666666;6.127526163135512e-05;0.0018000000000000002;0.0018333333333333335;0.0018666666666666666;0.0019333333333333333;0.0020333333333333336;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;168051.27;5822.0694225255575;155917.0;163940.25;167019.5;171611.25;184690.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
DADCA-NSN;2;300;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.004687166666666665;0.00015555294009345232;0.004433333333333333;0.004566666666666667;0.004675;0.004783333333333334;0.00525;100.0;0.0029271666666666695;7.249966136381301e-05;0.00285;0.0028666666666666667;0.0029000000000000002;0.0029874999999999997;0.003166666666666667;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;205646.15;6336.288276166645;191104.0;201639.5;205316.5;209944.75;223217.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
DADCA-NSN;2;400;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.006673000000000001;0.0003493362312574174;0.006116666666666667;0.00645;0.006541666666666667;0.006816666666666667;0.007833333333333335;100.0;0.004733166666666664;0.00028200316600016925;0.00455;0.004583333333333333;0.0046166666666666665;0.00475;0.005633333333333334;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;237615.46;5947.053606143418;223333.0;234451.25;237763.5;240546.25;256748.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
DADCA-NSN;2;500;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.008659999999999996;0.00028650923560601344;0.00835;0.008433333333333334;0.00855;0.008816666666666667;0.009850000000000001;100.0;0.006798666666666674;0.00014594557969820667;0.0066500000000000005;0.0067;0.00675;0.006883333333333333;0.007616666666666667;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;265115.56;7475.606126325784;248585.0;260135.75;265246.0;269712.0;284766.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
