Strategy;mapName;nPOIs;nUAV;SucessTax;simumationTimeMS;pathTime;globalAvgDelay;tourSize;memory
DADCA-LKH;10;500;2;0.0;0.6797833333333334;0.6775666666666667;-1;215.202;-1
DADCA-LKH;11;50;2;0.0;0.008566666666666667;0.007583333333333333;-1;77.49;-1
DADCA-LKH;11;100;2;0.0;0.015516666666666668;0.014450000000000001;-1;108.128;-1
DADCA-LKH;11;200;2;0.0;0.018133333333333335;0.016466666666666668;-1;138.269;-1
DADCA-LKH;11;300;2;0.0;0.28048333333333336;0.27903333333333336;-1;168.369;-1
DADCA-LKH;11;400;2;0.0;0.5924666666666667;0.5906333333333333;-1;192.666;-1
DADCA-LKH;11;500;2;0.0;1.3064500000000001;1.3042833333333335;-1;215.882;-1
DADCA-LKH;12;50;2;0.0;0.006766666666666667;0.005533333333333334;-1;73.46300000000001;-1
DADCA-LKH;12;100;2;0.0;0.009933333333333334;0.008783333333333334;-1;102.509;-1
DADCA-LKH;12;200;2;0.0;0.06973333333333334;0.06845;-1;145.13;-1
DADCA-LKH;12;300;2;0.0;0.13245;0.13085;-1;172.171;-1
DADCA-LKH;12;400;2;0.0;1.0314333333333334;1.0296666666666667;-1;197.58700000000002;-1
DADCA-LKH;12;500;2;0.0;1.09985;1.0972166666666667;-1;218.42000000000002;-1
DADCA-LKH;13;50;2;0.0;0.002416666666666667;0.0014833333333333335;-1;75.483;-1
DADCA-LKH;13;100;2;0.0;0.0095;0.00835;-1;105.432;-1
DADCA-LKH;13;200;2;0.0;0.10155;0.10023333333333334;-1;143.504;-1
DADCA-LKH;13;300;2;0.0;0.21493333333333334;0.21295;-1;172.994;-1
DADCA-LKH;13;400;2;0.0;0.39216666666666666;0.3904;-1;198.865;-1
DADCA-LKH;13;500;2;0.0;0.5632;0.5612333333333334;-1;220.115;-1
DADCA-LKH;14;50;2;0.0;0.0055000000000000005;0.004533333333333334;-1;74.93900000000001;-1
DADCA-LKH;14;100;2;0.0;0.05318333333333333;0.052083333333333336;-1;105.495;-1
DADCA-LKH;14;200;2;0.0;0.06896666666666668;0.0673;-1;141.741;-1
DADCA-LKH;14;300;2;0.0;0.4275166666666667;0.42595;-1;171.40200000000002;-1
DADCA-LKH;14;400;2;0.0;0.5568500000000001;0.5552666666666667;-1;196.31900000000002;-1
DADCA-LKH;14;500;2;0.0;0.6029666666666667;0.6009333333333333;-1;217.701;-1
DADCA-LKH;15;50;2;0.0;0.008266666666666667;0.007233333333333334;-1;77.139;-1
DADCA-LKH;15;100;2;0.0;0.016116666666666668;0.014833333333333334;-1;108.06400000000001;-1
DADCA-LKH;15;200;2;0.0;0.0465;0.04515;-1;142.207;-1
DADCA-LKH;15;300;2;0.0;0.2634;0.26188333333333336;-1;174.083;-1
DADCA-LKH;15;400;2;0.0;0.42100000000000004;0.4194;-1;198.32500000000002;-1
DADCA-LKH;15;500;2;0.0;0.3249166666666667;0.32273333333333337;-1;221.33700000000002;-1
DADCA-LKH;16;50;2;0.0;0.005416666666666667;0.004350000000000001;-1;77.10300000000001;-1
DADCA-LKH;16;100;2;0.0;0.014416666666666668;0.013283333333333334;-1;105.095;-1
DADCA-LKH;16;200;2;0.0;0.05868333333333334;0.05736666666666667;-1;136.078;-1
DADCA-LKH;16;300;2;0.0;0.3335666666666667;0.33195;-1;167.389;-1
DADCA-LKH;16;400;2;0.0;0.3269166666666667;0.32533333333333336;-1;194.148;-1
DADCA-LKH;16;500;2;0.0;0.68505;0.68305;-1;214.3;-1
DADCA-LKH;17;50;2;0.0;0.00405;0.003;-1;78.904;-1
DADCA-LKH;17;100;2;0.0;0.02275;0.021666666666666667;-1;103.755;-1
DADCA-LKH;17;200;2;0.0;0.17911666666666667;0.17773333333333335;-1;141.468;-1
