;;;nUAV;nUAV;nUAV;nUAV;nUAV;nUAV;nUAV;nUAV;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;memory;memory;memory;memory;memory;memory;memory;memory
;;;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max
Strategy;mapName;nPOIs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DADCA-LKH;2;300;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.3756666666666667;;0.3756666666666667;0.3756666666666667;0.3756666666666667;0.3756666666666667;0.3756666666666667;1.0;0.3742166666666667;;0.3742166666666667;0.3742166666666667;0.3742166666666667;0.3742166666666667;0.3742166666666667;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;168.74;;168.74;168.74;168.74;168.74;168.74;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;2;400;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.5493166666666667;;0.5493166666666667;0.5493166666666667;0.5493166666666667;0.5493166666666667;0.5493166666666667;1.0;0.5477000000000001;;0.5477000000000001;0.5477000000000001;0.5477000000000001;0.5477000000000001;0.5477000000000001;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;198.17600000000002;;198.17600000000002;198.17600000000002;198.17600000000002;198.17600000000002;198.17600000000002;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;2;500;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;1.3135166666666667;;1.3135166666666667;1.3135166666666667;1.3135166666666667;1.3135166666666667;1.3135166666666667;1.0;1.3117333333333334;;1.3117333333333334;1.3117333333333334;1.3117333333333334;1.3117333333333334;1.3117333333333334;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;217.576;;217.576;217.576;217.576;217.576;217.576;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;3;50;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.0056;;0.0056;0.0056;0.0056;0.0056;0.0056;1.0;0.004350000000000001;;0.004350000000000001;0.004350000000000001;0.004350000000000001;0.004350000000000001;0.004350000000000001;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;76.929;;76.929;76.929;76.929;76.929;76.929;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;3;100;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.009983333333333334;;0.009983333333333334;0.009983333333333334;0.009983333333333334;0.009983333333333334;0.009983333333333334;1.0;0.008683333333333335;;0.008683333333333335;0.008683333333333335;0.008683333333333335;0.008683333333333335;0.008683333333333335;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;100.746;;100.746;100.746;100.746;100.746;100.746;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;3;200;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.10503333333333334;;0.10503333333333334;0.10503333333333334;0.10503333333333334;0.10503333333333334;0.10503333333333334;1.0;0.10325000000000001;;0.10325000000000001;0.10325000000000001;0.10325000000000001;0.10325000000000001;0.10325000000000001;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;134.593;;134.593;134.593;134.593;134.593;134.593;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;3;300;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.25570000000000004;;0.25570000000000004;0.25570000000000004;0.25570000000000004;0.25570000000000004;0.25570000000000004;1.0;0.25416666666666665;;0.25416666666666665;0.25416666666666665;0.25416666666666665;0.25416666666666665;0.25416666666666665;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;168.42000000000002;;168.42000000000002;168.42000000000002;168.42000000000002;168.42000000000002;168.42000000000002;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;3;400;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.5478166666666667;;0.5478166666666667;0.5478166666666667;0.5478166666666667;0.5478166666666667;0.5478166666666667;1.0;0.5458666666666667;;0.5458666666666667;0.5458666666666667;0.5458666666666667;0.5458666666666667;0.5458666666666667;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;190.97;;190.97;190.97;190.97;190.97;190.97;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;3;500;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.8181166666666667;;0.8181166666666667;0.8181166666666667;0.8181166666666667;0.8181166666666667;0.8181166666666667;1.0;0.8160166666666667;;0.8160166666666667;0.8160166666666667;0.8160166666666667;0.8160166666666667;0.8160166666666667;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;216.304;;216.304;216.304;216.304;216.304;216.304;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;4;50;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.0027333333333333333;;0.0027333333333333333;0.0027333333333333333;0.0027333333333333333;0.0027333333333333333;0.0027333333333333333;1.0;0.00165;;0.00165;0.00165;0.00165;0.00165;0.00165;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;74.065;;74.065;74.065;74.065;74.065;74.065;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;4;100;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.03271666666666667;;0.03271666666666667;0.03271666666666667;0.03271666666666667;0.03271666666666667;0.03271666666666667;1.0;0.03135;;0.03135;0.03135;0.03135;0.03135;0.03135;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;106.122;;106.122;106.122;106.122;106.122;106.122;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;4;200;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.11456666666666668;;0.11456666666666668;0.11456666666666668;0.11456666666666668;0.11456666666666668;0.11456666666666668;1.0;0.11311666666666667;;0.11311666666666667;0.11311666666666667;0.11311666666666667;0.11311666666666667;0.11311666666666667;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;142.743;;142.743;142.743;142.743;142.743;142.743;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;4;300;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.28363333333333335;;0.28363333333333335;0.28363333333333335;0.28363333333333335;0.28363333333333335;0.28363333333333335;1.0;0.28208333333333335;;0.28208333333333335;0.28208333333333335;0.28208333333333335;0.28208333333333335;0.28208333333333335;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;167.148;;167.148;167.148;167.148;167.148;167.148;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;4;400;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.36935;;0.36935;0.36935;0.36935;0.36935;0.36935;1.0;0.3677666666666667;;0.3677666666666667;0.3677666666666667;0.3677666666666667;0.3677666666666667;0.3677666666666667;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;194.453;;194.453;194.453;194.453;194.453;194.453;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;4;500;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;1.97225;;1.97225;1.97225;1.97225;1.97225;1.97225;1.0;1.9702666666666668;;1.9702666666666668;1.9702666666666668;1.9702666666666668;1.9702666666666668;1.9702666666666668;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;218.57500000000002;;218.57500000000002;218.57500000000002;218.57500000000002;218.57500000000002;218.57500000000002;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;5;50;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.00415;;0.00415;0.00415;0.00415;0.00415;0.00415;1.0;0.0031000000000000003;;0.0031000000000000003;0.0031000000000000003;0.0031000000000000003;0.0031000000000000003;0.0031000000000000003;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;77.214;;77.214;77.214;77.214;77.214;77.214;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;5;100;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.011933333333333334;;0.011933333333333334;0.011933333333333334;0.011933333333333334;0.011933333333333334;0.011933333333333334;1.0;0.010683333333333335;;0.010683333333333335;0.010683333333333335;0.010683333333333335;0.010683333333333335;0.010683333333333335;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;106.19800000000001;;106.19800000000001;106.19800000000001;106.19800000000001;106.19800000000001;106.19800000000001;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
