Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
KIMPOverNSN;20;1;0.00000;10;3;3000;24;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;12;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;21;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;34;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;31;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;28;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;14;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;42;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;40;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;16;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;15;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;42;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;27;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;25;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;18;4;3;3;0
KIMPOverNSN;100;1;0.00000;10;3;3000;45;4;3;3;0
KIMPOverNSN;100;1;0.00000;10;3;3000;33;4;3;3;0
KIMPOverNSN;100;1;0.00000;10;3;3000;28;4;3;3;0
KIMPOverNSN;100;1;0.00000;10;3;3000;20;4;3;3;0
KIMPOverNSN;200;1;0.00000;10;3;3000;46;4;3;3;0
KIMPOverNSN;200;1;0.00000;10;3;3000;103;4;3;3;0
KIMPOverNSN;200;1;0.00000;10;3;3000;70;4;3;3;0
KIMPOverNSN;200;1;0.00000;10;3;3000;33;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;24;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;23;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;27;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;15;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;30;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;41;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;33;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;14;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;39;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;37;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;30;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;37;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;41;4;3;3;0
