DADCA-lkh;20;8;5.38696;71;259200;13000;6567;433;4;259200;243170;45675;17022;41274;53841;2.078302421505867;10.005311707700836;2
DADCA-parted-nsn;20;8;4.34905;71;259200;13000;6123;4;4;259200;243410;23571;394;38161;52039;1.6778760740550198;8.357298918024197;2
TSPConcorde;20;12;9.20149;71;259200;13000;8729;550;4;239555;213790;29043;4920;82135;49315;3.549955763698371;18.658593408711706;2
DADCA-lkh-cutted;20;12;7.10947;71;259200;13000;8520;396;4;259200;231670;21224;4920;65728;52061;2.7428516398986456;13.656040895521194;2
DADCA-lkh;20;12;7.73736;71;259200;13000;8146;385;4;259200;235580;42606;19529;61806;53841;2.9850945096974564;14.37076757329137;2
DADCA-parted-nsn;20;12;6.22868;71;259200;13000;7800;3;4;259200;235945;23050;19047;56187;52039;2.403041826226946;11.96926231015247;2
TSPConcorde;20;16;12.18027;71;259200;13000;10761;483;4;233370;198800;28970;4920;107605;49315;4.699176776120256;24.698907439326174;2
DADCA-lkh-cutted;20;16;9.16628;71;259200;13000;10763;377;4;259200;225450;20548;4920;86157;52061;3.5363737901996637;17.606809058983746;2
DADCA-lkh;20;16;10.11275;71;259200;13000;11109;384;4;259200;228120;38438;21781;87462;53841;3.901524217440177;18.782620626669154;2
DADCA-parted-nsn;20;16;8.19994;71;259200;13000;11137;4;4;259200;229050;21836;4920;75851;52039;3.1635579203818027;15.757301503929039;2
TSPConcorde;200;4;1.04611;71;259200;13000;37632;5108;4;259200;251545;54626;15605;60825;138023;0.403592993874789;0.7579266065246031;2
DADCA-lkh-cutted;200;4;0.81004;71;259200;13000;38417;2565;4;259200;251430;39273;11216;46210;137549;0.3125156285722445;0.588910504081642;2
DADCA-lkh;200;4;1.04730;71;259200;13000;36812;2554;4;259200;251495;54665;15626;60869;138023;0.4040506877762536;0.7587861318157476;2
DADCA-parted-nsn;200;4;0.63806;71;259200;13000;33501;11;4;259200;247475;41087;26601;41595;166734;0.24616489721460252;0.38268104500596745;2
TSPConcorde;200;8;1.52820;71;259200;13000;37780;2655;4;259200;247695;50393;13690;122079;138023;0.5895841668571875;1.107208335200532;2
DADCA-lkh-cutted;200;8;1.14332;71;259200;13000;40231;2447;4;259200;247755;37686;9796;92425;137549;0.44109412508573503;0.8312063135480631;2
DADCA-lkh;200;8;1.52391;71;259200;13000;39631;2453;4;259200;247755;50381;13811;121786;138023;0.587928282416935;1.1040986705293288;2
DADCA-parted-nsn;200;8;0.93152;71;259200;13000;34287;7;4;259200;241980;40257;26617;74761;166734;0.3593827398643507;0.5586863277606229;2
TSPConcorde;200;12;2.13905;71;259200;13000;44382;2978;4;259200;243160;47759;23680;156819;138155;0.8252518730471731;1.5482992688923836;2
DADCA-lkh-cutted;200;12;1.61807;71;259200;13000;43277;2875;4;259200;243470;35145;10932;129391;137549;0.6242572707094936;1.1763624931326344;2
DADCA-lkh;200;12;2.12265;71;259200;13000;44950;2440;4;259200;243240;47949;25318;158379;138023;0.8189223012879135;1.537893398157026;2
DADCA-parted-nsn;200;12;1.26760;71;259200;13000;40376;12;4;259200;235840;38395;13621;99666;166734;0.48904407316910475;0.7602541998958338;2
TSPConcorde;200;16;2.73299;71;259200;13000;48043;2798;4;259200;238710;45648;13730;219485;138023;1.054392789780522;1.9800947024127233;2
DADCA-lkh-cutted;200;16;2.07035;71;259200;13000;47392;2468;4;259200;238150;34663;11210;175591;137549;0.7987465587372349;1.505173487445865;2
DADCA-lkh;200;16;2.73238;71;259200;13000;47258;2426;4;259200;238795;45935;28914;207177;138023;1.0541583611968437;1.979654457751403;2
DADCA-parted-nsn;200;16;1.64361;71;259200;13000;47351;10;4;259200;228985;36855;26617;141399;166734;0.6341069923125274;0.9857649454064984;2
TSPConcorde;20;4;3.83690;71;259200;13000;5291;538;4;250195;247765;29333;4598;36081;49384;1.4802862678135948;7.76952455486157;3
DADCA-lkh-cutted;20;4;2.70862;71;259200;13000;4665;381;4;259200;249930;23560;4598;23043;52578;1.0449933199016899;5.151627458604702;3
DADCA-lkh;20;4;3.49180;71;259200;13000;4631;348;4;256185;246990;54301;4598;33537;49384;1.3471457166399927;7.070714598920421;3
